,DTXSID,Compound,Formula,CASRN,SMILES,MONOISOTOPIC_MASS,source,Drug_UCSF_PXYS,Drug_most comon and haz,Phthalate,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin
1,DTXSID001009330,MEGESTROL,C22H30O3,3562-63-8,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C,342.2194948,Drug,1,,,0,0,,0,,,,,,,,,,,,,,,,,,
2,DTXSID00148835,"Acetanilide, 4'-((((5-((p-chlorophenoxy)methyl)-1,3,4-thiadiazol-2-yl)amidino)guanidino)sulfonyl)-, monohydrochloride",C19H19ClN8O4S2,109193-51-3,Cl.CC(=O)NC1=CC=C(C=C1)S(=O)(=O)\\N=C\\NN\\C=N\\NC1=NN=C(COC2=CC=C(Cl)C=C2)S1,522.0659212,exposurepred,,,,,,,,1,0.357099727,,,,,,,,,,,,,,,,
3,DTXSID00161887,"1,3,2-Diazaphosphorine, hexahydro-1,3-dimethyl-2-(methylsulfonyl)-, 2-oxide",C6H15N2O3PS,141931-05-7,CN1CCCN(C)P1(=O)S(C)(=O)=O,226.0541005,exposurepred,,,,,,,,1,1.64231412,,,,,,,,,,,,,,,,
4,DTXSID00188716,7-Tetradecyne,C14H26,35216-11-6,CCCCCCC#CCCCCCC,194.2034508,exposurepred,,,,,,,,1,0.337458771,,,,,,,,,,,,,,,,
5,DTXSID00188993,METHYL HEPTAFLUOROPROPYLKETONE,C5H3F7O,355-17-9,CC(=O)C(F)(F)C(F)(F)C(F)(F)F,212.0072119,PFAS,0,,,0,0,,1,,,,,,,,,,,,,,,,,,
6,DTXSID00188998,PERFLUOROHEPT-1-ENE,C7F14,355-63-5,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,349.9776443,PFAS,0,,,0,0,,1,,,,,,,,,,,,,,,,,,
7,DTXSID00190950,6:1 FLUOROTELOMER ALCOHOL,C7H3F13O,375-82-6,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,349.9976308,PFAS,0,,,0,0,,1,,,,,,,,,,,,,,,,,,
8,DTXSID00192353,8:2 FLUOROTELOMER SULFONIC ACID,C10H5F17O3S,39108-34-4,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,527.968794,PFAS,0,,,0,0,,1,,,,,,,,,,,,,,,,,,
9,DTXSID00194615,"1H,1H,9H-PERFLUORONONYL ACRYLATE",C12H6F16O2,4180-26-1,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,486.01123,PFAS,0,,,0,0,,1,,,,,,,,,,,,,,,,,,
10,DTXSID00195026,"1H,1H-PERFLUOROPROPYLAMINE",C3H4F5N,422-03-7,NCC(F)(F)C(F)(F)F,149.0263899,PFAS,0,,,0,0,,1,,,,,,,,,,,,,,,,,,
11,DTXSID0020020,4-Acetylaminophenylacetic acid,C10H11NO3,18699-02-0,CC(=O)NC1=CC=C(CC(O)=O)C=C1,193.0738932,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-1.818174936,1.294374114,1,,
12,DTXSID0020022,"Acifluorfen, Acifluorfen, Acifluorfen, Acifluorfen","C14H7ClF3NO5, C14H7ClF3NO5, C14H7ClF3NO5, C14H7ClF3NO5","50594-66-6, 50594-66-6, 50594-66-6, 50594-66-6","OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O, OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O, OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O, OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O","360.9964845, 360.9964845, 360.9964845, 360.99648450000001","E2Up, P4Up, VBtoxcast, pellizzari",,,,,,,,,,,,,,,1,1,1,3,,1,-2.78954269,4.359276781,9,,1
13,DTXSID0020026,ACRONYCINE,C20H19NO3,7008-42-6,COC1=CC2=C(C=CC(C)(C)O2)C2=C1C(=O)C1=C(C=CC=C1)N2C,321.1364935,MC,,,,,,,,,,1,,,,,,,,,,,,,,,
14,DTXSID0020070,6-Aminocaproic acid,C6H13NO2,60-32-2,NCCCCCC(O)=O,131.0946287,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-5.297221397,5.333237175,4,,
15,DTXSID0020072,4-Biphenylamine hydrochloride,C12H12ClN,2113-61-3,Cl.NC1=CC=C(C=C1)C1=CC=CC=C1,205.0658271,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-2.904452919,9.103739213,6,,
16,DTXSID0020074,"Gabapentin, GABAPENTIN","C9H17NO2, C9H17NO2","60142-96-3, 60142-96-3","NCC1(CC(O)=O)CCCCC1, NCC1(CC(O)=O)CCCCC1","171.125928791, 171.1259288","VBtoxcast, Drug",1,,,0,0,,0,,,,,,,,,,,,,1,-3.042140734,1.634210555,2,,
17,DTXSID0020076,"Amitrole, Amitrole","C2H4N4, C2H4N4","61-82-5, 61-82-5","NC1=NNC=N1, NC1=NNC=N1","84.04359615, 84.043596145","pesticidemammarytumors, VBtoxcast",,,,,,,,,,,,,,,,,,,1,1,-1.341915986,3.456543404,1,,
18,DTXSID0020103,Arsenic oxide (As2O3),As2O3,1327-53-3,[O--].[O--].[O--].[As+3].[As+3],197.827934,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-0.2081314,6.016579,1,,
19,DTXSID0020105,"Sodium L-ascorbate, Sodium L-ascorbate","C6H8O6, C6H7NaO6","134-03-2, 134-03-2","[Na+].OC[C@H](O)[C@H]1OC(=O)C(O)=C1[O-], [Na+].OC[C@H](O)[C@H]1OC(=O)C(O)=C1[O-]","176.032088, 198.01403223","exposurepred, VBtoxcast",,,,,,,,1,33.80932208,,,,,,,,,,,1,-1.977865133,5.68141096,3,,
20,DTXSID0020151,Benzyl acetate,C9H10O2,140-11-4,CC(=O)OCC1=CC=CC=C1,150.0680796,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-8.180808301,7.15552012,18,,
21,DTXSID0020153,Benzyl chloride,C7H7Cl,100-44-7,ClCC1=CC=CC=C1,126.0236279,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-0.475568492,1.998854157,3,,
22,DTXSID0020157,Benzylhydrazine dihydrochloride,C7H12Cl2N2,20570-96-1,Cl.Cl.NNCC1=CC=CC=C1,194.0377538,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-0.746044934,13.97317657,1,,
23,DTXSID0020232,"Caffeine, CAFFEINE","C8H10N4O2, C8H10N4O2","58-08-2, 58-08-2","CN1C=NC2=C1C(=O)N(C)C(=O)N2C, CN1C=NC2=C1C(=O)N(C)C(=O)N2C","194.080375578, 194.0803756","VBtoxcast, Drug",1,,,0,0,,0,,,,,,,,,,,,,1,-1.165114609,8.045154854,6,,
24,DTXSID0020236,Calcium lactate,C6H10CaO6,814-80-2,[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O,218.0103289,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-0.5608647,2.6375,1,,
25,DTXSID0020238,Camostat mesylate,C21H26N4O8S,59721-29-8,CS(O)(=O)=O.CN(C)C(=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(N)=N)C=C2)C=C1,494.147135,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-1.080781,4.381843,1,,
26,DTXSID0020282,"4-Chloro-1,3-diaminobenzene",C6H7ClN2,5131-60-2,NC1=CC(N)=C(Cl)C=C1,142.0297759,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-0.802480034,16.00767811,2,,
27,DTXSID0020284,"2-Chloro-1,4-diaminobenzene sulfate, 2-Chloro-1,4-diaminobenzene sulfate","C6H9ClN2O4S, C6H9ClN2O4S","61702-44-1, 61702-44-1","OS(O)(=O)=O.NC1=CC=C(N)C(Cl)=C1, OS(O)(=O)=O.NC1=CC=C(N)C(Cl)=C1","239.9971557, 239.99715570000001","VBtoxcast, pellizzari",,,,,,,,,,,,,,,,,,,,1,-1.600320469,13.25314125,8,,1
28,DTXSID0020286,3-Chloro-4-methylaniline,C7H8ClN,95-74-9,CC1=C(Cl)C=C(N)C=C1,141.034527,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-5.063516,11.36426,3,,
29,DTXSID0020311,Monuron,C9H11ClN2O,150-68-5,CN(C)C(=O)NC1=CC=C(Cl)C=C1,198.0559907,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-0.720447573,7.206759912,1,,
30,DTXSID0020319,Chlorothalonil,C8Cl4N2,1897-45-6,ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,263.8815588,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-4.074186329,22.28462866,184,,
31,DTXSID0020361,Cyclohexylamine hydrochloride,C6H14ClN,4998-76-9,Cl.NC1CCCCC1,135.0814772,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-1.555738095,4.948179094,1,,
32,DTXSID0020365,Cyclosporin A,C62H111N11O12,59865-13-3,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,1201.841368,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-2.70576342,53.01232261,12,,
33,DTXSID0020369,"Dacarbazine, DACARBAZINE","C6H10N6O, C6H10N6O","4342-03-4, 891986","CN(C)N=NC1=C(NC=N1)C(N)=O, CN(C)N=NC1=C(NC=N1)C(N)=O","182.091608966, 182.091609","VBtoxcast, Drug",1,,,0,0,,0,,,,,,,,,,,,,1,-4.044736521,3.286241278,1,,
34,DTXSID0020440,Dichlorprop,C9H8Cl2O3,120-36-5,CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,233.9850495,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-0.549325097,2.761096533,1,,
35,DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",C8H6Cl2O3,94-75-7,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,219.9693995,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-5.237172,4.527107,14,,
36,DTXSID0020446,"Diuron, Diuron","C9H10Cl2N2O, C9H10Cl2N2O","330-54-1, 330-54-1","CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1, CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1","232.0170184, 232.0170184","pesticidemammarytumors, VBtoxcast",,,,,,,,,,,,,,,,,,,1,1,-1.976174913,10.06159662,14,,
37,DTXSID0020448,"1,2-Dichloropropane, 1,2-DICHLOROPROPANE","C3H6Cl2, C3H6Cl2","78-87-5, 78-87-5","CC(Cl)CCl, CC(Cl)CCl","111.9846556, 111.9846556","exposurepred, MC",,,,,,,,1,0.459710334,1,Halogenated organic solvent,,,,,,,,,,,,,,
38,DTXSID0020494,Dimethyl methylphosphonate,C3H9O3P,756-79-6,COP(C)(=O)OC,124.0289311,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-7.448203,5.698782,6,,
