Drug,INPUT (CompTox),FOUND_BY (CompTox),DTXSID (CompTox),PREFERRED_NAME (CompTox),Route(s),UCSF Handling Recommendation,2016 NIOSH Category,Preg Risk,Risk Assessment/Comments
Abacavir,Abacavir,Approved Name,DTXSID4046444,Abacavir,PO,HAZARDOUS: LIMITED RISK,Group 2,C,"Carcinogenic in rats and mice.  No manufacturer recommended handling precautions.  SDS indicates low potential for toxicity, but possible mutagenic potential. "
Abiraterone,Abiraterone,Approved Name,DTXSID80879993,Abiraterone,PO,REPRODUCTIVE TOXIN,Group 1,X,SDS specifies: Not considered hazardous when handled under normal conditions with good house keeping.  Not listed in IARC as carcinogen.  PI states handling precautions for pregnant women due to teratogenic potential.
Acitretin,Acitretin,Approved Name,DTXSID6022553,Acitretin,PO,REPRODUCTIVE TOXIN,Group 3,X,BBW in pregnancy
ado-Trastuzumab,ado-Trastuzumab,NO_MATCH,-,-,IV,HAZARDOUS,Group 1,D,Trastuzumab linked to cytotoxic drug emtamsine.
Afatinib,Afatinib,Approved Name,DTXSID20893451,Afatinib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,No manufacturer specified handling precautions.
Aldesleukin,Aldesleukin,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Non-hazardous,C,Removed from NIOSH list in 2014 due to not meeting criteria for hazardous drug.
Alectinib,Alectinib,Approved Name,DTXSID50154840,Alectinib,PO,HAZARDOUS: LIMITED RISK,Not listed,N/A,ALK tyrosine kinase inhibitor.  Assessemnt due to same MOA as crizotinib.  No manufacturer specified handling precautions.
Alemtuzumab,Alemtuzumab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,C,No special handling precautions defined by manufacturer.
Altretamine,Altretamine,Expert Validated Synonym,DTXSID4022579,Hexamethylmelamine,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Ambrisentan,Ambrisentan,Approved Name,DTXSID4046282,Ambrisentan,PO,REPRODUCTIVE TOXIN,Group 3,X,BBW in pregnancy
Anastrozole,Anastrozole,Approved Name,DTXSID9022607,Anastrozole,PO,REPRODUCTIVE TOXIN,Group 1,X,"Not classified by IARC as carcinogen.  No special handling requirements specified in SDS or manufacturer prescribing information.   Toxicities associated with chronic exposure. Minimal manipulation required and poses minimal potential for acute or chronic exposure.  Concern for reproductive toxicity, therefore recommend precautions in at-risk personnel. "
Arsenic trioxide,Arsenic trioxide,Synonym,DTXSID0074007,Arsenite,IV,HAZARDOUS,Group 1,D,
Asparaginase,Asparaginase,Approved Name,DTXSID3042554,Asparaginase,IV/SQ/IM,NO HANDLING PRECAUTIONS,Non-hazardous,C,Removed from NIOSH list in 2014 due to not meeting criteria for hazardous drug.
Atezolizumab,Atezolizumab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,,No special handling requirements specified in SDS or manufacturer prescribing information. Assessment made since considered anti-neoplastic.
Axitinib,Axitinib,Approved Name,DTXSID3049049,Axitinib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,VEGF inhibitor.  No manufacturer specified handling precautions.
Azacitidine,Azacitidine,Synonym from Valid Source,DTXSID9020116,5-Azacytidine,IV/SQ,HAZARDOUS,Group 1,D,
Azathioprine,Azathioprine,Approved Name,DTXSID4020119,Azathioprine,IV,HAZARDOUS,Group 2,D,"In tact tablets require no special handling.  Doses cannot be broken or crushed.  If NG/GT route of administration required, oral suspension/solution must be prepared using chemotherapy handling precautions with individual doses dispensed in oral pedi-pods.  Parenteral preparation to take place in BSC/CACI."
Azathioprine,Azathioprine,Approved Name,DTXSID4020119,Azathioprine,PO,HAZARDOUS: LIMITED RISK,Group 2,D,"In tact tablets require no special handling.  Doses cannot be broken or crushed.  If NG/GT route of administration required, oral suspension/solution must be prepared using chemotherapy handling precautions with individual doses dispensed in oral pedi-pods.  Parenteral preparation to take place in BSC/CACI."
BCG (TICE BCG vaccine),BCG (TICE BCG vaccine),NO_MATCH,-,-,intra-vesical,HAZARDOUS,Group 1,C,"Live, attenuated mycobacteria product.  BCG should be prepared using aseptic technique in a BSC or CACI.  All equipment, supplies, and receptacles in contact with BCG should be handled and disposed of as biohazardous. If preparation cannot be performed in a containment device, then respiratory protection, gloves, and a gown should be worn to avoid inhalation or contact with BCG organisms.  For the 6 hours after treatment, urine voided should be disinfected for 15 minutes with an equal volume of household bleach before flushing."
Belimumab,Belimumab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,C,"Monoclonal antibody, no cytotoxic component.  No special handling requirements defined by manufacturer."
Belinostat,Belinostat,Approved Name,DTXSID60194378,Belinostat,IV,HAZARDOUS,Group 1,D,Categorized as hazardous based on similarity to vorinostat
