"","parent.mass.21","cluster.index.21","RTMean.21","sum.precursor.intensity..21","ConsensusScore.21","ConsensusSMILES.21","ConsensusID.21","cluster.index.20","RTMean.20","sum.precursor.intensity..20","ConsensusScore.20","ConsensusSMILES.20","ConsensusID.20"
"1",211.1,"15881",9.2601,326331,"0.295","C(COC1=CC=CC=C1)OC1=CC=CC=C1","DTXSID5026706","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"2",211.1,"15881",9.2601,326331,"0.295","C(COC1=CC=CC=C1)OC1=CC=CC=C1","DTXSID5026706","995",113.74213,35245.8,"0.864","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"3",211.1,"15881",9.2601,326331,"0.295","C(COC1=CC=CC=C1)OC1=CC=CC=C1","DTXSID5026706","997",192.6739,47731.9,"0.04","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"4",211.1,"15881",9.2601,326331,"0.295","C(COC1=CC=CC=C1)OC1=CC=CC=C1","DTXSID5026706","994",57.91021,215271,"0.342","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"5",211.1,"15881",9.2601,326331,"0.295","C(COC1=CC=CC=C1)OC1=CC=CC=C1","DTXSID5026706","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"6",211.1,"15881",9.2601,326331,"0.295","C(COC1=CC=CC=C1)OC1=CC=CC=C1","DTXSID5026706","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"7",211.1,"15881",9.2601,326331,"0.295","C(COC1=CC=CC=C1)OC1=CC=CC=C1","DTXSID5026706","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"8",211.1,"15881",9.2601,326331,"0.295","C(COC1=CC=CC=C1)OC1=CC=CC=C1","DTXSID5026706","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"9",211.1,"43978",9.011,13927,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"10",211.1,"43978",9.011,13927,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","995",113.74213,35245.8,"0.864","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"11",211.1,"43978",9.011,13927,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","997",192.6739,47731.9,"0.04","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"12",211.1,"43978",9.011,13927,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","994",57.91021,215271,"0.342","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"13",211.1,"43978",9.011,13927,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"14",211.1,"43978",9.011,13927,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"15",211.1,"43978",9.011,13927,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"16",211.1,"43978",9.011,13927,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"17",211.1,"15881",9.2601,326331,"1","CCOC(=O)CC1=CC=CC2=C1C=CC=C2","DTXSID3034583","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"18",211.1,"15881",9.2601,326331,"1","CCOC(=O)CC1=CC=CC2=C1C=CC=C2","DTXSID3034583","995",113.74213,35245.8,"0.864","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"19",211.1,"15881",9.2601,326331,"1","CCOC(=O)CC1=CC=CC2=C1C=CC=C2","DTXSID3034583","997",192.6739,47731.9,"0.04","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"20",211.1,"15881",9.2601,326331,"1","CCOC(=O)CC1=CC=CC2=C1C=CC=C2","DTXSID3034583","994",57.91021,215271,"0.342","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"21",211.1,"15881",9.2601,326331,"1","CCOC(=O)CC1=CC=CC2=C1C=CC=C2","DTXSID3034583","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"22",211.1,"15881",9.2601,326331,"1","CCOC(=O)CC1=CC=CC2=C1C=CC=C2","DTXSID3034583","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"23",211.1,"15881",9.2601,326331,"1","CCOC(=O)CC1=CC=CC2=C1C=CC=C2","DTXSID3034583","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"24",211.1,"15881",9.2601,326331,"1","CCOC(=O)CC1=CC=CC2=C1C=CC=C2","DTXSID3034583","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"25",211.1,"28358",9.0124,20109.77,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"26",211.1,"28358",9.0124,20109.77,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","995",113.74213,35245.8,"0.864","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"27",211.1,"28358",9.0124,20109.77,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","997",192.6739,47731.9,"0.04","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"28",211.1,"28358",9.0124,20109.77,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","994",57.91021,215271,"0.342","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"29",211.1,"28358",9.0124,20109.77,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"30",211.1,"28358",9.0124,20109.77,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"31",211.1,"28358",9.0124,20109.77,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"32",211.1,"28358",9.0124,20109.77,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"33",211.1,"15881",9.2601,326331,"0.409","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DTXSID3047891","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"34",211.1,"15881",9.2601,326331,"0.409","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DTXSID3047891","995",113.74213,35245.8,"0.864","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"35",211.1,"15881",9.2601,326331,"0.409","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DTXSID3047891","997",192.6739,47731.9,"0.04","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"36",211.1,"15881",9.2601,326331,"0.409","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DTXSID3047891","994",57.91021,215271,"0.342","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"37",211.1,"15881",9.2601,326331,"0.409","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DTXSID3047891","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"38",211.1,"15881",9.2601,326331,"0.409","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DTXSID3047891","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"39",211.1,"15881",9.2601,326331,"0.409","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DTXSID3047891","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"40",211.1,"15881",9.2601,326331,"0.409","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DTXSID3047891","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"41",211.1,"31436",8.7758,12358.65,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"42",211.1,"31436",8.7758,12358.65,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","995",113.74213,35245.8,"0.864","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"43",211.1,"31436",8.7758,12358.65,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","997",192.6739,47731.9,"0.04","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"44",211.1,"31436",8.7758,12358.65,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","994",57.91021,215271,"0.342","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"45",211.1,"31436",8.7758,12358.65,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"46",211.1,"31436",8.7758,12358.65,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"47",211.1,"31436",8.7758,12358.65,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"48",211.1,"31436",8.7758,12358.65,"1","CC(=O)CC(=O)OCCOC(=O)C(C)=C","DTXSID7041388","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"49",211.1,"6132",8.7739,44407.09,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"50",211.1,"6132",8.7739,44407.09,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","995",113.74213,35245.8,"0.864","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"51",211.1,"6132",8.7739,44407.09,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","997",192.6739,47731.9,"0.04","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"52",211.1,"6132",8.7739,44407.09,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","994",57.91021,215271,"0.342","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"53",211.1,"6132",8.7739,44407.09,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"54",211.1,"6132",8.7739,44407.09,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"55",211.1,"6132",8.7739,44407.09,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"56",211.1,"6132",8.7739,44407.09,"1","NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1","DTXSID2036827","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"57",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"58",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","995",113.74213,35245.8,"0.864","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"59",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","997",192.6739,47731.9,"0.04","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"60",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","994",57.91021,215271,"0.342","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"61",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"62",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"63",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"64",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"65",211.1,"43978",9.011,13927,"0.597","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
