"featureid","mz","time","DTXSID","Compound","Formula","population"
"1095.8717-1051.2",1095.8717,1051.2,"unknown","unknown","unknown","firefighters"
"697.42055-452.9",697.42055,452.9,"unknown","unknown","unknown","firefighters"
"749.37143-291.2",749.37143,291.2,"unknown","unknown","unknown","firefighters"
"623.29527-479.3",623.29527,479.3,"unknown","unknown","unknown","firefighters"
"600.29764-146.3",600.29764,146.3,"unknown","unknown","unknown","firefighters"
"885.37746-247.9",885.37746,247.9,"unknown","unknown","unknown","firefighters"
"712.40791-516.6",712.40791,516.6,"unknown","unknown","unknown","firefighters"
"555.27882-509.6",555.27882,509.6,"unknown","unknown","unknown","firefighters"
"770.3503-291.2",770.3503,291.2,"unknown","unknown","unknown","firefighters"
"521.0804-1063.1",521.0804,1063.1,"unknown","unknown","unknown","firefighters"
"684.33634-890.9",684.33634,890.9,"unknown","unknown","unknown","firefighters"
"639.3323-843.6",639.3323,843.6,"unknown","unknown","unknown","firefighters"
"192.04237-281.2",192.04237,281.2,"unknown","unknown","unknown","firefighters"
"644.49062-728.6",644.49062,728.6,"unknown","unknown","unknown","firefighters"
"741.59937-875",741.59937,875,"unknown","unknown","unknown","firefighters"
"383.09707-236.8",383.09707,236.8,"unknown","unknown","unknown","firefighters"
"903.63623-673.8",903.63623,673.8,"unknown","unknown","unknown","firefighters"
"689.00015-215",689.00015,215,"unknown","unknown","unknown","firefighters"
"522.30964-931.7",522.30964,931.7,"unknown","unknown","unknown","firefighters"
"900.62582-671.3",900.62582,671.3,"unknown","unknown","unknown","firefighters"
"696.77093-204.8",696.77093,204.8,"unknown","unknown","unknown","nurses"
"697.27212-204.7",697.27212,204.7,"unknown","unknown","unknown","nurses"
"165.04174-128.8",165.04174,128.8,"unknown","unknown","unknown","nurses"
"425.25347-709.6",425.25347,709.6,"unknown","unknown","unknown","nurses"
"601.77559-241.8",601.77559,241.8,"unknown","unknown","unknown","nurses"
"409.25871-820.2",409.25871,820.2,"unknown","unknown","unknown","nurses"
"731.31588-210.7",731.31588,210.7,"unknown","unknown","unknown","nurses"
"267.07319-102.8",267.07319,102.8,"unknown","unknown","unknown","nurses"
"523.7251-202",523.7251,202,"unknown","unknown","unknown","nurses"
"707.76155-203.8",707.76155,203.8,"unknown","unknown","unknown","nurses"
"114.05611-841.4",114.05611,841.4,"DTXSID2027335","2-Propenamide N-(hydroxymethyl)-2-methyl-","C5H9NO2","nurses"
"114.05611-841.4",114.05611,841.4,"DTXSID7044427","4-Morpholinecarboxaldehyde","C5H9NO2","nurses"
"115.04004-82.8",115.04004,82.8,"DTXSID2022123","2-Hydroxyethyl acrylate","C5H8O3","nurses"
"115.04004-82.8",115.04004,82.8,"DTXSID9026716","Methyl acetoacetate","C5H8O3","nurses"
"127.0509-170",127.0509,170,"DTXSID5021754","55-Dimethylhydantoin","C5H8N2O2","nurses"
"128.10804-95.4",128.10804,95.4,"DTXSID4062808","1-Piperidineethanol","C7H15NO","nurses"
"128.10804-95.4",128.10804,95.4,"DTXSID7074951","Morpholine 4-(1-methylethyl)-","C7H15NO","nurses"
"129.0557-139.2",129.0557,139.2,"DTXSID1027007","Propanoic anhydride","C6H10O3","nurses"
"129.0557-139.2",129.0557,139.2,"DTXSID9027314","33-Dimethyl-2-oxobutyric acid","C6H10O3","nurses"
