"featureid","mz","time","DTXSID","Compound","Formula","population"
"484.3728-518.5",484.3728,518.5,"unknown","unknown","unknown","firefighters"
"620.25368-667.5",620.25368,667.5,"unknown","unknown","unknown","firefighters"
"446.19053-341.4",446.19053,341.4,"unknown","unknown","unknown","firefighters"
"921.42797-245",921.42797,245,"unknown","unknown","unknown","firefighters"
"318.21323-69.4",318.21323,69.4,"unknown","unknown","unknown","firefighters"
"637.27081-445.9",637.27081,445.9,"unknown","unknown","unknown","firefighters"
"481.21462-247.7",481.21462,247.7,"unknown","unknown","unknown","firefighters"
"634.53081-837.9",634.53081,837.9,"unknown","unknown","unknown","firefighters"
"672.29406-244.5",672.29406,244.5,"unknown","unknown","unknown","firefighters"
"741.46455-359",741.46455,359,"unknown","unknown","unknown","firefighters"
"954.81722-206.2",954.81722,206.2,"unknown","unknown","unknown","firefighters"
"581.22254-408.2",581.22254,408.2,"unknown","unknown","unknown","firefighters"
"820.32283-163.3",820.32283,163.3,"unknown","unknown","unknown","firefighters"
"513.37307-972",513.37307,972,"unknown","unknown","unknown","firefighters"
"572.25255-591.9",572.25255,591.9,"unknown","unknown","unknown","firefighters"
"548.33098-817.4",548.33098,817.4,"unknown","unknown","unknown","firefighters"
"954.31537-206.2",954.31537,206.2,"unknown","unknown","unknown","firefighters"
"593.29297-498.1",593.29297,498.1,"unknown","unknown","unknown","firefighters"
"575.24469-441",575.24469,441,"unknown","unknown","unknown","firefighters"
"539.28299-585.8",539.28299,585.8,"unknown","unknown","unknown","firefighters"
"373.23583-782.7",373.23583,782.7,"unknown","unknown","unknown","nurses"
"373.23563-821",373.23563,821,"unknown","unknown","unknown","nurses"
"389.23034-765",389.23034,765,"unknown","unknown","unknown","nurses"
"389.23023-785.5",389.23023,785.5,"unknown","unknown","unknown","nurses"
"744.32169-209",744.32169,209,"unknown","unknown","unknown","nurses"
"293.24847-922.3",293.24847,922.3,"unknown","unknown","unknown","nurses"
"211.14432-291.1",211.14432,291.1,"unknown","unknown","unknown","nurses"
"429.2249-614",429.2249,614,"unknown","unknown","unknown","nurses"
"389.23068-724.6",389.23068,724.6,"unknown","unknown","unknown","nurses"
"397.23528-801.7",397.23528,801.7,"unknown","unknown","unknown","nurses"
"102.12748-59.6",102.12748,59.6,"DTXSID1068930","Ethanamine NN-diethyl- sulfate","C6H15N","nurses"
