LibraryID20	ConsensusSMILES20	MetFragScore20	ConsensusID20	FusionScore20	cluster.index20	parent.mass20	FusionID20	RTMean20	sum.precursor.intensity.20	MetFragID20	Smiles20	number.of.spectra20	MetFragSMILES20	INCHI20	ProteoSAFeClusterLink20	FusionSMILES20	SpectrumID20	ConsensusScore20/tLibraryID21	ConsensusSMILES21	MetFragScore21	ConsensusID21	FusionScore21	cluster.index21	parent.mass21	FusionID21	RTMean21	sum.precursor.intensity.21	MetFragID21	Smiles21	number.of.spectra21	MetFragSMILES21	INCHI21	ProteoSAFeClusterLink21	FusionSMILES21	SpectrumID21	ConsensusScore21
N/A					189407	263.0		120.314	39188.4			20			https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=189407&show=true				N/A	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	1	DTXSID00442840		400	263.0		0.6314	3218343.45	DTXSID00442840		5	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22400%22%2C%22main.cluster%20index_upperinput%22%3A%22400%22%7D			1
N/A					189407	263.0		120.314	39188.4			20			https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=189407&show=true				N/A	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	1	DTXSID00442840		40363	263.0		0.1091	5806399.33	DTXSID00442840		6	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2240363%22%2C%22main.cluster%20index_upperinput%22%3A%2240363%22%7D			1
N/A					189407	263.0		120.314	39188.4			20			https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=189407&show=true				N/A	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	1	DTXSID00442840		175433	263.0		0.2144	4238792.14	DTXSID00442840		4	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22175433%22%2C%22main.cluster%20index_upperinput%22%3A%22175433%22%7D			1
N/A					189407	263.0		120.314	39188.4			20			https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=189407&show=true				N/A	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	1	DTXSID00442840		206781	263.0		0.5434	5715388.20	DTXSID00442840		7	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22206781%22%2C%22main.cluster%20index_upperinput%22%3A%22206781%22%7D			1
N/A					189422	263.0		117.1125	3325.67			2			https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=189422&show=true				N/A	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	1	DTXSID00442840		400	263.0		0.6314	3218343.45	DTXSID00442840		5	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22400%22%2C%22main.cluster%20index_upperinput%22%3A%22400%22%7D			1
N/A					189422	263.0		117.1125	3325.67			2			https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=189422&show=true				N/A	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	1	DTXSID00442840		40363	263.0		0.1091	5806399.33	DTXSID00442840		6	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2240363%22%2C%22main.cluster%20index_upperinput%22%3A%2240363%22%7D			1
N/A					189422	263.0		117.1125	3325.67			2			https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=189422&show=true				N/A	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	1	DTXSID00442840		175433	263.0		0.2144	4238792.14	DTXSID00442840		4	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22175433%22%2C%22main.cluster%20index_upperinput%22%3A%22175433%22%7D			1
N/A					189422	263.0		117.1125	3325.67			2			https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=189422&show=true				N/A	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	1	DTXSID00442840		206781	263.0		0.5434	5715388.20	DTXSID00442840		7	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22206781%22%2C%22main.cluster%20index_upperinput%22%3A%22206781%22%7D			1
N/A		1			189465	263.0		98.368	113649	DTXSID00442840		2	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=189465&show=true				N/A	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	1	DTXSID00442840		400	263.0		0.6314	3218343.45	DTXSID00442840		5	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22400%22%2C%22main.cluster%20index_upperinput%22%3A%22400%22%7D			1
N/A		1			189465	263.0		98.368	113649	DTXSID00442840		2	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=189465&show=true				N/A	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	1	DTXSID00442840		40363	263.0		0.1091	5806399.33	DTXSID00442840		6	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F		https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2240363%22%2C%22main.cluster%20index_upperinput%22%3A%2240363%22%7D			1
