cluster.index	parent.mass	number.of.spectra	RTMean	sum.precursor.intensity.	LibraryID	SpectrumID	Smiles	INCHI	ProteoSAFeClusterLink	MetFragScore	MetFragSMILES	MetFragID	FusionScore	FusionSMILES	FusionID	ConsensusScore	ConsensusSMILES	ConsensusID
18995	115.076	20	139.298	50939.6	N/A				https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=18995&show=true	"0,0,0,0,0,0,0"	"CCOC(=O)C(C)=C,CCCC(=O)C(C)=O,CC(O)C#CC(C)O,CCC(=O)C(=O)CC,O=C1CCCCCO1,CC(=O)CCC(C)=O,CCC1CCC(=O)O1"	"DTXSID1025308,DTXSID2047066,DTXSID3044910,DTXSID3047681,DTXSID4027159,DTXSID8030138,DTXSID8041298"						
22259	117.056	38	86.46958	258717	N/A				https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=22259&show=true									
22287	118.041	40	134.09645	329617	N/A				https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=22287&show=true									
59249	149.097	15	167.58707	24809.9	N/A				https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=59249&show=true	"1.0000000,1.0000000,0.8988173,0.8988173,0.8522072,0.7622670,0.7201686,0.7065827,0.6695124,0.6657658"	"COC1=CC=C(CC=C)C=C1,COC1=CC=C(\C=C\C)C=C1,CCCC1=CC=C(C=O)C=C1,CC(C)C1=CC=C(C=O)C=C1,CC(C)C(=O)C1=CC=CC=C1,OC1CCCC2=C1C=CC=C2,CC(=O)C1=CC=C(C)C(C)=C1,CC1=CC(C)=C(C=O)C(C)=C1,CC(CC=O)C1=CC=CC=C1,CC(=O)CCC1=CC=CC=C1"	"DTXSID0020575,DTXSID9020087,DTXSID6067412,DTXSID9021974,DTXSID6048202,DTXSID7027174,DTXSID0063109,DTXSID5052125,DTXSID4047098,DTXSID6033241"						
59803	151.045	24	162.676	54067.7	N/A				https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=59803&show=true									
69744	156.102	34	799.81079	39977.1	N/A				https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=69744&show=true	1	COC(=O)C1=CCCN(C)C1	DTXSID3022617				1	COC(=O)C1=CCCN(C)C1	DTXSID3022617
70706	157.122	18	400.02739	37961.2	N/A				https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=70706&show=true	"1.0000000,0.9723674,0.0000000"	"CCCCCCOC(=O)C=C,CCCCCC1CCC(=O)O1,CC\\C=C/CCOC(=O)CC"	"DTXSID5022194,DTXSID0034229,DTXSID6047579"				"1,0.948,0.1"	"CCCCCCOC(=O)C=C,CCCCCC1CCC(=O)O1,CC\\C=C/CCOC(=O)CC"	"DTXSID5022194,DTXSID0034229,DTXSID6047579"
70707	157.122	2	399.512	2272.94	N/A				https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=70707&show=true	"0,0,0"	"CCCCCC1CCC(=O)O1,CCCCCCOC(=O)C=C,CC\\C=C/CCOC(=O)CC"	"DTXSID0034229,DTXSID5022194,DTXSID6047579"				"1,0.783,0.765"	"CC\\C=C/CCOC(=O)CC,CCCCCCOC(=O)C=C,CCCCCC1CCC(=O)O1"	"DTXSID6047579,DTXSID5022194,DTXSID0034229"
73602	159.117	26	521.70904	50643.7	N/A				https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=73602&show=true	1	C1CC(CC=C1)C1=CC=CC=C1	DTXSID9047176				1	C1CC(CC=C1)C1=CC=CC=C1	DTXSID9047176
74681	163.075	23	299.93013	34217.5	N/A				https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02c30664220649499d8ad28a67b70934&view=cluster_details&protein=74681&show=true	"1.0000000,0.9247905,0.7657397,0.7373953,0.7129487,0.7011286,0.6999715,0.6637066"	"COC(=O)\\C=C\\C1=CC=CC=C1,CC(=O)CC(=O)C1=CC=CC=C1,CC(=O)OC1=CC=C(C=C)C=C1,CC(=O)C1=CC=C(C=C1)C(C)=O,C=CCC1=CC=C2OCOC2=C1,CC=CC1=CC2=C(OCO2)C=C1,COC1=CC=CC=C1\C=C\C=O,OC1=CC=CC2=C1CCCC2=O"	"DTXSID5044314,DTXSID3021803,DTXSID2044898,DTXSID7021657,DTXSID0021254,DTXSID2020767,DTXSID4047206,DTXSID0057700"				"1,0.939,0.801,0.759,0.755,0.753,0.732,0.717"	"COC(=O)\\C=C\\C1=CC=CC=C1,CC(=O)CC(=O)C1=CC=CC=C1,CC(=O)OC1=CC=C(C=C)C=C1,C=CCC1=CC=C2OCOC2=C1,CC(=O)C1=CC=C(C=C1)C(C)=O,CC=CC1=CC2=C(OCO2)C=C1,COC1=CC=CC=C1\C=C\C=O,OC1=CC=CC2=C1CCCC2=O"	"DTXSID5044314,DTXSID3021803,DTXSID2044898,DTXSID0021254,DTXSID7021657,DTXSID2020767,DTXSID4047206,DTXSID0057700"
