"","parent.mass.21","cluster.index.21","RTMean.21","sum.precursor.intensity..21","ConsensusScore.21","ConsensusSMILES.21","ConsensusID.21","cluster.index.20","RTMean.20","sum.precursor.intensity..20","ConsensusScore.20","ConsensusSMILES.20","ConsensusID.20"
"1",295.2,470,11.8781,951435.94,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044","220511",320.94089,49367.2,"1","COC1=CC(=CC(OC)=C1OC)C(=O)NC1CCCNC1","DTXSID2023725"
"2",295.2,470,11.8781,951435.94,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044","220675",353.27688,6950660,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044"
"3",295.2,470,11.8781,951435.94,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044","220509",301.89273,294403,"1","COC1=CC(=CC(OC)=C1OC)C(=O)NC1CCCNC1","DTXSID2023725"
"4",295.2,107957,12.1479,453907.13,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044","220511",320.94089,49367.2,"1","COC1=CC(=CC(OC)=C1OC)C(=O)NC1CCCNC1","DTXSID2023725"
"5",295.2,107957,12.1479,453907.13,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044","220675",353.27688,6950660,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044"
"6",295.2,107957,12.1479,453907.13,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044","220509",301.89273,294403,"1","COC1=CC(=CC(OC)=C1OC)C(=O)NC1CCCNC1","DTXSID2023725"
"7",295.2,206784,12.4877,726202.85,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044","220511",320.94089,49367.2,"1","COC1=CC(=CC(OC)=C1OC)C(=O)NC1CCCNC1","DTXSID2023725"
"8",295.2,206784,12.4877,726202.85,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044","220675",353.27688,6950660,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044"
"9",295.2,206784,12.4877,726202.85,"1","CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1","DTXSID3075044","220509",301.89273,294403,"1","COC1=CC(=CC(OC)=C1OC)C(=O)NC1CCCNC1","DTXSID2023725"
"10",311.2,108549,13.6985,216019.93,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","237645",299.96055,7574140,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972"
