"","featureid","mz","rt","DTXSID","DB_name","name_original","Formula","group","mean_visit1","mean_N_OW","of_interest_cat","NFF_intensityTRUE"
"1","517.2425-678.9",517.2425,678.9,"MTX0","DTXSID001009330-BTMR0163","","C28H38O9","firefighter",38939.237375,NA,0,1
"2","341.2111-865",341.2111,865,"DTXSID001009330","DTXSID001009330","MEGESTROL","C22H30O3","firefighter",21846.45026,NA,0,1
"3","485.0015-55.3",485.0015,55.3,"DTXSID00194615","DTXSID00194615","1H,1H,9H-PERFLUORONONYL,ACRYLATE","C12H6F16O2","firefighter",20845.875825,NA,1,1
"4","485.0014-66.2",485.0014,66.2,"DTXSID00194615","DTXSID00194615","1H,1H,9H-PERFLUORONONYL,ACRYLATE","C12H6F16O2","firefighter",11085.562,NA,1,1
"5","192.06636-346.9",192.06636,346.9,"DTXSID0020020","DTXSID0020020","4-Acetylaminophenylacetic,acid","C10H11NO3","firefighter",1028885.05649904,NA,0,1
"6","130.08746-82.1",130.08746,82.1,"DTXSID0020070","DTXSID0020070","6-Aminocaproic,acid","C6H13NO2","firefighter",16269939.0255033,NA,0,1
"7","170.11823-83.3",170.11823,83.3,"DTXSID0020074","DTXSID0020074","Gabapentin","C9H17NO2","firefighter",18213.9071651089,NA,0,1
"8","346.1479-437.5",346.1479,437.5,"MTX5","DTXSID0020074-BTMR0167","","C15H25NO8","firefighter",64316.31875,NA,0,1
"9","149.06064-219",149.06064,219,"DTXSID0020151","DTXSID0020151","Benzyl,acetate","C9H10O2","firefighter",248426.568803885,NA,0,1
"10","351.1293-830.7",351.1293,830.7,"MTX12","DTXSID0020573-BTMR0512","","C18H24O5S","firefighter",57960.268,NA,1,1
"11","147.08133-364.8",147.08133,364.8,"DTXSID0020575","DTXSID0020575","Estragole","C10H12O","firefighter",26148.8243811499,NA,0,1
"12","139.07627-71.2",139.07627,71.2,"DTXSID0020604","DTXSID0020604","4-Vinyl-1-cyclohexene,dioxide","C8H12O2","firefighter",3994.53998570971,NA,0,0
"13","139.07626-597.7",139.07626,597.7,"DTXSID0020604","DTXSID0020604","4-Vinyl-1-cyclohexene,dioxide","C8H12O2","firefighter",2500.56092102672,NA,0,0
"14","195.13868-578.3",195.13868,578.3,"DTXSID0020654","DTXSID0020654","Geranyl,acetate","C12H20O2","firefighter",443934.552913705,NA,0,1
"15","116.05033-168.7",116.05033,168.7,"DTXSID0020737","DTXSID0020737","Indole","C8H7N","firefighter",387477.236719217,NA,0,1
"16","241.0978-436.5",241.0978,436.5,"MTX17","DTXSID0021094-BTMR1242","","C14H14N2O2","firefighter",59871.1495,NA,0,1
"17","241.0979-458.4",241.0979,458.4,"MTX17","DTXSID0021094-BTMR1242","","C14H14N2O2","firefighter",53326.813175,NA,0,1
"18","241.0999-307.6",241.0999,307.6,"MTX17","DTXSID0021094-BTMR1242","","C14H14N2O2","firefighter",114636.2845,NA,0,1
"19","231.077-170.7",231.077,170.7,"DTXSID0021123","DTXSID0021123","Phenobarbital,sodium","C12H11N2NaO3","firefighter",222507.8685,NA,0,1
"20","149.09678-383.7",149.09678,383.7,"DTXSID0021626","DTXSID0021626","4-Isopropylbenzyl,alcohol","C10H14O","firefighter",59658.6940343647,NA,0,1
"21","257.1756-395.2",257.1756,395.2,"DTXSID0021915","DTXSID0021915","Diethyl,decanedioate","C14H26O4","firefighter",713560.0625,NA,0,1
"22","151.03982-147.8",151.03982,147.8,"DTXSID0021969","DTXSID0021969","4-Hydroxy-3-methoxybenzaldehyde","C8H8O3","firefighter",183571.24427369,NA,0,1
"23","203.002-191.1",203.002,191.1,"MTX22","DTXSID0022012-BTMR0196","","C7H8O5S","firefighter",4430395.6425,NA,1,1
"24","123.04501-191.1",123.04501,191.1,"DTXSID0022012","DTXSID0022012","3-Methoxyphenol","C7H8O2","firefighter",409413.339347168,NA,1,1
"25","299.08-651.6",299.08,651.6,"MTX21","DTXSID0022012-BTMR0166","","C13H16O8","firefighter",19386.721,NA,1,1
"26","169.08676-320.6",169.08676,320.6,"DTXSID0022191","DTXSID0022191","Tetrahydrofurfuryl,methacrylate","C9H14O3","firefighter",12722.9325417247,NA,1,1
"27","169.08677-301.7",169.08677,301.7,"DTXSID0022191","DTXSID0022191","Tetrahydrofurfuryl,methacrylate","C9H14O3","firefighter",10304.2315321992,NA,1,1
"28","159.11759-503.7",159.11759,503.7,"DTXSID0022305","DTXSID0022305","4-tert-Butylstyrene","C12H16","firefighter",188812.644290558,NA,0,1
"29","121.06543-129.9",121.06543,129.9,"DTXSID0022480","DTXSID0022480","3-Ethylphenol","C8H10O","firefighter",8044.93175873193,NA,0,0
"30","121.06561-287.3",121.06561,287.3,"DTXSID0022480","DTXSID0022480","3-Ethylphenol","C8H10O","firefighter",19916.0346234636,NA,0,1
"31","399.3229-880.4",399.3229,880.4,"DTXSID0022569","DTXSID0022569","Alfacalcidol","C27H44O2","firefighter",78937.8515,NA,0,1
"32","123.04501-191.1",123.04501,191.1,"DTXSID0023113","DTXSID0023113","2-Methoxyphenol","C7H8O2","firefighter",409413.339347168,NA,0,1
"33","427.2254-446.9",427.2254,446.9,"DTXSID0023169","DTXSID0023169","Irbesartan","C25H28N6O","firefighter",8481.8576675,NA,0,0
"34","429.153-168.7",429.153,168.7,"MTX31","DTXSID0023321-BTMR0165","","C18H26N2O10","firefighter",54053.91425,NA,0,1
"35","417.2626-486.8",417.2626,486.8,"DTXSID0023581","DTXSID0023581","Simvastatin","C25H38O5","firefighter",14788.43075,NA,0,1
"36","285.2248-577.8",285.2248,577.8,"DTXSID00240267","DTXSID00240267","2,6-Dicyclopentyl-5-isopropyl-m-cresol","C20H30O","firefighter",8924.28405,NA,0,0
"37","176.07122-168.2",176.07122,168.2,"DTXSID0024397","DTXSID0024397","Acetoacetanilide","C10H11NO2","firefighter",14620.9586732128,NA,0,1
"38","176.07126-208",176.07126,208,"DTXSID0024397","DTXSID0024397","Acetoacetanilide","C10H11NO2","firefighter",10471.0997113745,NA,0,1
"39","149.09678-383.7",149.09678,383.7,"DTXSID0024890","DTXSID0024890","p-Cymen-8-ol","C10H14O","firefighter",59658.6940343647,NA,0,1
"40","153.01897-160",153.01897,160,"DTXSID0025074","DTXSID0025074","2,4-Dihydroxybenzoic,acid","C7H6O4","firefighter",295143.141792021,NA,0,1
"41","153.019-156.3",153.019,156.3,"DTXSID0025074","DTXSID0025074","2,4-Dihydroxybenzoic,acid","C7H6O4","firefighter",306722.211152589,NA,0,1
"42","385.2351-920",385.2351,920,"DTXSID0025527","DTXSID0025527","Medroxyprogesterone,acetate","C24H34O4","firefighter",279030.9525,NA,1,1
"43","123.04501-191.1",123.04501,191.1,"DTXSID0025571","DTXSID0025571","2-Methyl-1,3-benzenediol","C7H8O2","firefighter",409413.339347168,NA,0,1
"44","179.10734-244.4",179.10734,244.4,"DTXSID0025812","DTXSID0025812","Olivetol","C11H16O2","firefighter",14913.9981693473,NA,0,1
"45","466.3065-592.3",466.3065,592.3,"DTXSID0025818","DTXSID0025818","Oxethazaine","C28H41N3O3","firefighter",35930.4156825,NA,0,1
"46","269.2489-984.5",269.2489,984.5,"DTXSID0026838","DTXSID0026838","Isopropyl,tetradecanoate","C17H34O2","firefighter",5688834.85,NA,0,1
"47","171.13901-573.1",171.13901,573.1,"DTXSID0027351","DTXSID0027351","Sodium,decanoate","C10H20O2","firefighter",5538973.04284037,NA,0,1
"48","133.01429-44.3",133.01429,44.3,"DTXSID0027640","DTXSID0027640","Malic,acid","C4H6O5","firefighter",410606.450388661,NA,0,1
"49","295.1206-618.7",295.1206,618.7,"DTXSID0027773","DTXSID0027773","Trimethylolpropane,triacrylate","C15H20O6","firefighter",18161.027925,NA,1,1
"50","150.0557-168.2",150.0557,168.2,"DTXSID0027806","DTXSID0027806","Potassium,anilinoacetate","C8H8KNO2","firefighter",73426.3770030135,NA,0,1
"51","135.04492-237.9",135.04492,237.9,"DTXSID0029133","DTXSID0029133","4-Hydroxyacetophenone","C8H8O2","firefighter",98096.1896741648,NA,0,1
"52","115.07627-833.2",115.07627,833.2,"DTXSID0029341","DTXSID0029341","3-Pentanone,,1-hydroxy-2-methyl-","C6H12O2","firefighter",19547.6107849415,NA,0,1
"53","115.07629-113.5",115.07629,113.5,"DTXSID0029341","DTXSID0029341","3-Pentanone,,1-hydroxy-2-methyl-","C6H12O2","firefighter",60475.3903932055,NA,0,1
"54","115.07635-219",115.07635,219,"DTXSID0029341","DTXSID0029341","3-Pentanone,,1-hydroxy-2-methyl-","C6H12O2","firefighter",387482.466297211,NA,0,1
"55","168.02958-74.2",168.02958,74.2,"DTXSID00313041","DTXSID00313041","2-(2,5-dioxopyrrol-1-yl)propanoic,acid","C7H7NO4","firefighter",19212.1545802201,NA,0,1
"56","192.06636-346.9",192.06636,346.9,"DTXSID00319624","DTXSID00319624","[Formyl(methyl)amino]methyl,benzoate","C10H11NO3","firefighter",1028885.05649904,NA,0,1
"57","115.07627-833.2",115.07627,833.2,"DTXSID0032811","DTXSID0032811","2,2-Dimethylbutanoic,acid","C6H12O2","firefighter",19547.6107849415,NA,0,1
"58","115.07629-113.5",115.07629,113.5,"DTXSID0032811","DTXSID0032811","2,2-Dimethylbutanoic,acid","C6H12O2","firefighter",60475.3903932055,NA,0,1
"59","115.07635-219",115.07635,219,"DTXSID0032811","DTXSID0032811","2,2-Dimethylbutanoic,acid","C6H12O2","firefighter",387482.466297211,NA,0,1
"60","155.10743-413.6",155.10743,413.6,"DTXSID0034229","DTXSID0034229","gamma-Nonanolactone","C9H16O2","firefighter",21880.6936203186,NA,0,1
"61","382.1243-458.9",382.1243,458.9,"DTXSID0034855","DTXSID0034855","Fluazifop-P-butyl","C19H20F3NO4","firefighter",6178.6937475,NA,1,0
"62","382.1243-437.5",382.1243,437.5,"DTXSID0034855","DTXSID0034855","Fluazifop-P-butyl","C19H20F3NO4","firefighter",3917.16316,NA,1,0
"63","343.2272-898.9",343.2272,898.9,"DTXSID0036508","DTXSID0036508","Medroxyprogesterone","C22H32O3","firefighter",7831.6839775,NA,0,0
"64","172.04008-313.1",172.04008,313.1,"DTXSID0037495","DTXSID0037495","Deisopropylatrazine","C5H8ClN5","firefighter",131973.792375892,NA,0,1
"65","400.1499-284.7",400.1499,284.7,"DTXSID0041141","DTXSID0041141","o-(Chloroacetylcarbamoyl)fumagillol","C19H28ClNO6","firefighter",19218.37725,NA,0,1
"66","253.2178-884.9",253.2178,884.9,"DTXSID0041197","DTXSID0041197","(Z)-Hexadec-9-enoic,acid","C16H30O2","firefighter",74239209.6,NA,0,1
"67","185.15436-654.5",185.15436,654.5,"DTXSID0041270","DTXSID0041270","3,5,5-Trimethylhexyl,acetate","C11H22O2","firefighter",222782.544951515,NA,0,1
"68","172.04008-313.1",172.04008,313.1,"DTXSID0041274","DTXSID0041274","1-Phenyl-1H-pyrrole-2,5-dione","C10H7NO2","firefighter",131973.792375892,NA,0,1
"69","195.13868-578.3",195.13868,578.3,"DTXSID0041357","DTXSID0041357","Ethyl,(2E,4Z)-deca-2,4-dienoate","C12H20O2","firefighter",443934.552913705,NA,0,1
"70","141.09195-326",141.09195,326,"DTXSID0041484","DTXSID0041484","(3Z)-3-Hexenyl,acetate","C8H14O2","firefighter",153472.681344357,NA,0,1
"71","297.2432-756.9",297.2432,756.9,"DTXSID0041567","DTXSID0041567","(9Z,12R)-12-Hydroxyoctadec-9-enoic,acid","C18H34O3","firefighter",2781204.51,NA,0,1
"72","185.15436-654.5",185.15436,654.5,"DTXSID0042038","DTXSID0042038","Heptyl,butanoate","C11H22O2","firefighter",222782.544951515,NA,0,1
"73","280.2636-864",280.2636,864,"DTXSID0042086","DTXSID0042086","Laurocapram","C18H35NO","firefighter",2995.18228,NA,0,0
"74","283.2656-1027.8",283.2656,1027.8,"DTXSID0042323","DTXSID0042323","Potassium,stearate","C18H36O2","firefighter",101386613.925,NA,0,1
"75","149.09678-383.7",149.09678,383.7,"DTXSID0042325","DTXSID0042325","4-Propylanisole","C10H14O","firefighter",59658.6940343647,NA,0,1
"76","191.10725-449.4",191.10725,449.4,"DTXSID0044107","DTXSID0044107","Ibufenac","C12H16O2","firefighter",34075.5722438628,NA,0,1
"77","205.1598-827.9",205.1598,827.9,"DTXSID0044440","DTXSID0044440","2,6-Di(butan-2-yl)phenol","C14H22O","firefighter",1337587.9225,NA,0,1
"78","612.7657-239.9",612.7657,239.9,"DTXSID0044521","DTXSID0044521","Diatrizoic,acid","C11H9I3N2O4","firefighter",32619.00125,NA,0,1
"79","135.08129-341.4",135.08129,341.4,"DTXSID0044571","DTXSID0044571","3-Isopropylphenol","C9H12O","firefighter",30029.6972020223,NA,1,1
"80","215.0373-351.3",215.0373,351.3,"MTX73","DTXSID0044571-BTMR0196","","C9H12O4S","firefighter",29574.551325,NA,1,1
"81","215.0376-338.2",215.0376,338.2,"MTX73","DTXSID0044571-BTMR0196","","C9H12O4S","firefighter",39158.81925,NA,1,1
