"","featureid","mz","rt","DTXSID","DB_name","name_original","formula_cleaned","group","mean_visit1","mean_N_OW","of_interest_cat","NFF_intensityTRUE"
"1","343.22393-769.6",343.22393,769.6,"DTXSID001009330","DTXSID001009330","MEGESTROL","C22H30O3","firefighter",208786.505567836,NA,0,1
"2","343.22427-762.4",343.22427,762.4,"DTXSID001009330","DTXSID001009330","MEGESTROL","C22H30O3","firefighter",182872.189917142,NA,0,1
"3","194.08137-346.1",194.08137,346.1,"DTXSID0020020","DTXSID0020020","4-Acetylaminophenylacetic,acid","C10H11NO3","firefighter",123448.20522942,NA,0,1
"4","132.10195-82.8",132.10195,82.8,"DTXSID0020070","DTXSID0020070","6-Aminocaproic,acid","C6H13NO2","firefighter",1285574.8471529,NA,0,1
"5","151.0753-264.5",151.0753,264.5,"DTXSID0020151","DTXSID0020151","Benzyl,acetate","C9H10O2","firefighter",42783.1834064619,NA,0,1
"6","151.0753-592",151.0753,592,"DTXSID0020151","DTXSID0020151","Benzyl,acetate","C9H10O2","firefighter",10216.1582339822,NA,0,1
"7","151.07531-342.1",151.07531,342.1,"DTXSID0020151","DTXSID0020151","Benzyl,acetate","C9H10O2","firefighter",34586.4768422137,NA,0,1
"8","151.07572-210",151.07572,210,"DTXSID0020151","DTXSID0020151","Benzyl,acetate","C9H10O2","firefighter",15008.4084119952,NA,0,1
"9","195.08845-235.3",195.08845,235.3,"DTXSID0020232","DTXSID0020232","Caffeine","C8H10N4O2","firefighter",27670806.3551919,NA,0,1
"10","183.09959-277.6",183.09959,277.6,"DTXSID0020369","DTXSID0020369","Dacarbazine","C6H10N6O","firefighter",27231.9131081621,NA,0,1
"11","273.18504-1163.3",273.18504,1163.3,"DTXSID0020573","DTXSID0020573","17beta-Estradiol","C18H24O2","firefighter",36848.6976552253,NA,1,1
"12","149.09593-613.3",149.09593,613.3,"DTXSID0020575","DTXSID0020575","Estragole","C10H12O","firefighter",114230.979901306,NA,0,1
"13","197.15372-447.4",197.15372,447.4,"DTXSID0020654","DTXSID0020654","Geranyl,acetate","C12H20O2","firefighter",54418.6501069309,NA,0,1
"14","269.12616-159.3",269.12616,159.3,"DTXSID0020733","DTXSID0020733","ICRF-159","C11H16N4O4","firefighter",125985.149498449,NA,0,1
"15","269.13219-688.9",269.13219,688.9,"DTXSID0020862","DTXSID0020862","3-Methylcholanthrene","C21H16","firefighter",28679.1276229737,NA,1,1
"16","269.1321-459.9",269.1321,459.9,"DTXSID0020862","DTXSID0020862","3-Methylcholanthrene","C21H16","firefighter",7139.65500696603,NA,1,0
"17","125.09622-321.8",125.09622,321.8,"DTXSID0021757","DTXSID0021757","1-Ethynylcyclohexanol","C8H12O","firefighter",80082.6053025204,NA,0,1
"18","259.1906-508.5",259.1906,508.5,"DTXSID0021915","DTXSID0021915","Diethyl,decanedioate","C14H26O4","firefighter",7927.96646891686,NA,0,0
"19","177.0909-354",177.0909,354,"DTXSID0022193","DTXSID0022193","Benzyl,methacrylate","C11H12O2","firefighter",41596.8742083656,NA,1,1
"20","161.13257-1163.3",161.13257,1163.3,"DTXSID0022305","DTXSID0022305","4-tert-Butylstyrene","C12H16","firefighter",24537.7019562508,NA,0,1
"21","401.34077-1164.8",401.34077,1164.8,"DTXSID0022569","DTXSID0022569","Alfacalcidol","C27H44O2","firefighter",7221.59790260698,NA,0,0
"22","429.24097-445.5",429.24097,445.5,"DTXSID0023169","DTXSID0023169","Irbesartan","C25H28N6O","firefighter",11193.1493146127,NA,0,1
"23","274.08779-309.9",274.08779,309.9,"DTXSID0023329","DTXSID0023329","MODAFINIL","C15H15NO2S","firefighter",10702.1135214631,NA,0,1
"24","274.08793-330.7",274.08793,330.7,"DTXSID0023329","DTXSID0023329","MODAFINIL","C15H15NO2S","firefighter",18913.2809133928,NA,0,1
"25","389.17101-381.9",389.17101,381.9,"DTXSID0023371","DTXSID0023371","Nisoldipine","C20H24N2O6","firefighter",1654.07870688132,NA,0,0
"26","389.17089-523.4",389.17089,523.4,"DTXSID0023371","DTXSID0023371","Nisoldipine","C20H24N2O6","firefighter",11666.7352284026,NA,0,1
"27","361.13821-359.7",361.13821,359.7,"DTXSID0023373","DTXSID0023373","Nitrendipine","C18H20N2O6","firefighter",7292.92585088457,NA,0,0
"28","166.12257-261.1",166.12257,261.1,"DTXSID0023537","DTXSID0023537","PSEUDOEPHEDRINE","C10H15NO","firefighter",46350.6539655642,NA,0,1
"29","287.23744-1177.7",287.23744,1177.7,"DTXSID00240267","DTXSID00240267","2,6-Dicyclopentyl-5-isopropyl-m-cresol","C20H30O","firefighter",263113.119106144,NA,0,1
"30","178.08629-478.2",178.08629,478.2,"DTXSID0024397","DTXSID0024397","Acetoacetanilide","C10H11NO2","firefighter",12475.771601112,NA,1,1
"31","178.08642-189.1",178.08642,189.1,"DTXSID0024397","DTXSID0024397","Acetoacetanilide","C10H11NO2","firefighter",32470.2730814866,NA,1,1
"32","387.25216-490.6",387.25216,490.6,"DTXSID0025527","DTXSID0025527","Medroxyprogesterone,acetate","C24H34O4","firefighter",28297.4492604721,NA,1,1
"33","468.32166-592.1",468.32166,592.1,"DTXSID0025818","DTXSID0025818","Oxethazaine","C28H41N3O3","firefighter",3642.19815051207,NA,0,0
"34","285.22138-1094.2",285.22138,1094.2,"DTXSID0025997","DTXSID0025997","13-cis-Retinal","C20H28O","firefighter",38149.7809078213,NA,0,1
"35","195.11304-177.2",195.11304,177.2,"DTXSID0027438","DTXSID0027438","Dibutyl,phosphite","C8H19O3P","firefighter",174251.017219027,NA,0,1
"36","229.12005-505.1",229.12005,505.1,"DTXSID0027480","DTXSID0027480","Phenol,,4,4'-(1-methylethylidene)bis,-,disodium,salt","C15H16O2","firefighter",16285.6634797709,NA,0,1
"37","137.05967-728.6",137.05967,728.6,"DTXSID0029133","DTXSID0029133","4-Hydroxyacetophenone","C8H8O2","firefighter",4881.93059087599,NA,0,0
"38","279.09328-542.3",279.09328,542.3,"DTXSID0029559","DTXSID0029559","Diazolidinyl,urea","C8H14N4O7","firefighter",13919.7655273767,NA,0,1
"39","174.09097-169",174.09097,169,"DTXSID00296688","DTXSID00296688","4,6-Dimethylquinolin-2-ol","C11H11NO","firefighter",15526.5644301562,NA,0,1
"40","174.09127-338.7",174.09127,338.7,"DTXSID00296688","DTXSID00296688","4,6-Dimethylquinolin-2-ol","C11H11NO","firefighter",26440.5785137775,NA,0,1
"41","194.08137-346.1",194.08137,346.1,"DTXSID00319624","DTXSID00319624","[Formyl(methyl)amino]methyl,benzoate","C10H11NO3","firefighter",123448.20522942,NA,0,1
"42","301.17708-772.8",301.17708,772.8,"DTXSID0032572","DTXSID0032572","Prallethrin","C19H24O3","firefighter",9435.23019702187,NA,1,0
"43","301.17912-438.5",301.17912,438.5,"DTXSID0032572","DTXSID0032572","Prallethrin","C19H24O3","firefighter",4691.2911776534,NA,1,0
"44","292.12358-447.9",292.12358,447.9,"DTXSID0032601","DTXSID0032601","Cyproconazole","C15H18ClN3O","firefighter",55470.2247933058,NA,1,1
"45","157.12213-321.8",157.12213,321.8,"DTXSID0034229","DTXSID0034229","gamma-Nonanolactone","C9H16O2","firefighter",46360.5888120233,NA,0,1
"46","301.11838-301.9",301.11838,301.9,"DTXSID0034518","DTXSID0034518","Desmedipham","C16H16N2O4","firefighter",416619.77900227,NA,1,1
"47","174.05501-195.2",174.05501,195.2,"DTXSID0037495","DTXSID0037495","Deisopropylatrazine","C5H8ClN5","firefighter",13771.9889165713,NA,0,1
"48","277.12959-428.1",277.12959,428.1,"DTXSID0040701","DTXSID0040701","Triethyl,citrate","C12H20O7","firefighter",12233.3000946183,NA,0,1
"49","334.14746-331.7",334.14746,331.7,"DTXSID0040757","DTXSID0040757","Ciglitizone","C18H23NO3S","firefighter",40629.6217842293,NA,0,1
"50","255.23194-697.4",255.23194,697.4,"DTXSID0041197","DTXSID0041197","(Z)-Hexadec-9-enoic,acid","C16H30O2","firefighter",20514.7519377021,NA,0,1
"51","174.05501-195.2",174.05501,195.2,"DTXSID0041274","DTXSID0041274","1-Phenyl-1H-pyrrole-2,5-dione","C10H7NO2","firefighter",13771.9889165713,NA,0,1
"52","197.15372-447.4",197.15372,447.4,"DTXSID0041357","DTXSID0041357","Ethyl,(2E,4Z)-deca-2,4-dienoate","C12H20O2","firefighter",54418.6501069309,NA,0,1
"53","143.10671-256.2",143.10671,256.2,"DTXSID0041484","DTXSID0041484","(3Z)-3-Hexenyl,acetate","C8H14O2","firefighter",10511.6564613408,NA,0,1
"54","299.25793-1010.3",299.25793,1010.3,"DTXSID0041567","DTXSID0041567","(9Z,12R)-12-Hydroxyoctadec-9-enoic,acid","C18H34O3","firefighter",11852.6618774197,NA,0,1
"55","303.07236-159.3",303.07236,159.3,"DTXSID0043761","DTXSID0043761","4,4'-Dinitrodiphenylurea","C13H10N4O5","firefighter",19341.383823166,NA,1,1
