INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,SWGDRUG,STATINS,UOATARGPHARMA,VETDRUGS,DRUGBANK,ANTIBIOTICS,ZINC15PHARMA,PAHLIST
DTXSID1020859,DSSTox_Substance_Id,DTXSID1020859,alpha-Methylbenzyl alcohol,98-85-1,Y,-,-,-,-,-,-,-
DTXSID1022479,DSSTox_Substance_Id,DTXSID1022479,2-Ethylphenol,90-00-6,-,-,-,-,-,-,-,-
DTXSID5025574,DSSTox_Substance_Id,DTXSID5025574,4-Methylbenzyl alcohol,589-18-4,-,-,-,-,-,-,-,-
DTXSID6025145,DSSTox_Substance_Id,DTXSID6025145,"2,5-Dimethylphenol",95-87-4,-,-,-,-,-,-,-,-
DTXSID2021864,DSSTox_Substance_Id,DTXSID2021864,"2,4-Dimethylphenol",105-67-9,-,-,-,-,-,-,-,-
DTXSID6025143,DSSTox_Substance_Id,DTXSID6025143,"2,3-Dimethylphenol",526-75-0,-,-,-,-,-,-,-,-
DTXSID0022480,DSSTox_Substance_Id,DTXSID0022480,3-Ethylphenol,620-17-7,-,-,-,-,-,-,-,-
DTXSID9024063,DSSTox_Substance_Id,DTXSID9024063,"2,6-Dimethylphenol",576-26-1,-,-,-,-,-,-,-,-
DTXSID4021977,DSSTox_Substance_Id,DTXSID4021977,4-Ethylphenol,123-07-9,-,-,-,-,-,-,-,-
DTXSID4024062,DSSTox_Substance_Id,DTXSID4024062,"3,4-Dimethylphenol",95-65-8,-,-,-,-,Y,-,Y,-
DTXSID6022557,DSSTox_Substance_Id,DTXSID6022557,Adenine,73-24-5,Y,-,-,-,Y,-,Y,-
DTXSID0063109,DSSTox_Substance_Id,DTXSID0063109,"Ethanone, 1-(3,4-dimethylphenyl)-",3637-01-2,-,-,-,-,-,-,-,-
DTXSID9021974,DSSTox_Substance_Id,DTXSID9021974,4-Isopropylbenzaldehyde,122-03-2,-,-,-,-,-,-,-,-
DTXSID0020575,DSSTox_Substance_Id,DTXSID0020575,Estragole,140-67-0,Y,-,-,-,-,-,-,-
DTXSID5052125,DSSTox_Substance_Id,DTXSID5052125,"2,4,6-Trimethylbenzaldehyde",487-68-3,-,-,-,-,-,-,-,-
DTXSID4047098,DSSTox_Substance_Id,DTXSID4047098,3-Phenylbutyraldehyde,16251-77-7,-,-,-,-,-,-,-,-
DTXSID4020086,DSSTox_Substance_Id,DTXSID4020086,Anethole,104-46-1,Y,-,-,-,-,-,-,-
DTXSID9020087,DSSTox_Substance_Id,DTXSID9020087,(E)-Anethole,4180-23-8,Y,-,-,-,-,-,-,-
DTXSID6067412,DSSTox_Substance_Id,DTXSID6067412,"Benzaldehyde, 4-propyl-",28785-06-0,-,-,-,-,-,-,-,-
DTXSID6033241,DSSTox_Substance_Id,DTXSID6033241,Benzylacetone,2550-26-7,Y,-,-,-,-,-,-,-
DTXSID6048202,DSSTox_Substance_Id,DTXSID6048202,Isopropyl phenyl ketone,611-70-1,-,-,-,-,-,-,-,-
DTXSID7027174,DSSTox_Substance_Id,DTXSID7027174,"1,2,3,4-Tetrahydronaphthalen-1-ol",529-33-9,-,-,-,-,-,-,-,-
DTXSID7049398,DSSTox_Substance_Id,DTXSID7049398,Safranal,116-26-7,-,-,-,-,-,-,-,-
DTXSID3047425,DSSTox_Substance_Id,DTXSID3047425,4-Butylphenol,1638-22-8,-,-,-,-,-,-,-,-
DTXSID1047601,DSSTox_Substance_Id,DTXSID1047601,"1,1-Dimethylphenylethanol",100-86-7,-,-,-,-,-,-,-,-
DTXSID9044825,DSSTox_Substance_Id,DTXSID9044825,3-tert-Butylphenol,585-34-2,-,-,-,-,-,-,-,-
DTXSID6034972,DSSTox_Substance_Id,DTXSID6034972,Thymol,89-83-8,Y,-,-,-,Y,-,Y,-
DTXSID7041413,DSSTox_Substance_Id,DTXSID7041413,R-(-)-Carvone,6485-40-1,-,-,-,-,-,-,-,-
DTXSID0042325,DSSTox_Substance_Id,DTXSID0042325,4-Propylanisole,104-45-0,-,-,-,-,-,-,-,-
DTXSID2026525,DSSTox_Substance_Id,DTXSID2026525,2-tert-Butylphenol,88-18-6,-,-,-,-,-,-,-,-
DTXSID5041190,DSSTox_Substance_Id,DTXSID5041190,l-Perillaldehyde,18031-40-8,-,-,-,-,-,-,-,-
DTXSID9047463,DSSTox_Substance_Id,DTXSID9047463,"Tricyclo(5.2.1.02,6)decane-8-one",13380-94-4,-,-,-,-,-,-,-,-
DTXSID6042074,DSSTox_Substance_Id,DTXSID6042074,Isopropyl-o-cresol,499-75-2,-,-,-,-,-,-,-,-
DTXSID2022331,DSSTox_Substance_Id,DTXSID2022331,2-(Butan-2-yl)phenol,89-72-5,-,-,-,-,-,-,-,-
DTXSID7022332,DSSTox_Substance_Id,DTXSID7022332,4-(Butan-2-yl)phenol,99-71-8,-,-,-,-,-,-,-,-
DTXSID8020256,DSSTox_Substance_Id,DTXSID8020256,d-Carvone,2244-16-8,-,-,-,-,-,-,-,-
DTXSID1020221,DSSTox_Substance_Id,DTXSID1020221,4-tert-Butylphenol,98-54-4,-,-,-,-,-,-,-,-
DTXSID0024890,DSSTox_Substance_Id,DTXSID0024890,p-Cymen-8-ol,1197-01-9,-,-,-,-,-,-,-,-
DTXSID0021626,DSSTox_Substance_Id,DTXSID0021626,4-Isopropylbenzyl alcohol,536-60-7,-,-,-,-,-,-,-,-
DTXSID8026729,DSSTox_Substance_Id,DTXSID8026729,Butanoic anhydride,106-31-0,-,-,-,-,-,-,-,-
DTXSID7026609,DSSTox_Substance_Id,DTXSID7026609,Isobutyric anhydride,97-72-3,-,-,-,-,-,-,-,-
DTXSID4044402,DSSTox_Substance_Id,DTXSID4044402,tert-Butyl 3-oxobutanoate,1694-31-1,-,-,-,-,-,-,-,-
DTXSID1022186,DSSTox_Substance_Id,DTXSID1022186,2-Ethoxyethyl methacrylate,2370-63-0,-,-,-,-,-,-,-,-
DTXSID6044985,DSSTox_Substance_Id,DTXSID6044985,{2-[2-(Ethenyloxy)ethoxy]ethoxy}ethene,764-99-8,-,-,-,-,-,-,-,-
DTXSID3060453,DSSTox_Substance_Id,DTXSID3060453,"Butanoic acid, 3-oxo-, butyl ester",591-60-6,-,-,-,-,-,-,-,-
DTXSID7026609,DSSTox_Substance_Id,DTXSID7026609,Isobutyric anhydride,97-72-3,-,-,-,-,-,-,-,-
DTXSID4044402,DSSTox_Substance_Id,DTXSID4044402,tert-Butyl 3-oxobutanoate,1694-31-1,-,-,-,-,-,-,-,-
DTXSID8026729,DSSTox_Substance_Id,DTXSID8026729,Butanoic anhydride,106-31-0,-,-,-,-,-,-,-,-
DTXSID1022186,DSSTox_Substance_Id,DTXSID1022186,2-Ethoxyethyl methacrylate,2370-63-0,-,-,-,-,-,-,-,-
DTXSID6044985,DSSTox_Substance_Id,DTXSID6044985,{2-[2-(Ethenyloxy)ethoxy]ethoxy}ethene,764-99-8,-,-,-,-,-,-,-,-
DTXSID3060453,DSSTox_Substance_Id,DTXSID3060453,"Butanoic acid, 3-oxo-, butyl ester",591-60-6,-,-,-,-,-,-,-,-
DTXSID0022305,DSSTox_Substance_Id,DTXSID0022305,4-tert-Butylstyrene,1746-23-2,-,-,-,-,-,-,-,-
DTXSID5047617,DSSTox_Substance_Id,DTXSID5047617,2-Isopropyl-5-methylanisole,1076-56-8,-,-,-,-,-,-,-,-
DTXSID8041452,DSSTox_Substance_Id,DTXSID8041452,2-(1-Methylbutyl)phenol,87-26-3,-,-,-,-,-,-,-,-
DTXSID8062949,DSSTox_Substance_Id,DTXSID8062949,"Phenol, 2-(1,1-dimethylpropyl)-",3279-27-4,-,-,-,-,-,-,-,-
DTXSID8021771,DSSTox_Substance_Id,DTXSID8021771,4-(2-Methylbutan-2-yl)phenol,80-46-6,-,-,-,-,-,-,-,-
DTXSID2026529,DSSTox_Substance_Id,DTXSID2026529,2-Tert-Butyl-5-methylphenol,88-60-8,-,-,-,-,-,-,-,-
DTXSID8052229,DSSTox_Substance_Id,DTXSID8052229,3-Methyl-4-phenyl-2-butanol,56836-93-2,-,-,-,-,-,-,-,-
DTXSID4047468,DSSTox_Substance_Id,DTXSID4047468,2-tert-Butyl-6-methylphenol,2219-82-1,-,-,-,-,-,-,-,-
DTXSID2020212,DSSTox_Substance_Id,DTXSID2020212,4-Methyl-2-tert-butylphenol,2409-55-4,-,-,-,-,-,-,-,-
DTXSID4047092,DSSTox_Substance_Id,DTXSID4047092,Jasmone,488-10-8,-,-,-,-,-,-,-,-
DTXSID9044164,DSSTox_Substance_Id,DTXSID9044164,4-Pentylphenol,14938-35-3,-,-,-,-,-,-,-,-
DTXSID7025972,DSSTox_Substance_Id,DTXSID7025972,3-Propylidenephthalide,17369-59-4,-,-,-,-,-,-,-,-
DTXSID5023247,DSSTox_Substance_Id,DTXSID5023247,Menadiol,481-85-6,-,-,-,-,-,-,-,-
DTXSID5023081,DSSTox_Substance_Id,DTXSID5023081,D-Fructose,57-48-7,-,-,-,-,Y,-,-,-
DTXSID5021336,DSSTox_Substance_Id,DTXSID5021336,Theophylline,58-55-9,Y,-,Y,Y,Y,-,Y,-
DTXSID9026132,DSSTox_Substance_Id,DTXSID9026132,Theobromine,83-67-0,Y,-,-,-,Y,-,Y,-
DTXSID30365139,DSSTox_Substance_Id,DTXSID30365139,methyl 9-decenoate,25601-41-6,-,-,-,-,-,-,-,-
DTXSID0047408,DSSTox_Substance_Id,DTXSID0047408,"Methyl 3,7-dimethyloct-6-enoate",2270-60-2,-,-,-,-,-,-,-,-
DTXSID4034287,DSSTox_Substance_Id,DTXSID4034287,5-Heptyldihydro-2(3H)-furanone,104-67-6,-,-,-,-,-,-,-,-
DTXSID8044624,DSSTox_Substance_Id,DTXSID8044624,Octyl prop-2-enoate,2499-59-4,-,-,-,-,-,-,-,-
DTXSID8035001,DSSTox_Substance_Id,DTXSID8035001,10-Undecenoic acid,112-38-9,-,-,-,-,-,-,-,-
DTXSID9025297,DSSTox_Substance_Id,DTXSID9025297,2-Ethylhexyl acrylate,103-11-7,-,-,-,-,-,-,-,-
DTXSID9047099,DSSTox_Substance_Id,DTXSID9047099,6-Hexyltetrahydro-2H-pyran-2-one,710-04-3,-,-,-,-,-,-,-,-
DTXSID3041299,DSSTox_Substance_Id,DTXSID3041299,Dihydrojasmone lactone,7011-83-8,-,-,-,-,-,-,-,-
DTXSID8044383,DSSTox_Substance_Id,DTXSID8044383,Diphenyl sulfide,139-66-2,-,-,-,-,-,-,-,-
DTXSID50239828,DSSTox_Substance_Id,DTXSID50239828,Ethyl 8-hydroxyoctanoate,93892-06-9,-,-,-,-,-,-,-,-
DTXSID6047604,DSSTox_Substance_Id,DTXSID6047604,2-Phenylethyl butanoate,103-52-6,-,-,-,-,-,-,-,-
DTXSID1047603,DSSTox_Substance_Id,DTXSID1047603,Benzyl 3-methylbutanoate,103-38-8,-,-,-,-,-,-,-,-
DTXSID3051917,DSSTox_Substance_Id,DTXSID3051917,"3a,4,5,6,7,7a-Hexahydro-1H-4,7-methanoinden-5-yl acetate",2500-83-6,-,-,-,-,-,-,-,-
DTXSID7044764,DSSTox_Substance_Id,DTXSID7044764,2-Phenylethyl 2-methylpropanoate,103-48-0,-,-,-,-,-,-,-,-
DTXSID6047159,DSSTox_Substance_Id,DTXSID6047159,p-Tolyl isovalerate,55066-56-3,-,-,-,-,-,-,-,-
DTXSID0044107,DSSTox_Substance_Id,DTXSID0044107,Ibufenac,1553-60-2,-,-,-,-,-,-,-,-
DTXSID8047185,DSSTox_Substance_Id,DTXSID8047185,Isopentyl benzoate,94-46-2,-,-,-,-,-,-,-,-
DTXSID3041877,DSSTox_Substance_Id,DTXSID3041877,Dimethylbenzylcarbinyl acetate,151-05-3,-,-,-,-,-,-,-,-
DTXSID6032358,DSSTox_Substance_Id,DTXSID6032358,Cymoxanil,57966-95-7,-,-,-,-,-,-,-,-
DTXSID6042446,DSSTox_Substance_Id,DTXSID6042446,Dihydroterpineol acetate,58985-18-5,-,-,-,-,-,-,-,-
DTXSID5046566,DSSTox_Substance_Id,DTXSID5046566,Methyl 10-undecenoate,111-81-9,-,-,-,-,-,-,-,-
