,DTXSID,CASRN,name_original,formula_original,choose for targeted 1st 20,choose for targeted 2nd 20,revised priority based on likelihood to work on lc/ms - 1st 20,revised priority based on likelihood to work on lc/ms - 2st 20,choose.for.targeted.83,selected.rar.proposed.high.exposure.and.tox,Selected.forced.in.Nurses,FORCED.IN.FF,selected.because.of.NTA.confrmed.in.fragmentation,choose.for.targeted.long.and.older.,POS.mode,NEG.mode,neg.pos.from.JT,LH.rank,LH.notes,DTSC.and.other.chemists..any.concern.with.compatability.with.your.methods..chemical.stability.in.serum,DTSC...has.standards.,Elissia.ID.supplier,Link.to.order,QC EPA,In volatile EPA list,In pubchem ,Polarizability,LC-MS compatible (Elissia),,
1,DTXSID7044972,'6701-13-9,1--10-Decanediol--dimethacrylate,C18H30O4,1,,1,,1,NA,NA,,1,"1 yes from NTA-- FF, high expo pred",1,NA,,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/6701-13-9?focus=products&page=1&perPage=30&sort=relevance&term=6701-13-9&type=product,,,GC-MS data,34.9,N,[M + H]+,Probably could force protonation in extreme acid environment
2,DTXSID7025132,'83-41-0,1--2-Dimethyl-3-nitrobenzene,C8H9NO2,1,,1,,1,NA,NA,,1,1 yes from NTA,1,NA,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=P827,,,GC-MS data,23,M,[M + H]+,Probably could force protonation in  acid environment
3,DTXSID00442840,'329710-76-1,2-(TRIFLUOROMETHOXY)ETHYL--TRIFLUOROMETHANESULFONATE,C4H4F6O4S,1,,1,,1,NA,NA,,1,1 yes from nta - FF,NA,1,,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/product/manchesterorganics/man412112319?context=bbe,,,no spectra information,13.3,N,NA,
4,DTXSID3075044,'2315-61-9,2-[2-[4-(1--1--3--3-Tetramethylbutyl)phenoxy]ethoxy]ethanol,C18H30O3,1,,1,,1,NA,NA,,1,1 yes from NTA-- FF,1,1,,NA,NA,,no,Santa Cruz Biotechnology,https://www.scbt.com/p/4-tert-octylphenol-diethoxylate-2315-61-9?requestFrom=search,,,GC-MS data,34.5,N,NA,
7,DTXSID3026566,'94-60-0,Dimethyl--hexahydroterephthalate,C10H16O4,1,,1,,1,NA,NA,,1,1 yes from NTA,1,NA,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=P185,"mixture of cis and trans isomers; 60% cis and 40% trans; [Lewis, R.J., Sr (Ed.). Hawley's Condensed Chemical Dictionary. 12th ed. New York, NY: Van Nostrand Rheinhold Co., 1993, p. 415] ",,GC-MS data,19.7,N,NA,
11,DTXSID7023300,'83-43-2,Methylprednisolone,C22H30O5,1,,1,,1,NA,NA,,1,1 yes from NTA,1,1,,1,NA,,no,Santa Cruz Biotechnology,https://www.scbt.com/p/methylprednisolone-83-43-2,,,LC-MS data,39.7,M,[M + H]+,Maybe inefficient
12,DTXSID60221855,'71609-22-8,N-HYDROXY-N--N'-DIACETYLBENZIDINE,C16H16N2O3,1,,1,,1,NA,NA,,1,1 yes from NTA-FF,NA,1,,NA,NA,,no,S molecule,https://www.smolecule.com/products/s593758,Loaded based on no conflicts with this data in chemid and pubchem,,no spectra information,32.1,N,NA,
18,DTXSID2033314,'55-56-1,Chlorhexidine,C22H30Cl2N10,1,,1,,1,NA,1,,NA,? LH selection-- disinfectant,NA,1,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/55-56-1?focus=products&page=1&perPage=30&sort=relevance&term=55-56-1&type=product,,,MS-MS and GC-MS data,53.1,Y,[M + H]+,
20,DTXSID3022877,'147-94-4,Cytarabine,C9H13N3O5,1,,1,,1,NA,1,,NA,7 reported admin-- LH selection,NA,1,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=J10463,,,LC-MS data,20.9,M,[M + H]+,Maybe inefficient
22,DTXSID5023035,'33419-42-0,Etoposide,C29H32O13,1,,1,,1,NA,1,,NA,8 reported administering-- long half life?,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=E768,,,LC-MS data,55.5,M,[M + H]+/ [M - H]-,May not see precursor
30,DTXSID4020822,'59-05-2,Methotrexate,C20H22N8O5,1,,1,,1,NA,1,,NA,Y? 12 reported administering-- LH selection,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=J10045,,,LC-MS data,47.2,Y,[M + H]+/ [M - H]-,
32,DTXSID3023340,'128794-94-5,Mycophenolate--mofetil,C23H31NO7,1,,1,,1,NA,1,,NA,y? 15 reported administering-- LH selection,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=H944,double bond geometry,,LC-MS data,45.3,M,[M + H]+,Maybe inefficient
49,DTXSID2021864,'105-67-9,2--4-Dimethylphenol,C8H10O,1,,,5,1,1,NA,1,NA,"rar choice high pred exposure-- EDC e2 up, also FF chem",1,1,,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/105-67-9?focus=products&page=1&perPage=30&sort=relevance&term=105-67-9&type=product,,,GC-MS data,15,N,NA,similar to p-cresol
58,DTXSID9020825,'5834-17-3,2-Methoxy-3-aminodibenzofuran,C13H11NO2,1,,1,,1,NA,NA,1,NA,"Yes, Furan",NA,NA,positive,NA,NA,,no,Toronto Research Chemicals,https://www.trc-canada.com/product-detail/?A898123,,,GC-MS data,25.8,M,[M + H]+,may be able to force protonation
59,DTXSID2020921,'91-59-8,2-Naphthylamine,C10H9N;C10H9N,1,,1,,1,NA,NA,1,NA,"Yes, combustion ",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=U022,,,LC-MS data,19.2,M,[M + H]+,May be inefficient
65,DTXSID20577986,'140834-64-6,4-(PERFLUOROBUTYL)-2-BUTANONE,C8H7F9O,1,,,5,1,NA,NA,1,NA,"Yes, PFAS, dif v1 vs v3",NA,NA,negative,NA,NA,,no,Toronto Research Chemicals,https://www.trc-canada.com/product-detail/?N887338,,,no spectra information,16,N,NA,
69,DTXSID4034287,'104-67-6,5-Heptyldihydro-2(3H)-furanone,C11H20O2;C11H20O2;C11H20O2;C11H20O2;C11H20O2,1,,,5,1,NA,NA,1,NA,"Yes, Furan dif v1 vs 3, dif v1 vs v2, in potive mode also",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=M524,,,GC-MS data,20.9,N,NA,
75,DTXSID8052017,'3330-15-2,PERFLUORO-3-(1H-PERFLUOROETHOXY)PROPANE,NA,1,,,5,1,NA,NA,1,NA,"Yes, PFAS, dif v1 vs v3",NA,NA,positive,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=0507AE,,,GC-MS data,11.3,N,NA,
80,DTXSID1020350,'120-71-8,2-Methoxy-5-methylaniline,C8H11NO,1,,1,,1,1,NA,,NA,rar choice? Exposure predict-- pellizari-- and p4 up,NA,1,,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/120-71-8?focus=products&page=1&perPage=30&sort=relevance&term=120-71-8&type=product,,,LC-MS data,16.6,Y,[M + H]+,
81,DTXSID9041653,'4707-47-5,Methyl--2--4-dihydroxy-3--6-dimethylbenzoate,C10H12O4,,1,1,,1,1,NA,,NA,rar choice?-- high exposure predicted and EDC-e2 up,1,NA,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=W1972,,,LC-MS data,20.4,Y,[M + H]+/ [M - H]-,
83,DTXSID7021869,'106-44-5,p-Cresol,C7H8O,1,1,,5,1,1,NA,,NA,rar choice high predicted exposure and EDC-e2 up,1,1,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=G463,,Y,LC-MS data,13.1,N,NA,Probably won't see the parent ion
39,DTXSID8048288,'175865-60-8,VALGANCICLOVIR,C14H22N6O5,,1,1,,1,NA,1,,NA,3 reported administering-- LH selection?-- yes-- common and hazardous,NA,1,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/175865-60-8?focus=products&page=1&perPage=30&sort=relevance&term=175865-60-8&type=product,,,LC-MS data,33.3,Y,[M - H]-/ [M + H]+,
41,DTXSID9046023,'68291-97-4,ZONISAMIDE,C8H8N2O3S,,1,1,,1,NA,1,,NA,yes-- repro toxin-- yes-- common and hazardous,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=F988,,,LC-MS data,20.5,Y,[M + H]+,
46,DTXSID7022332,'89-72-5,4-(Butan-2-yl)phenol,C10H14O;C10H14O;C10H14O;C10H14O,,1,,5,1,NA,NA,?,NA,"difference v1 vs 3, dif v1 vs v2, high expos pred",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=S653,,,GC-MS data,18.6,N,NA,
79,DTXSID1020439,'120-83-2,2--4-Dichlorophenol,C6H4Cl2O,,1,1,,1,1,NA,,NA,rar choice-- high pred exposure-- edc e2 up,NA,NA,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=D748,,Y,LC-MS data,15,Y,[M - H]-,Ionization efficient may be low or may see ion suppression
82,DTXSID6020939,'139-13-9,Nitrilotriacetic--acid,C6H9NO6,,1,1,,1,1,NA,,NA,rar choice-- high predicted exposure-- EDC-E2up,NA,NA,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=I536,,,GC-MS data,15.2,M,[M - H]-,Maybe could force deprotonation in basic conditions
15,DTXSID8021480,'23214-92-8,ADRIAMYCIN,C27H29NO11,,2,1,,1,NA,1,,NA,5 reported as doxorubicin-- LH selection,NA,NA,,1,NA,,no,Santa Cruz Biotechnology,https://www.scbt.com/p/doxorubicin-23214-92-8?requestFrom=search,,,LC-MS data,52.1,Y,[M + H]+,
19,DTXSID5020364,'50-18-0,CYCLOPHOSPHAMIDE,C7H15Cl2N2O2P,,2,,1,1,NA,1,,NA,4 reported as cytoxan-- LH selection,NA,NA,,1,NA,,no,Santa Cruz Biotechnology,https://www.scbt.com/p/cyclophosphamide-50-18-0?requestFrom=search,,,LC-MS data,23,Y,[M + H]+,
23,DTXSID3020625,'98319-26-7,Finasteride,C23H36N2O2,,2,,1,1,NA,1,,NA,2 reported use-- repro harm,NA,NA,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/98319-26-7?focus=products&page=1&perPage=30&sort=relevance&term=98319-26-7&type=product,,,LC-MS data,42.4,Y,[M + H]+,
53,DTXSID50184723,'307-29-9,"1H,1H-PERFLUOROOCTYLAMINE",C8H4F15N,,2,,1,1,NA,NA,1,NA,"Yes, PFAS, dif v1 vs v3",NA,NA,negative,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/product/aldrich/cds002883?context=product,Loaded based on no conflicts with this data in chemid and pubchem,,no spectra information,17.8,M,[M + H]+,Probably could force protonation in  acid environment
