,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,cv_N/CV_OW,sdN/Sd_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DF_high_N,parent_id,DB_name,name_original,interest for fragmentation,SMILES_cleaned,name_cleaned,formula_cleaned,Molweight_cleaned,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI,BC-relevant,">2xfb, higher N"
1,463.1612-167,7185,463.1612,167,3.333333333,0,83.33333333,3.333333333,23.73126876,164.372536,692.6411634,0,NA,0,0,NA,0,NA,#VALUE!,#DIV/0!,2075.743178,2013.673831,97.00977716,1912.379464,NA,3,28421.05263,Multiple,463.159873,2.87,C23H26O10,462.1526,M+H,11.86563438,17493.73958,0,DTXSID0020814,DTXSID0020814-BTMR0164,Mestranol,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,"(8R,9S,13S,14S,17R)-17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol",C21H26O2,310.19328,"ERactive, VBtoxcast, MC",,,,,,,,,1,,,1,0.742,,,,,,1,-4.467339,71.75884,55,,,0,1,NA,0,NA,NA,NA,0,1,pos,2,
2,463.16128-173.9,7185,463.16128,173.9,3.333333333,0,8.333333333,3.333333333,26.20644901,167.6082142,639.5685813,0,NA,0,0,NA,0,NA,#VALUE!,#DIV/0!,8.526579473,29.53693772,346.4101615,0,NA,3,28421.05263,Multiple,463.159873,3.04,C23H26O10,462.1526,M+H,13.10322451,65.07237565,0,DTXSID0020814,DTXSID0020814-BTMR0164,Mestranol,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,"(8R,9S,13S,14S,17R)-17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol",C21H26O2,310.19328,"ERactive, VBtoxcast, MC",,,,,,,,,1,,,1,0.742,,,,,,1,-4.467339,71.75884,55,,,0,1,NA,0,NA,NA,NA,0,1,pos,2,
3,463.1612-167,7186,463.1612,167,3.333333333,0,83.33333333,3.333333333,23.73126876,164.372536,692.6411634,0,NA,0,0,NA,0,NA,#VALUE!,#DIV/0!,2075.743178,2013.673831,97.00977716,1912.379464,NA,3,28421.05263,Multiple,463.159873,2.87,C23H26O10,462.1526,M+H,11.86563438,17493.73958,0,DTXSID0020943,DTXSID0020943-BTMR0171,2-Methoxy-5-nitroaniline,,COc1ccc([N+](=O)[O-])cc1N,2-methoxy-5-nitroaniline,C7H8N2O3,168.053492,"VBtoxcast, MC",,,,,,,,,1,Aromatic amine,,,,,,,,,1,-3.936604,4.887974,5,,,0,1,NA,0,NA,NA,NA,0,1,pos,1,
4,463.16128-173.9,7186,463.16128,173.9,3.333333333,0,8.333333333,3.333333333,26.20644901,167.6082142,639.5685813,0,NA,0,0,NA,0,NA,#VALUE!,#DIV/0!,8.526579473,29.53693772,346.4101615,0,NA,3,28421.05263,Multiple,463.159873,3.04,C23H26O10,462.1526,M+H,13.10322451,65.07237565,0,DTXSID0020943,DTXSID0020943-BTMR0171,2-Methoxy-5-nitroaniline,,COc1ccc([N+](=O)[O-])cc1N,2-methoxy-5-nitroaniline,C7H8N2O3,168.053492,"VBtoxcast, MC",,,,,,,,,1,Aromatic amine,,,,,,,,,1,-3.936604,4.887974,5,,,0,1,NA,0,NA,NA,NA,0,1,pos,1,
5,431.16834-169,7193,431.16834,169,100,100,0,0,13509.96482,6661.956304,49.311426,13236.39066,11832.29218,11758.19374,7622.521561,64.82731725,10252.97096,9020.726125,0.760658131,0.873983268,0,0,NA,0,NA,3,77142.85714,Unique,431.166021,5.38,C18H26N2O10,430.15875,M+H,12634.07928,0,0,DTXSID0022012,DTXSID0022012-BTMR0166,3-Methoxyphenol,1,COc1cccc(O)c1,3-methoxyphenol,C7H8O2,124.052429,"E2Up, VBtoxcast",,,,,,,,,,,,,,1,2,,,,1,-2.582733377,2.265952747,5,,,0,0,nurses1,0.375736252,0.136037025,2.762014618,0.006296761,1,1,pos,1,1
6,431.16828-165.5,7193,431.16828,165.5,100,100,0,0,14035.25158,7361.258443,52.44835409,13101.34451,12114.82055,12225.41937,7564.257466,61.87319416,10955.78365,9361.108842,0.847674907,0.973163391,0,0,NA,0,NA,3,77142.85714,Unique,431.166021,5.24,C18H26N2O10,430.15875,M+H,13130.33547,0,0,DTXSID0022012,DTXSID0022012-BTMR0166,3-Methoxyphenol,1,COc1cccc(O)c1,3-methoxyphenol,C7H8O2,124.052429,"E2Up, VBtoxcast",,,,,,,,,,,,,,1,2,,,,1,-2.582733377,2.265952747,5,,,0,0,nurses1,0.359712722,0.139738616,2.574182652,0.0107933,1,1,pos,1,1
7,342.15619-183.8,7197,342.15619,183.8,100,100,0,0,199068.2046,255776.2526,128.4867431,123596.7601,127568.8509,148032.5073,194043.4449,131.0816444,107269.2468,94737.91822,0.98020393,1.318139104,0,0,NA,0,NA,3,50310.55901,Unique,342.1547281,4.27,C16H23NO7,341.14745,M+H,173550.356,0,0,DTXSID0022436,DTXSID0022436-BTMR0197,"Diphenolic,acid",1,CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1,"4,4-bis(4-hydroxyphenyl)pentanoic acid",C17H18O4,286.120509,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.174,,,,,,1,-0.770813549,6.026605379,8,,,0,0,nurses1,0.467379155,0.181861316,2.569975659,0.010920787,1,1,pos,1,1
8,353.08511-553.7,7200,353.08511,553.7,61.66666667,52.5,58.33333333,9.166666667,505.58445,956.1794783,189.1235932,324.2722353,NA,426.0076018,511.5321416,120.0758248,278.9394969,NA,1.57503472,1.869246134,408.4047959,589.1187554,144.2487359,177.1363533,NA,2,10,Multiple,353.0835544,4.41,C12H20N2O6S2,352.07628,M+H,465.7960259,87.6788923,0,DTXSID0022773,DTXSID0022773-BTMR0167,CEFTRIAXONE,,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,"(6R,7R)-7-[[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(2-methyl-5,6-dioxo-1H-1,2,4-triazin-3-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",C18H18N8O7S3,554.046058,Drug,1,,0,0,,0,,,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,1,pos,0,
9,353.08612-557,7200,353.08612,557,43.33333333,48.75,58.33333333,-5.416666667,412.9388194,727.048459,176.0668711,0,NA,315.7767295,506.697379,160.4606457,0,NA,1.097258897,1.434877087,385.8332163,425.5001728,110.2808558,304.9514046,NA,2,10,Multiple,353.0835544,7.27,C12H20N2O6S2,352.07628,M+H,364.3577744,105.8940534,0,DTXSID0022773,DTXSID0022773-BTMR0167,CEFTRIAXONE,,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,"(6R,7R)-7-[[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(2-methyl-5,6-dioxo-1H-1,2,4-triazin-3-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",C18H18N8O7S3,554.046058,Drug,1,,0,0,,0,,,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,1,pos,0,
10,313.12622-382.3,7236,313.12622,382.3,100,100,100,0,29528.60539,26548.10684,89.90640258,18311.11017,22195.99604,31442.39702,28594.16044,90.94141398,18218.34636,23065.63934,0.988618921,0.928445054,32398.57048,34338.28052,105.9870235,18970.52482,23231.46953,3,25000,Unique,313.128179,6.26,C15H20O7,312.1209,M+H,30485.5012,106.2753414,0,DTXSID00382171,DTXSID00382171-BTMR0165,2(PERFLUORO-2-PROPYL)ETHANOL,,OCCC(F)(C(F)(F)F)C(F)(F)F,"3,4,4,4-tetrafluoro-3-(trifluoromethyl)butan-1-ol",C5H5F7O,214.022862,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,1,pos,0,
