MW,RT,mz,featureid,time,formula_cleaned,DB_name,name,ESI
107.05,218.3,107.05021;107.05021;107.05021;107.05021;107.05009;107.05009,107.05021-218.3;107.05021-218.3;107.05021-218.3;107.05021-218.3;107.05009-196.3;107.05009-196.3,218.3;218.3;218.3;218.3;196.3;196.3,C7H8O;C7H8O;C7H8O;C7H8O;C7H8O;C7H8O,DTXSID5020152;DTXSID6024200;DTXSID7021869;DTXSID8021808;DTXSID6024200;DTXSID7021869,"Benzyl,alcohol;m-Cresol;p-Cresol;o-Cresol;m-Cresol;p-Cresol",N;N;N;N;FF;FF
108.045,111.5,108.04521;108.04521;108.04521,108.04521-111.5;108.04521-111.5;108.04521-111.5,111.5;111.5;111.5,C6H7NO;C6H7NO;C6H7NO,DTXSID3024497;DTXSID3024499;DTXSID8024498,3-Aminophenol;4-Aminophenol;2-Aminophenol,FF;FF;FF
108.045,149.8,108.04533;108.04533;108.04533,108.04533-149.8;108.04533-149.8;108.04533-149.8,149.8;149.8;149.8,C6H7NO;C6H7NO;C6H7NO,DTXSID3024497;DTXSID3024499;DTXSID8024498,3-Aminophenol;4-Aminophenol;2-Aminophenol,FF;FF;FF
109.029,90.3,109.02949;109.02949;109.02949,109.02949-90.3;109.02949-90.3;109.02949-90.3,90.3;90.3;90.3,C6H6O2;C6H6O2;C6H6O2,DTXSID2021238;DTXSID3020257;DTXSID7020716,Resorcinol;Catechol;Hydroquinone,FF;FF;FF
121.066,289.6,121.06574;121.06574;121.06561;121.06561,121.06574-289.6;121.06574-289.6;121.06561-287.3;121.06561-287.3,289.6;289.6;287.3;287.3,C8H10O;C8H10O;C8H10O;C8H10O,DTXSID2021864;DTXSID4024062;DTXSID2021864;DTXSID4024062,"2,4-Dimethylphenol;3,4-Dimethylphenol;2,4-Dimethylphenol;3,4-Dimethylphenol",N;N;FF;FF
123.012,1059.1,123.01159,123.01159-1059.1,1059.1,C3H8O3S,DTXSID6025309,"Ethyl,methanesulfonate",FF
123.045,191.1,123.04501;123.04501,123.04501-191.1;123.04501-191.1,191.1;191.1,C7H8O2;C7H8O2,DTXSID0022012;DTXSID3020257-BTMR0212,3-Methoxyphenol;,FF;FF
124.04,133.4,124.03998,124.03998-133.4,133.4,C6H7NO2,DTXSID1025279,"Ethyl,cyanoacrylate",FF
124.04,74.1,124.04011,124.04011-74.1,74.1,C6H7NO2,DTXSID1025279,"Ethyl,cyanoacrylate",FF
127.076,246.9,127.07623;127.07623;127.07623,127.07623-246.9;127.07623-246.9;127.07623-246.9,246.9;246.9;246.9,C7H12O2;C7H12O2;C7H12O2,DTXSID1021873;DTXSID6024676;DTXSID8029652,"Isobutyl,acrylate;Butyl,acrylate;tert-Butyl,acrylate",FF;FF;FF
129.056,139.2,129.0557,129.0557-139.2,139.2,C6H10O3,DTXSID1027007,"Propanoic,anhydride",N
130.088,88.8,130.08755;130.08755,130.08755-88.8;130.08755-88.8,88.8;88.8,C6H13NO2;C6H13NO2,DTXSID2022090;DTXSID2064600,"4-(2-Hydroxyethyl)morpholine;Sodium,6-aminohexanoate",N;N
133.066,323.5,133.06566,133.06566-323.5,323.5,C9H10O,DTXSID9041491,3-Phenyl-2-propen-1-ol,FF
135.081,341.4,135.08129,135.08129-341.4,341.4,C9H12O,DTXSID0044571,3-Isopropylphenol,FF
136.04,79.1,136.03956;136.03956;136.03956;136.03956;136.03956;136.03956,136.03956-79.1;136.03956-79.1;136.03956-79.1;136.03956-79.1;136.03956-79.1;136.03956-79.1,79.1;79.1;79.1;79.1;79.1;79.1,C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2,DTXSID4025791;DTXSID5021831;DTXSID5023792;DTXSID6024466;DTXSID8020094;DTXSID8065743,"2-Nitrotoluene;3-Nitrotoluene;4-Nitrotoluene;4-Aminobenzoic,acid;Anthranilic,acid;1,3-Benzodioxol-5-amine",FF;FF;FF;FF;FF;FF
136.04,310.8,136.04038;136.04038;136.04038;136.04038;136.04038;136.04038,136.04038-310.8;136.04038-310.8;136.04038-310.8;136.04038-310.8;136.04038-310.8;136.04038-310.8,310.8;310.8;310.8;310.8;310.8;310.8,C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2,DTXSID4025791;DTXSID5021831;DTXSID5023792;DTXSID6024466;DTXSID8020094;DTXSID8065743,"2-Nitrotoluene;3-Nitrotoluene;4-Nitrotoluene;4-Aminobenzoic,acid;Anthranilic,acid;1,3-Benzodioxol-5-amine",FF;FF;FF;FF;FF;FF
137.061,266.8,137.06056,137.06056-266.8,266.8,C8H10O2,DTXSID9021976,2-Phenoxyethanol,N
141.092,326,141.09195;141.09195;141.09195,141.09195-326;141.09195-326;141.09195-326,326;326;326,C8H14O2;C8H14O2;C8H14O2,DTXSID3025461;DTXSID3060405;DTXSID4024696,"Isobutyl,methacrylate;tert-Butyl,methacrylate;Butyl,methacrylate",FF;FF;FF
142.066,190.6,142.066;142.06601,142.066-190.6;142.06601-168.7,190.6;168.7,C10H9N;C10H9N,DTXSID2020921;DTXSID2020921,2-Naphthylamine;2-Naphthylamine,FF;FF
142.087,127.9,142.08695,142.08695-127.9,127.9,C7H13NO2,DTXSID5025100,"2-(Dimethylamino)ethyl,acrylate",FF
144.045,317,144.04543,144.04543-317,317,C4H7F4N,DTXSID00620545,"N,N-DIMETHYL-2H-PERFLUOROETHANAMINE",FF
144.046,315.5,144.04561,144.04561-315.5,315.5,C4H7F4N,DTXSID00620545,"N,N-DIMETHYL-2H-PERFLUOROETHANAMINE",N
145.087,209,145.08683,145.08683-209,209,C7H14O3,DTXSID7042196,"Butyl,lactate",FF
147.045,132.9,147.04476,147.04476-132.9,132.9,C9H8O2,DTXSID5022489,"E-Cinnamic,acid",FF
147.045,299.7,147.04476,147.04476-299.7,299.7,C9H8O2,DTXSID5022489,"E-Cinnamic,acid",FF
147.081,364.8,147.08133,147.08133-364.8,364.8,C10H12O,DTXSID6048202,"Isopropyl,phenyl,ketone",FF
149.097,503,149.09672;149.09672;149.09672;149.09672,149.09672-503;149.09672-503;149.09672-503;149.09672-503,503;503;503;503,C10H14O;C10H14O;C10H14O;C10H14O,DTXSID3047425;DTXSID7022332;DTXSID9044825;DTXSID1020221,4-Butylphenol;4-(Butan-2-yl)phenol;3-tert-Butylphenol;4-tert-Butylphenol,N;N;N;N
149.097,383.7,149.09678;149.09678;149.09678;149.09678;149.09678,149.09678-383.7;149.09678-383.7;149.09678-383.7;149.09678-383.7;149.09678-383.7,383.7;383.7;383.7;383.7;383.7,C10H14O;C10H14O;C10H14O;C10H14O;C10H14O,DTXSID1020221;DTXSID2026525;DTXSID3047425;DTXSID7022332;DTXSID9044825,4-tert-Butylphenol;2-tert-Butylphenol;4-Butylphenol;4-(Butan-2-yl)phenol;3-tert-Butylphenol,FF;FF;FF;FF;FF
150.056,178.1,150.05605;150.05605,150.05605-178.1;150.05605-178.1,178.1;178.1,C8H9NO2;C8H9NO2,DTXSID7025132;DTXSID2020006,"1,2-Dimethyl-3-nitrobenzene;Acetaminophen",N;N
151.04,147.8,151.03982,151.03982-147.8,147.8,C8H8O3,DTXSID4022529,Methylparaben,FF
151.051,109.5,151.05099,151.05099-109.5,109.5,C7H8N2O2,DTXSID4020959,2-Methyl-5-nitroaniline,N
151.051,195.6,151.05112,151.05112-195.6,195.6,C7H8N2O2,DTXSID4020959,2-Methyl-5-nitroaniline,N
153.019,189.6,153.01922,153.01922-189.6,189.6,C7H6O4,DTXSID0025074,"2,4-Dihydroxybenzoic,acid",N
155.107,413.6,155.10743,155.10743-413.6,413.6,C9H16O2,DTXSID5022194,"Hexyl,acrylate",FF
157.087,331,157.08657;157.08658,157.08657-331;157.08658-334,331;334,C8H14O3;C8H14O3,DTXSID1022186;DTXSID1022186,"2-Ethoxyethyl,methacrylate;2-Ethoxyethyl,methacrylate",FF;FF
157.087,240.4,157.08653,157.08653-240.4,240.4,C8H14O3,DTXSID1022186,"2-Ethoxyethyl,methacrylate",FF
162.056,386.7,162.05557,162.05557-386.7,386.7,C9H9NO2,DTXSID1041188,(2-Nitro-1-propenyl)benzene,FF
163.076,384.2,163.07599;163.07599,163.07599-384.2;163.07599-384.2,384.2;384.2,C10H12O2;C10H12O2,DTXSID4040711;DTXSID7022413,"Ethyl,2-methylbenzoate;Isoeugenol",FF;FF
163.076,342.9,163.07594;163.07594,163.07594-342.9;163.07594-342.9,342.9;342.9,C10H12O2;C10H12O2,DTXSID4040711;DTXSID7022413,"Ethyl,2-methylbenzoate;Isoeugenol",FF;FF
164.072,132.9,164.07167,164.07167-132.9,132.9,C9H11NO2,DTXSID9024489-BTMR1242,,FF
165.019,88.5,165.01891,165.01891-88.5,88.5,C8H5KO4,DTXSID0042167,"Monopotassium,phthalate",N
165.055,143.9,165.05544,165.05544-143.9,143.9,C9H10O3,DTXSID9022528,Ethylparaben,FF
165.075,106.1,165.07472;165.07474,165.07472-106.1;165.07474-109.4,106.1;109.4,C10H14S;C10H14S,DTXSID9048196;DTXSID9048196,4-tert-Butylbenzenethiol;4-tert-Butylbenzenethiol,FF;FF
169.066,369.9,169.06554;169.06554;169.06554,169.06554-369.9;169.06554-369.9;169.06554-369.9,369.9;369.9;369.9,C12H10O;C12H10O;C12H10O,DTXSID1040794;DTXSID2021151;DTXSID7021152,"Sodium,2-phenylphenate,tetrahydrate;2-Phenylphenol;4-Phenylphenol",FF;FF;FF
169.087,320.6,169.08676;169.08677,169.08676-320.6;169.08677-301.7,320.6;301.7,C9H14O3;C9H14O3,DTXSID0022191;DTXSID0022191,"Tetrahydrofurfuryl,methacrylate;Tetrahydrofurfuryl,methacrylate",FF;FF
169.123,498.2,169.12333,169.12333-498.2,498.2,C10H18O2,DTXSID4025406,"Hexyl,methacrylate",FF
170.118,83.3,170.11823,170.11823-83.3,83.3,C9H17NO2,DTXSID4051900,"2-(Diethylamino)ethyl,acrylate",FF
171.139,571.2,171.13901;171.13901;171.13901;171.13901;171.13901;171.13901,171.13901-571.2;171.13901-571.2;171.13901-571.2;171.13901-571.2;171.13901-571.2;171.13901-573.1,571.2;571.2;571.2;571.2;571.2;573.1,C10H20O2;C10H20O2;C10H20O2;C10H20O2;C10H20O2;C10H20O2,DTXSID8044757;DTXSID0027351;DTXSID1042314;DTXSID6042232;DTXSID8026694;DTXSID9021554,"3-Methylbutyl,3-methylbutanoate;Sodium,decanoate;Potassium,decanoate;Hydroxycitronellal;2-Ethylhexyl,acetate;Decanoic,acid",N;N;N;N;N;FF
177.092,353.3,177.09177;177.09177;177.09177,177.09177-353.3;177.09177-353.3;177.09177-353.3,353.3;353.3;353.3,C11H14O2;C11H14O2;C11H14O2,DTXSID2047727;DTXSID0052621;DTXSID5025607,2-Ethoxy-5-(1-propenyl)phenol;4-Prop-1-enylveratrole;Methyleugenol,N;N;N
177.128,352.3,177.12809,177.12809-352.3,352.3,C12H18O,DTXSID6023523,Propofol,N
177.128,625.4,177.12822,177.12822-625.4,625.4,C12H18O,DTXSID6023523,Propofol,N
178.051,134.3,178.05078,178.05078-134.3,134.3,C9H9NO3,DTXSID8065743-BTMR0187,,FF
