"","parent_id","DB_name","is_metab","DTXSID","name_original","name_cleaned","formula","formula_cleaned","Molweight_cleaned","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin"
"1",NA,"DTXSID001009330",0,"DTXSID001009330","MEGESTROL","(8R,9S,10R,13S,14S,17R)-17-acetyl-17-hydroxy-6,10,13-trimethyl-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-3-one","C22H30O3","C22H30O3","342.219495","Drug","1","","0","0","","0","","","","","","","","","","","","","","","","","",""
"2",NA,"DTXSID00148835",0,"DTXSID00148835","Acetanilide,,4'-((((5-((p-chlorophenoxy)methyl)-1,3,4-thiadiazol-2-yl)amidino)guanidino)sulfonyl),-,monohydrochloride","N-[4-[[2-[(Z)-[[5-[(4-chlorophenoxy)methyl]-1,3,4-thiadiazol-2-yl]hydrazinylidene]methyl]hydrazinyl]methylideneamino]sulfonylphenyl]acetamide","C19H19ClN8O4S2","C19H19ClN8O4S2","522.065921","exposurepred","","","","","","","1","0.357099727","","","","","","","","","","","","","","","",""
"3",NA,"DTXSID00161887",0,"DTXSID00161887","1,3,2-Diazaphosphorine,,hexahydro-1,3-dimethyl-2-(methylsulfonyl),-,2-oxide","1,3-dimethyl-2-methylsulfonyl-1,3,2lambda5-diazaphosphinane 2-oxide","C6H15N2O3PS","C6H15N2O3PS","226.0541","exposurepred","","","","","","","1","1.64231412","","","","","","","","","","","","","","","",""
"4",NA,"DTXSID00188716",0,"DTXSID00188716","7-Tetradecyne","tetradec-7-yne","C14H26","C14H26","194.203451","exposurepred","","","","","","","1","0.337458771","","","","","","","","","","","","","","","",""
"5",NA,"DTXSID00188993",0,"DTXSID00188993","METHYL,HEPTAFLUOROPROPYLKETONE","3,3,4,4,5,5,5-heptafluoropentan-2-one","C5H3F7O","C5H3F7O","212.007212","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","",""
"6",NA,"DTXSID00188998",0,"DTXSID00188998","PERFLUOROHEPT-1-ENE","1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluorohept-1-ene","C7F14","C7F14","349.977645","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","",""
"7",NA,"DTXSID00190950",0,"DTXSID00190950","6:1,FLUOROTELOMER,ALCOHOL","2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptan-1-ol","C7H3F13O","C7H3F13O","349.997632","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","",""
"8",NA,"DTXSID00192353",0,"DTXSID00192353","8:2,FLUOROTELOMER,SULFONIC,ACID","3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecane-1-sulfonic acid","C10H5F17O3S","C10H5F17O3S","527.968795","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","",""
"9",NA,"DTXSID00194615",0,"DTXSID00194615","1H,1H,9H-PERFLUORONONYL,ACRYLATE","2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9-hexadecafluorononyl prop-2-enoate","C12H6F16O2","C12H6F16O2","486.011231","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","",""
"10",NA,"DTXSID00195026",0,"DTXSID00195026","1H,1H-PERFLUOROPROPYLAMINE","2,2,3,3,3-pentafluoropropan-1-amine","C3H4F5N","C3H4F5N","149.02639","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","",""
"11",NA,"DTXSID0020020",0,"DTXSID0020020","4-Acetylaminophenylacetic,acid","2-(4-acetamidophenyl)acetic acid","C10H11NO3","C10H11NO3","193.073893","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-1.818174936","1.294374114","1","",""
"12",NA,"DTXSID0020022",0,"DTXSID0020022","Acifluorfen,,Acifluorfen,,Acifluorfen,,Acifluorfen","5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid","C14H7ClF3NO5, C14H7ClF3NO5, C14H7ClF3NO5, C14H7ClF3NO5","C14H7ClF3NO5, C14H7ClF3NO5, C14H7ClF3NO5, C14H7ClF3NO5","360.996485","E2Up, P4Up, VBtoxcast, pellizzari","","","","","","","","","","","","","","1","1","1","3","","1","-2.78954269","4.359276781","9","","1"
"13",NA,"DTXSID0020026",0,"DTXSID0020026","ACRONYCINE","6-methoxy-3,3,12-trimethylpyrano[2,3-c]acridin-7-one","C20H19NO3","C20H19NO3","321.136493","MC","","","","","","","","","1","","","","","","","","","","","","","","",""
"14",NA,"DTXSID0020070",0,"DTXSID0020070","6-Aminocaproic,acid","6-aminohexanoic acid","C6H13NO2","C6H13NO2","131.094629","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-5.297221397","5.333237175","4","",""
"15",NA,"DTXSID0020072",0,"DTXSID0020072","4-Biphenylamine,hydrochloride","4-phenylaniline","C12H12ClN","C12H12ClN","169.089149","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-2.904452919","9.103739213","6","",""
"16",NA,"DTXSID0020074",0,"DTXSID0020074","Gabapentin,,GABAPENTIN","2-[1-(aminomethyl)cyclohexyl]acetic acid","C9H17NO2, C9H17NO2","C9H17NO2, C9H17NO2","171.125929","VBtoxcast, Drug","1","","0","0","","0","","","","","","","","","","","","","1","-3.042140734","1.634210555","2","",""
"17",NA,"DTXSID0020103",0,"DTXSID0020103","Arsenic,oxide,(As2O3)","-","As2O3","As2O3","-","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-0.2081314","6.016579","1","",""
"18",NA,"DTXSID0020105",0,"DTXSID0020105","Sodium,L-ascorbate,,Sodium,L-ascorbate","(2R)-2-[(1S)-1,2-dihydroxyethyl]-3-hydroxy-5-oxo-2H-furan-4-olate","C6H8O6, C6H7NaO6","C6H8O6, C6H7NaO6","175.024812","exposurepred, VBtoxcast","","","","","","","1","33.80932208","","","","","","","","","","","1","-1.977865133","5.68141096","3","",""
"19",NA,"DTXSID0020151",0,"DTXSID0020151","Benzyl,acetate","benzyl acetate","C9H10O2","C9H10O2","150.06808","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-8.180808301","7.15552012","18","",""
"20",NA,"DTXSID0020153",0,"DTXSID0020153","Benzyl,chloride","chloromethylbenzene","C7H7Cl","C7H7Cl","126.023628","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-0.475568492","1.998854157","3","",""
"21",NA,"DTXSID0020157",0,"DTXSID0020157","Benzylhydrazine,dihydrochloride","benzylhydrazine","C7H12Cl2N2","C7H12Cl2N2","122.084398","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-0.746044934","13.97317657","1","",""
"22",NA,"DTXSID0020232",0,"DTXSID0020232","Caffeine,,CAFFEINE","1,3,7-trimethylpurine-2,6-dione","C8H10N4O2, C8H10N4O2","C8H10N4O2, C8H10N4O2","194.080376","VBtoxcast, Drug","1","","0","0","","0","","","","","","","","","","","","","1","-1.165114609","8.045154854","6","",""
"23",NA,"DTXSID0020238",0,"DTXSID0020238","Camostat,mesylate","[4-[2-[2-(dimethylamino)-2-oxoethoxy]-2-oxoethyl]phenyl] 4-(diaminomethylideneamino)benzoate","C21H26N4O8S","C21H26N4O8S","398.15902","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-1.080781","4.381843","1","",""
"24",NA,"DTXSID0020282",0,"DTXSID0020282","4-Chloro-1,3-diaminobenzene","4-chlorobenzene-1,3-diamine","C6H7ClN2","C6H7ClN2","142.029776","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-0.802480034","16.00767811","2","",""
"25",NA,"DTXSID0020284",0,"DTXSID0020284","2-Chloro-1,4-diaminobenzene,sulfate,,2-Chloro-1,4-diaminobenzene,sulfate","2-chlorobenzene-1,4-diamine","C6H9ClN2O4S, C6H9ClN2O4S","C6H9ClN2O4S, C6H9ClN2O4S","142.029776","VBtoxcast, pellizzari","","","","","","","","","","","","","","","","","","","1","-1.600320469","13.25314125","8","","1"
"26",NA,"DTXSID0020286",0,"DTXSID0020286","3-Chloro-4-methylaniline","3-chloro-4-methylaniline","C7H8ClN","C7H8ClN","141.034527","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-5.063516","11.36426","3","",""
"27",NA,"DTXSID0020311",0,"DTXSID0020311","Monuron","3-(4-chlorophenyl)-1,1-dimethylurea","C9H11ClN2O","C9H11ClN2O","198.055991","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-0.720447573","7.206759912","1","",""
"28",NA,"DTXSID0020319",0,"DTXSID0020319","Chlorothalonil","2,4,5,6-tetrachlorobenzene-1,3-dicarbonitrile","C8Cl4N2","C8Cl4N2","263.881559","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-4.074186329","22.28462866","184","",""
"29",NA,"DTXSID0020369",0,"DTXSID0020369","Dacarbazine,,DACARBAZINE","4-(dimethylaminodiazenyl)-1H-imidazole-5-carboxamide","C6H10N6O, C6H10N6O","C6H10N6O, C6H10N6O","182.091609","VBtoxcast, Drug","1","","0","0","","0","","","","","","","","","","","","","1","-4.044736521","3.286241278","1","",""
"30",NA,"DTXSID0020440",0,"DTXSID0020440","Dichlorprop","2-(2,4-dichlorophenoxy)propanoic acid","C9H8Cl2O3","C9H8Cl2O3","233.985049","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-0.549325097","2.761096533","1","",""
"31",NA,"DTXSID0020442",0,"DTXSID0020442","2,4-Dichlorophenoxyacetic,acid","2-(2,4-dichlorophenoxy)acetic acid","C8H6Cl2O3","C8H6Cl2O3","219.969399","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-5.237172","4.527107","14","",""
"32",NA,"DTXSID0020446",0,"DTXSID0020446","Diuron,,Diuron","3-(3,4-dichlorophenyl)-1,1-dimethylurea","C9H10Cl2N2O, C9H10Cl2N2O","C9H10Cl2N2O, C9H10Cl2N2O","232.017018","pesticidemammarytumors, VBtoxcast","","","","","","","","","","","","","","","","","","1","1","-1.976174913","10.06159662","14","",""
"33",NA,"DTXSID0020448",0,"DTXSID0020448","1,2-Dichloropropane,,1,2-DICHLOROPROPANE","1,2-dichloropropane","C3H6Cl2, C3H6Cl2","C3H6Cl2, C3H6Cl2","111.984656","exposurepred, MC","","","","","","","1","0.459710334","1","Halogenated organic solvent","","","","","","","","","","","","","",""
"34",NA,"DTXSID0020494",0,"DTXSID0020494","Dimethyl,methylphosphonate","[methoxy(methyl)phosphoryl]oxymethane","C3H9O3P","C3H9O3P","124.028931","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-7.448203","5.698782","6","",""
"35",NA,"DTXSID0020498",0,"DTXSID0020498","Dimethyl,terephthalate,,Dimethyl,terephthalate","dimethyl benzene-1,4-dicarboxylate","C10H10O4, C10H10O4","C10H10O4, C10H10O4","194.057909","exposurepred, VBtoxcast","","","","","","","1","0.635286248","","","","","","","","","","","1","-1.770357559","5.386432812","6","",""
"36",NA,"DTXSID0020523",0,"DTXSID0020523","2,4-Dinitrophenol","2,4-dinitrophenol","C6H4N2O5","C6H4N2O5","184.012021","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-5.262400852","5.436292902","10","",""
"37",NA,"DTXSID0020529",0,"DTXSID0020529","2,4-Dinitrotoluene,,2,4-DINTROTOLUENE","1-methyl-2,4-dinitrobenzene","C7H6N2O4, C7H6N2O4","C7H6N2O4, C7H6N2O4","182.032757","VBtoxcast, MC","","","","","","","","","1","","","","","","","","","","1","-2.970192504","5.744541013","7","",""
"38",NA,"DTXSID00205573",0,"DTXSID00205573","Maleimide,,1,1'-(tetrafluoro-m-phenylene)di-","1-[3-(2,5-dioxopyrrol-1-yl)-2,4,5,6-tetrafluorophenyl]pyrrole-2,5-dione","C14H4F4N2O4","C14H4F4N2O4","340.010719","exposurepred","","","","","","","1","0.427234473","","","","","","","","","","","","","","","",""
"39",NA,"DTXSID0020573",0,"DTXSID0020573","17beta-Estradiol,,17beta-Estradiol,,ESTRADIOL-17B,,17beta-Estradiol","(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol","C18H24O2, C18H24O2, C18H24O2, C18H24O2","C18H24O2, C18H24O2, C18H24O2, C18H24O2","272.17763","ERactive, VBtoxcast, MC, MGDev","","","","","","","","","1","Hormone or EDC","1","1","0.935","","","","","","1","-7.683792469","26.24151942","67","",""
"40",NA,"DTXSID0020575",0,"DTXSID0020575","Estragole","1-methoxy-4-prop-2-enylbenzene","C10H12O","C10H12O","148.088815","exposurepred","","","","","","","1","1.147383705","","","","","","","","","","","","","","","",""
"41",NA,"DTXSID0020604",0,"DTXSID0020604","4-Vinyl-1-cyclohexene,dioxide,,4-Vinyl-1-cyclohexene,dioxide","3-(oxiran-2-yl)-7-oxabicyclo[4.1.0]heptane","C8H12O2, C8H12O2","C8H12O2, C8H12O2","140.08373","exposurepred, VBtoxcast","","","","","","","1","0.160246133","","","","","","","","","","","1","-0.680808601","5.917849823","1","",""
"42",NA,"DTXSID0020606",0,"DTXSID0020606","Bis(2-ethylhexyl)hexanedioate,,Bis(2-ethylhexyl)hexanedioate,,Bis(2-ethylhexyl)hexanedioate","bis(2-ethylhexyl) hexanedioate","C22H42O4, C22H42O4, C22H42O4","C22H42O4, C22H42O4, C22H42O4","370.30831","exposurepred, VBtoxcast, pellizzari","","","","","","","1","7.453277515","","","","","","","","","","","1","-1.448349174","5.027414002","2","","1"
"43",NA,"DTXSID0020650",0,"DTXSID0020650","Gallic,acid","3,4,5-trihydroxybenzoic acid","C7H6O5","C7H6O5","170.021523","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-4.930971708","7.402609759","4","",""
"44",NA,"DTXSID0020654",0,"DTXSID0020654","Geranyl,acetate,,Geranyl,acetate","[(2E)-3,7-dimethylocta-2,6-dienyl] acetate","C12H20O2, C12H20O2","C12H20O2, C12H20O2","196.14633","exposurepred, VBtoxcast","","","","","","","1","0.138817472","","","","","","","","","","","1","-0.267363979","5.963571437","2","",""
"45",NA,"DTXSID0020656",0,"DTXSID0020656","Gibberellic,acid","(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid","C19H22O6","C19H22O6","346.141638","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-1.188686","1.89033","1","",""
"46",NA,"DTXSID0020733",0,"DTXSID0020733","ICRF-159","4-[2-(3,5-dioxopiperazin-1-yl)propyl]piperazine-2,6-dione","C11H16N4O4","C11H16N4O4","268.117155","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-1.043051151","4.402846381","4","",""
"47",NA,"DTXSID0020737",0,"DTXSID0020737","Indole","1H-indole","C8H7N","C8H7N","117.057849","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-1.858345362","13.22125909","2","",""
"48",NA,"DTXSID0020810",0,"DTXSID0020810","6-Mercaptopurine","3,7-dihydropurine-6-thione","C5H4N4S","C5H4N4S","152.015667","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-3.048545511","5.931119351","28","",""
"49",NA,"DTXSID0020814",0,"DTXSID0020814","Mestranol,,Mestranol,,MESTRANOL","(8R,9S,13S,14S,17R)-17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol","C21H26O2, C21H26O2, C21H26O2","C21H26O2, C21H26O2, C21H26O2","310.19328","ERactive, VBtoxcast, MC","","","","","","","","","1","","","1","0.742","","","","","","1","-4.467339","71.75884","55","",""
