"","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DF_high_N","parent_id","DB_name","name_original","SMILES_cleaned","name_cleaned","formula_cleaned","Molweight_cleaned","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","carcino","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI"
"1","343.07678-309",7176,343.07678,309,100,100,100,0,23098.9183104724,31484.8590331407,136.304473698521,15180.8470478252,13114.5578850118,26182.977935891,25843.6168432542,98.7038865729188,17216.0049824513,17790.3720265539,53104.7655377902,47405.0285640061,89.266995313767,35282.287301415,37030.5829161698,3,25714.2857142857,"Multiple",343.078304092,4.44,"C13H16N2O9","344.08558","M-H",24640.9481231817,215.514294629882,"0","DTXSID0020022","DTXSID0020022-BTMR0206","Acifluorfen","O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]","5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid","C14H7ClF3NO5","360.996485","E2Up, P4Up, VBtoxcast, pellizzari","","","","","","","","","","","","","","1","1","1","3","","1","-2.78954269","4.359276781","9","","1","0",0,"nurses1",-0.414284273328107,0.191714442625571,-2.16094451546995,0.0319251367415761,"0","1","neg"
"2","209.05874-262.1",7177,209.05874,262.1,100,100,41.6666666666667,0,315451.286594236,1649172.69884336,522.797899050794,25080.7819784574,27608.2262176649,44979.3105220046,112533.196771368,250.188798950832,22824.4040211217,21548.1999449984,78.6332005597367,137.573733937191,174.956294488711,0,NA,3,25714.2857142857,"Multiple",209.0567808,9.37,"C9H10N2O4","210.06406","M-H",180215.29855812,0.0436329219488418,"0","DTXSID0020074","DTXSID0020074-BTMR0167","Gabapentin","NCC1(CC(=O)O)CCCCC1","2-[1-(aminomethyl)cyclohexyl]acetic acid","C9H17NO2","171.125929","VBtoxcast, Drug","1","","0","0","","0","","","","","","","","","","","","","1","-3.042140734","1.634210555","2","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"3","375.11907-324.7",7178,375.11907,324.7,88.3333333333333,83.75,0,4.58333333333333,17938.3697890479,18492.8891436635,103.091247204381,16782.8602048096,NA,15085.3591559513,17681.0459358532,117.206662122312,11295.1879648339,NA,0,0,NA,0,NA,3,23592.2330097087,"Multiple",375.11977498,1.88,"C18H20N2O7","376.12705","M-H",16511.8644724996,0,"0","DTXSID0020076","DTXSID0020076-BTMR0171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nurses1",0.885705674576141,0.396454311993064,2.23406745186728,0.026620187524555,"1","1","neg"
"4","203.00199-193.9",7184,203.00199,193.9,100,100,100,0,2466234.0844347,2369884.78948253,96.0932623727705,1723785.45476231,1474694.31958459,2043799.14628592,1968597.99107365,96.3205212533271,1283655.62073151,1327258.06025465,14345.5375013884,5949.60433730531,41.4735546627617,16940.4374468998,12864.242362449,1,9,"Multiple",203.001968356,0.11,"C7H8O5S","204.00924","M-H",2255016.61536031,0.63616105547392,"0","DTXSID0020573","DTXSID0020573-BTMR0512","17beta-Estradiol","C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O","(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol","C18H24O2","272.17763","ERactive, VBtoxcast, MC, MGDev","","","","","","","","","1","Hormone or EDC","1","1","0.935","","","","","","1","-7.683792469","26.24151942","67","","","0",1,NA,NA,NA,NA,NA,"0","1","neg"
"5","429.15324-173.8",7193,429.15324,173.8,100,100,0,0,42416.4975321308,18123.1989921462,42.7267691737577,39514.9906523054,38661.8570509748,35997.759892746,17499.437017547,48.6125721980644,37974.1982434153,31392.1014793189,0,0,NA,0,NA,3,50943.3962264151,"Unique",429.151469032,4.13,"C18H26N2O10","430.15875","M-H",39207.1287124384,0,"0","DTXSID0022012","DTXSID0022012-BTMR0166","3-Methoxyphenol","COc1cccc(O)c1","3-methoxyphenol","C7H8O2","124.052429","E2Up, VBtoxcast","","","","","","","","","","","","","","1","2","","","","1","-2.582733377","2.265952747","5","","","0",0,"nurses1",0.309332414484894,0.0982332904277086,3.14895707084694,0.00189760015122624,"1","1","neg"
"6","340.14061-189",7197,340.14061,189,100,95,0,5,18723.8934669474,21484.355302397,114.742990502069,11610.204619255,9816.69544690524,13904.7947394139,15092.0575810023,108.538513971896,8703.62544613811,NA,0,0,NA,0,NA,3,25471.6981132076,"Multiple",340.140176076,1.28,"C16H23NO7","341.14745","M-H",16314.3441031806,0,"0","DTXSID0022436","DTXSID0022436-BTMR0197","Diphenolic,acid","CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1","4,4-bis(4-hydroxyphenyl)pentanoic acid","C17H18O4","286.120509","ERactive, VBtoxcast","","","","","","","","","","","","1","0.174","","","","","","1","-0.770813549","6.026605379","8","","","0",0,"nurses1",1.11166168426611,0.30326086696468,3.66569447417552,0.000318365600196526,"1","1","neg"
"7","532.25665-329.8",7195,532.25665,329.8,52.5,46.25,0,6.25,1338.97960795191,2546.49014416765,190.181398510075,108.3059410534,NA,640.338622459106,1198.52771961311,187.170924504035,0,NA,0,0,NA,0,NA,2,10,"Unique",532.255205828,2.71,"C28H39NO9","533.26248","M-H",989.659115205506,0,"0","DTXSID0022436","DTXSID0022436-BTMR0166","Diphenolic,acid","CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1","4,4-bis(4-hydroxyphenyl)pentanoic acid","C17H18O4","286.120509","ERactive, VBtoxcast","","","","","","","","","","","","1","0.174","","","","","","1","-0.770813549","6.026605379","8","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"8","532.25938-760.1",7195,532.25938,760.1,94.1666666666667,86.25,16.6666666666667,7.91666666666667,2668.43200497183,2867.32565551653,107.45357761315,1877.96671345306,NA,1779.76723117205,1763.26989805321,99.0730623179312,1449.23866331766,NA,33.0457417520191,85.1979782942893,257.818326287331,0,NA,2,10,"Unique",532.255205828,7.84,"C28H39NO9","533.26248","M-H",2224.09961807194,1.485803130557,"0","DTXSID0022436","DTXSID0022436-BTMR0166","Diphenolic,acid","CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1","4,4-bis(4-hydroxyphenyl)pentanoic acid","C17H18O4","286.120509","ERactive, VBtoxcast","","","","","","","","","","","","1","0.174","","","","","","1","-0.770813549","6.026605379","8","","","0",0,"nurses1",1.09958405335343,0.429843562498367,2.55810287575867,0.0112878791888569,"1","1","neg"
"9","244.06551-83.4",7198,244.06551,83.4,100,100,8.33333333333333,0,17600.286721141,6583.77850917721,37.4072230384119,18135.7623212581,16133.8104488793,17633.6572781598,7501.75779902603,42.5422683490472,16738.5592902241,15837.8020232763,18.8470339855867,65.2880408700269,346.410161513776,0,NA,1,9,"Unique",244.06490296,2.49,"C10H15NO4S","245.07218","M-H",17616.9719996504,0.106982255440723,"0","DTXSID0022640","DTXSID0022640-BTMR0167","Aztreonam","C[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O","2-[[1-(2-amino-1,3-thiazol-4-yl)-2-[[(2S,3S)-2-methyl-4-oxo-1-sulfoazetidin-3-yl]amino]-2-oxoethylidene]amino]oxy-2-methylpropanoic acid","C13H17N5O8S2","435.051855","VBtoxcast, Drug","1","","0","0","","0","","","","","","","","","","","","","1","-3.811722","2.105137","2","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"10","343.07678-309",7228,343.07678,309,100,100,100,0,23098.9183104724,31484.8590331407,136.304473698521,15180.8470478252,13114.5578850118,26182.977935891,25843.6168432542,98.7038865729188,17216.0049824513,17790.3720265539,53104.7655377902,47405.0285640061,89.266995313767,35282.287301415,37030.5829161698,3,25714.2857142857,"Multiple",343.078304092,4.44,"C13H16N2O9","344.08558","M-H",24640.9481231817,215.514294629882,"0","DTXSID00379829","DTXSID00379829-BTMR0226","7H-PERFLUOROHEPTANOYL,CHLORIDE","O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F","2,2,3,3,4,4,5,5,6,6,7,7-dodecafluoroheptanoyl chloride","C7HClF12O","363.952431","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,"nurses1",-0.414284273328107,0.191714442625571,-2.16094451546995,0.0319251367415761,"0","1","neg"
