,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,SD_N/SD_OW,cv_N/cv_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DF_high_N,parent_id,DB_name,name_original,fragment?,SMILES_cleaned,name_cleaned,formula_cleaned,Molweight_cleaned,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI,BC-relevant,">2XFB, higher N_Int, higher N df"
1,343.07678-309,7176,343.07678,309,100,100,100,0,23098.91831,31484.85903,136.3044737,15180.84705,13114.55789,26182.97794,25843.61684,98.70388657,17216.00498,17790.37203,1.218283773,1.380943329,53104.76554,47405.02856,89.26699531,35282.2873,37030.58292,3,25714.28571,Multiple,343.0783041,4.44,C13H16N2O9,344.08558,M-H,24640.94812,215.5142946,0,DTXSID0020022,DTXSID0020022-BTMR0206,Acifluorfen,,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid,C14H7ClF3NO5,360.996485,"E2Up, P4Up, VBtoxcast, pellizzari",,,,,,,,,,,,,,1,1,1,3,,1,-2.78954269,4.359276781,9,,1,0,0,nurses1,-0.414284273,0.191714443,-2.160944515,0.031925137,0,1,neg,2,
2,209.05874-262.1,7177,209.05874,262.1,100,100,41.66666667,0,315451.2866,1649172.699,522.7978991,25080.78198,27608.22622,44979.31052,112533.1968,250.188799,22824.40402,21548.19994,14.65498845,2.089613529,78.63320056,137.5737339,174.9562945,0,NA,3,25714.28571,Multiple,209.0567808,9.37,C9H10N2O4,210.06406,M-H,180215.2986,0.043632922,0,DTXSID0020074,DTXSID0020074-BTMR0167,Gabapentin,?,NCC1(CC(=O)O)CCCCC1,2-[1-(aminomethyl)cyclohexyl]acetic acid,C9H17NO2,171.125929,"VBtoxcast, Drug",1,,0,0,,0,,,,,,,,,,,,,1,-3.042140734,1.634210555,2,,,0,0,NA,NA,NA,NA,NA,0,1,neg,0,
3,375.11907-324.7,7178,375.11907,324.7,88.33333333,83.75,0,4.583333333,17938.36979,18492.88914,103.0912472,16782.8602,NA,15085.35916,17681.04594,117.2066621,11295.18796,NA,1.045916017,0.879568152,0,0,NA,0,NA,3,23592.23301,Multiple,375.119775,1.88,C18H20N2O7,376.12705,M-H,16511.86447,0,0,DTXSID0020076,DTXSID0020076-BTMR0171,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nurses1,0.885705675,0.396454312,2.234067452,0.026620188,1,1,neg,#VALUE!,1
4,203.00199-193.9,7184,203.00199,193.9,100,100,100,0,2466234.084,2369884.789,96.09326237,1723785.455,1474694.32,2043799.146,1968597.991,96.32052125,1283655.621,1327258.06,1.203843954,0.997640597,14345.5375,5949.604337,41.47355466,16940.43745,12864.24236,1,9,Multiple,203.0019684,0.11,C7H8O5S,204.00924,M-H,2255016.615,0.636161055,0,DTXSID0020573,DTXSID0020573-BTMR0512,17beta-Estradiol,,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,"(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",C18H24O2,272.17763,"ERactive, VBtoxcast, MC, MGDev",,,,,,,,,1,Hormone or EDC,1,1,0.935,,,,,,1,-7.683792469,26.24151942,67,,,0,1,NA,NA,NA,NA,NA,0,1,neg,3,
5,429.15324-173.8,7193,429.15324,173.8,100,100,0,0,42416.49753,18123.19899,42.72676917,39514.99065,38661.85705,35997.75989,17499.43702,48.6125722,37974.19824,31392.10148,1.035644688,0.878924263,0,0,NA,0,NA,3,50943.39623,Unique,429.151469,4.13,C18H26N2O10,430.15875,M-H,39207.12871,0,0,DTXSID0022012,DTXSID0022012-BTMR0166,3-Methoxyphenol,1,COc1cccc(O)c1,3-methoxyphenol,C7H8O2,124.052429,"E2Up, VBtoxcast",,,,,,,,,,,,,,1,2,,,,1,-2.582733377,2.265952747,5,,,0,0,nurses1,0.309332414,0.09823329,3.148957071,0.0018976,1,1,neg,1,1
6,340.14061-189,7197,340.14061,189,100,95,0,5,18723.89347,21484.3553,114.7429905,11610.20462,9816.695447,13904.79474,15092.05758,108.538514,8703.625446,NA,1.423553759,1.057163824,0,0,NA,0,NA,3,25471.69811,Multiple,340.1401761,1.28,C16H23NO7,341.14745,M-H,16314.3441,0,0,DTXSID0022436,DTXSID0022436-BTMR0197,"Diphenolic,acid",1,CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1,"4,4-bis(4-hydroxyphenyl)pentanoic acid",C17H18O4,286.120509,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.174,,,,,,1,-0.770813549,6.026605379,8,,,0,0,nurses1,1.111661684,0.303260867,3.665694474,0.000318366,1,1,neg,1,1
7,532.25665-329.8,7195,532.25665,329.8,52.5,46.25,0,6.25,1338.979608,2546.490144,190.1813985,108.3059411,NA,640.3386225,1198.52772,187.1709245,0,NA,2.124681893,1.01608409,0,0,NA,0,NA,2,10,Unique,532.2552058,2.71,C28H39NO9,533.26248,M-H,989.6591152,0,0,DTXSID0022436,DTXSID0022436-BTMR0166,"Diphenolic,acid",,CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1,"4,4-bis(4-hydroxyphenyl)pentanoic acid",C17H18O4,286.120509,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.174,,,,,,1,-0.770813549,6.026605379,8,,,0,0,NA,NA,NA,NA,NA,0,1,neg,1,
8,532.25938-760.1,7195,532.25938,760.1,94.16666667,86.25,16.66666667,7.916666667,2668.432005,2867.325656,107.4535776,1877.966713,NA,1779.767231,1763.269898,99.07306232,1449.238663,NA,1.626141102,1.084589243,33.04574175,85.19797829,257.8183263,0,NA,2,10,Unique,532.2552058,7.84,C28H39NO9,533.26248,M-H,2224.099618,1.485803131,0,DTXSID0022436,DTXSID0022436-BTMR0166,"Diphenolic,acid",1,CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1,"4,4-bis(4-hydroxyphenyl)pentanoic acid",C17H18O4,286.120509,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.174,,,,,,1,-0.770813549,6.026605379,8,,,0,0,nurses1,1.099584053,0.429843562,2.558102876,0.011287879,1,1,neg,1,1
9,244.06551-83.4,7198,244.06551,83.4,100,100,8.333333333,0,17600.28672,6583.778509,37.40722304,18135.76232,16133.81045,17633.65728,7501.757799,42.54226835,16738.55929,15837.80202,0.877631441,0.879295451,18.84703399,65.28804087,346.4101615,0,NA,1,9,Unique,244.064903,2.49,C10H15NO4S,245.07218,M-H,17616.972,0.106982255,0,DTXSID0022640,DTXSID0022640-BTMR0167,Aztreonam,??,C[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,"2-[[1-(2-amino-1,3-thiazol-4-yl)-2-[[(2S,3S)-2-methyl-4-oxo-1-sulfoazetidin-3-yl]amino]-2-oxoethylidene]amino]oxy-2-methylpropanoic acid",C13H17N5O8S2,435.051855,"VBtoxcast, Drug",1,,0,0,,0,,,,,,,,,,,,,1,-3.811722,2.105137,2,,,0,0,NA,NA,NA,NA,NA,0,1,neg,0,
10,343.07678-309,7228,343.07678,309,100,100,100,0,23098.91831,31484.85903,136.3044737,15180.84705,13114.55789,26182.97794,25843.61684,98.70388657,17216.00498,17790.37203,1.218283773,1.380943329,53104.76554,47405.02856,89.26699531,35282.2873,37030.58292,3,25714.28571,Multiple,343.0783041,4.44,C13H16N2O9,344.08558,M-H,24640.94812,215.5142946,0,DTXSID00379829,DTXSID00379829-BTMR0226,"7H-PERFLUOROHEPTANOYL,CHLORIDE",,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,"2,2,3,3,4,4,5,5,6,6,7,7-dodecafluoroheptanoyl chloride",C7HClF12O,363.952431,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,nurses1,-0.414284273,0.191714443,-2.160944515,0.031925137,0,1,neg,0,
