"","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DF_high_N","parent_id","DB_name","name_original","SMILES_cleaned","name_cleaned","formula_cleaned","Molweight_cleaned","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","carcino","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI"
"1","463.1612-167",7185,463.1612,167,3.33333333333333,0,83.3333333333333,3.33333333333333,23.7312687587123,164.372536021921,692.641163408407,0,NA,0,0,NA,0,NA,2075.7431778626,2013.67383123496,97.0097771588704,1912.37946392638,NA,3,28421.052631579,"Multiple",463.159873032,2.87,"C23H26O10","462.1526","M+H",11.8656343793562,17493.7395801945,"0","DTXSID0020814","DTXSID0020814-BTMR0164","Mestranol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C","(8R,9S,13S,14S,17R)-17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol","C21H26O2","310.19328","ERactive, VBtoxcast, MC","","","","","","","","","1","","","1","0.742","","","","","","1","-4.467339","71.75884","55","","","0",1,NA,0,NA,NA,NA,"0","1","pos"
"2","463.16128-173.9",7185,463.16128,173.9,3.33333333333333,0,8.33333333333333,3.33333333333333,26.2064490138966,167.608214169381,639.568581307991,0,NA,0,0,NA,0,NA,8.52657947302375,29.536937724102,346.410161513775,0,NA,3,28421.052631579,"Multiple",463.159873032,3.04,"C23H26O10","462.1526","M+H",13.1032245069483,65.0723756469434,"0","DTXSID0020814","DTXSID0020814-BTMR0164","Mestranol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C","(8R,9S,13S,14S,17R)-17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol","C21H26O2","310.19328","ERactive, VBtoxcast, MC","","","","","","","","","1","","","1","0.742","","","","","","1","-4.467339","71.75884","55","","","0",1,NA,0,NA,NA,NA,"0","1","pos"
"3","463.1612-167",7186,463.1612,167,3.33333333333333,0,83.3333333333333,3.33333333333333,23.7312687587123,164.372536021921,692.641163408407,0,NA,0,0,NA,0,NA,2075.7431778626,2013.67383123496,97.0097771588704,1912.37946392638,NA,3,28421.052631579,"Multiple",463.159873032,2.87,"C23H26O10","462.1526","M+H",11.8656343793562,17493.7395801945,"0","DTXSID0020943","DTXSID0020943-BTMR0171","2-Methoxy-5-nitroaniline","COc1ccc([N+](=O)[O-])cc1N","2-methoxy-5-nitroaniline","C7H8N2O3","168.053492","VBtoxcast, MC","","","","","","","","","1","Aromatic amine","","","","","","","","","1","-3.936604","4.887974","5","","","0",1,NA,0,NA,NA,NA,"0","1","pos"
"4","463.16128-173.9",7186,463.16128,173.9,3.33333333333333,0,8.33333333333333,3.33333333333333,26.2064490138966,167.608214169381,639.568581307991,0,NA,0,0,NA,0,NA,8.52657947302375,29.536937724102,346.410161513775,0,NA,3,28421.052631579,"Multiple",463.159873032,3.04,"C23H26O10","462.1526","M+H",13.1032245069483,65.0723756469434,"0","DTXSID0020943","DTXSID0020943-BTMR0171","2-Methoxy-5-nitroaniline","COc1ccc([N+](=O)[O-])cc1N","2-methoxy-5-nitroaniline","C7H8N2O3","168.053492","VBtoxcast, MC","","","","","","","","","1","Aromatic amine","","","","","","","","","1","-3.936604","4.887974","5","","","0",1,NA,0,NA,NA,NA,"0","1","pos"
"5","431.16834-169",7193,431.16834,169,100,100,0,0,13509.9648196438,6661.95630429679,49.3114259972769,13236.3906569776,11832.2921834422,11758.1937444064,7622.52156124889,64.8273172473884,10252.9709584994,9020.72612533949,0,0,NA,0,NA,3,77142.8571428571,"Unique",431.166021032,5.38,"C18H26N2O10","430.15875","M+H",12634.0792820251,0,"0","DTXSID0022012","DTXSID0022012-BTMR0166","3-Methoxyphenol","COc1cccc(O)c1","3-methoxyphenol","C7H8O2","124.052429","E2Up, VBtoxcast","","","","","","","","","","","","","","1","2","","","","1","-2.582733377","2.265952747","5","","","0",0,"nurses1",0.375736252430477,0.13603702529216,2.76201461788455,0.00629676120958753,"1","1","pos"
"6","431.16828-165.5",7193,431.16828,165.5,100,100,0,0,14035.251575523,7361.25844321729,52.4483540861857,13101.344509861,12114.8205527482,12225.4193726413,7564.25746583391,61.8731941642967,10955.783654732,9361.10884184451,0,0,NA,0,NA,3,77142.8571428571,"Unique",431.166021032,5.24,"C18H26N2O10","430.15875","M+H",13130.3354740822,0,"0","DTXSID0022012","DTXSID0022012-BTMR0166","3-Methoxyphenol","COc1cccc(O)c1","3-methoxyphenol","C7H8O2","124.052429","E2Up, VBtoxcast","","","","","","","","","","","","","","1","2","","","","1","-2.582733377","2.265952747","5","","","0",0,"nurses1",0.359712722333351,0.139738616479404,2.57418265183962,0.0107932997371507,"1","1","pos"
"7","342.15619-183.8",7197,342.15619,183.8,100,100,0,0,199068.204640656,255776.252601317,128.486743055239,123596.760130358,127568.850884289,148032.50733398,194043.444875772,131.081644410701,107269.246840407,94737.9182194795,0,0,NA,0,NA,3,50310.5590062111,"Unique",342.154728076,4.27,"C16H23NO7","341.14745","M+H",173550.355987318,0,"0","DTXSID0022436","DTXSID0022436-BTMR0197","Diphenolic,acid","CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1","4,4-bis(4-hydroxyphenyl)pentanoic acid","C17H18O4","286.120509","ERactive, VBtoxcast","","","","","","","","","","","","1","0.174","","","","","","1","-0.770813549","6.026605379","8","","","0",0,"nurses1",0.467379154925146,0.181861315802479,2.56997565899485,0.0109207867867771,"1","1","pos"
"8","353.08511-553.7",7200,353.08511,553.7,61.6666666666667,52.5,58.3333333333333,9.16666666666667,505.584450000243,956.17947826406,189.123593153152,324.272235254729,NA,426.007601802235,511.532141607805,120.075824807763,278.939496894251,NA,408.404795902889,589.118755365085,144.248735880459,177.136353339059,NA,2,10,"Multiple",353.08355436,4.41,"C12H20N2O6S2","352.07628","M+H",465.796025901239,87.6788923032764,"0","DTXSID0022773","DTXSID0022773-BTMR0167","CEFTRIAXONE","CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1","(6R,7R)-7-[[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(2-methyl-5,6-dioxo-1H-1,2,4-triazin-3-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid","C18H18N8O7S3","554.046058","Drug","1","","0","0","","0","","","","","","","","","","","","","","","","","","","0",0,NA,0,NA,NA,NA,"0","1","pos"
"9","353.08612-557",7200,353.08612,557,43.3333333333333,48.75,58.3333333333333,-5.41666666666666,412.938819403582,727.048458990442,176.066871126463,0,NA,315.776729457563,506.697378964881,160.460645670528,0,NA,385.833216329112,425.500172781708,110.280855761978,304.951404579165,NA,2,10,"Multiple",353.08355436,7.27,"C12H20N2O6S2","352.07628","M+H",364.357774430572,105.894053429243,"0","DTXSID0022773","DTXSID0022773-BTMR0167","CEFTRIAXONE","CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1","(6R,7R)-7-[[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(2-methyl-5,6-dioxo-1H-1,2,4-triazin-3-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid","C18H18N8O7S3","554.046058","Drug","1","","0","0","","0","","","","","","","","","","","","","","","","","","","0",0,NA,0,NA,NA,NA,"0","1","pos"
"10","313.12622-382.3",7236,313.12622,382.3,100,100,100,0,29528.6053922482,26548.1068400433,89.906402579421,18311.1101681963,22195.9960433757,31442.3970161999,28594.1604353171,90.9414139786628,18218.3463647465,23065.6393430926,32398.5704757504,34338.2805187813,105.987023546248,18970.5248236714,23231.469534526,3,25000,"Unique",313.12817898,6.26,"C15H20O7","312.1209","M+H",30485.5012042241,106.275341378548,"0","DTXSID00382171","DTXSID00382171-BTMR0165","2(PERFLUORO-2-PROPYL)ETHANOL","OCCC(F)(C(F)(F)F)C(F)(F)F","3,4,4,4-tetrafluoro-3-(trifluoromethyl)butan-1-ol","C5H5F7O","214.022862","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,NA,0,NA,NA,NA,"0","1","pos"
