"","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","name_cleaned.x","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DB_name","DTXSID","name_original","SMILES_cleaned","name_cleaned.y","formula_cleaned","Molweight_cleaned","parent_id","MONOISOTOPIC_MASS","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","carcino","DF_high_N","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI"
"1","101.05949-361.4",1389,101.05949,361.4,100,100,100,0,3699.55171867133,4908.86270778324,132.6880411756,1465.18737403194,1732.70561328689,3552.79190274877,4689.23075352555,131.987205608567,1661.59031261426,1835.14758402347,11101.3090527715,9582.78381100868,86.321205593464,7728.31178955389,6801.69297901117,1,9,"Multiple",101.0597055,2.13,"Methylmethacrylate","C5H8O2","100.05243","M+H",3626.17181071005,306.144044801828,"DTXSID2020844","DTXSID2020844","Methyl,methacrylate","C=C(C)C(=O)OC","methyl 2-methylprop-2-enoate","C5H8O2",100.0524295,"","100.0524295","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.250139,1.444865,1,NA,"",0,NA,"0",NA,0,NA,NA,NA,"0","0","pos"
"2","101.05949-361.4",1854,101.05949,361.4,100,100,100,0,3699.55171867133,4908.86270778324,132.6880411756,1465.18737403194,1732.70561328689,3552.79190274877,4689.23075352555,131.987205608567,1661.59031261426,1835.14758402347,11101.3090527715,9582.78381100868,86.321205593464,7728.31178955389,6801.69297901117,1,9,"Multiple",101.0597055,2.13,"33-Dimethylacrylicacid","C5H8O2","100.05243","M+H",3626.17181071005,306.144044801828,"DTXSID2047145","DTXSID2047145","3,3-Dimethylacrylic,acid","CC(C)=CC(=O)O","3-methylbut-2-enoic acid","C5H8O2",100.0524295,"","100.0524295","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.512062966,6.162770159,1,NA,"",0,NA,"0",NA,0,NA,NA,NA,"0","0","pos"
"3","101.05949-361.4",2305,101.05949,361.4,100,100,100,0,3699.55171867133,4908.86270778324,132.6880411756,1465.18737403194,1732.70561328689,3552.79190274877,4689.23075352555,131.987205608567,1661.59031261426,1835.14758402347,11101.3090527715,9582.78381100868,86.321205593464,7728.31178955389,6801.69297901117,1,9,"Multiple",101.0597055,2.13,"Isopropenylacetate","C5H8O2","100.05243","M+H",3626.17181071005,306.144044801828,"DTXSID3031492","DTXSID3031492","Isopropenyl,acetate","C=C(C)OC(C)=O","prop-1-en-2-yl acetate","C5H8O2",100.0524295,"","100.0524295","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.351734936,4.893727755,3,NA,"",0,NA,"0",NA,0,NA,NA,NA,"0","0","pos"
"4","101.05949-361.4",4308,101.05949,361.4,100,100,100,0,3699.55171867133,4908.86270778324,132.6880411756,1465.18737403194,1732.70561328689,3552.79190274877,4689.23075352555,131.987205608567,1661.59031261426,1835.14758402347,11101.3090527715,9582.78381100868,86.321205593464,7728.31178955389,6801.69297901117,1,9,"Multiple",101.0597055,2.13,"Glutaraldehyde","C5H8O2","100.05243","M+H",3626.17181071005,306.144044801828,"DTXSID6025355","DTXSID6025355","Glutaraldehyde","O=CCCCC=O","pentanedial","C5H8O2",100.0524295,"","100.0524295","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-4.547765803,23.03035848,12,NA,"",0,NA,"0",NA,0,NA,NA,NA,"0","0","pos"
"5","101.05949-361.4",4540,101.05949,361.4,100,100,100,0,3699.55171867133,4908.86270778324,132.6880411756,1465.18737403194,1732.70561328689,3552.79190274877,4689.23075352555,131.987205608567,1661.59031261426,1835.14758402347,11101.3090527715,9582.78381100868,86.321205593464,7728.31178955389,6801.69297901117,1,9,"Multiple",101.0597055,2.13,"Tetrahydro-2H-pyran-2-one","C5H8O2","100.05243","M+H",3626.17181071005,306.144044801828,"DTXSID6044438","DTXSID6044438","Tetrahydro-2H-pyran-2-one","O=C1CCCCO1","oxan-2-one","C5H8O2",100.0524295,"","100.0524295","exposurepred","",NA,NA,NA,NA,NA,1,0.806620104,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"0",NA,0,NA,NA,NA,"0","0","pos"
"6","101.05949-361.4",6410,101.05949,361.4,100,100,100,0,3699.55171867133,4908.86270778324,132.6880411756,1465.18737403194,1732.70561328689,3552.79190274877,4689.23075352555,131.987205608567,1661.59031261426,1835.14758402347,11101.3090527715,9582.78381100868,86.321205593464,7728.31178955389,6801.69297901117,1,9,"Multiple",101.0597055,2.13,"Allylacetate","C5H8O2","100.05243","M+H",3626.17181071005,306.144044801828,"DTXSID9024437","DTXSID9024437","Allyl,acetate","C=CCOC(C)=O","prop-2-enyl acetate","C5H8O2",100.0524295,"","100.0524295","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.414647435,3.52577446,1,NA,"",0,NA,"0",NA,0,NA,NA,NA,"0","0","pos"
"7","102.05467-283.7",1023,102.05467,283.7,96.6666666666667,97.5,100,-0.833333333333329,21332.3282698942,23620.9640606939,110.728485713534,12682.3537847865,NA,21338.9945226061,23779.2735844565,111.435773411279,13270.6606275787,NA,36305.3148915908,32446.5088820206,89.371236632728,23457.2903347001,19365.6358203326,2,10,"Multiple",102.0549545,2.79,"3-Oxobutanamide","C4H7NO2","101.04768","M+H",21335.6613962501,170.162594059407,"DTXSID1040164","DTXSID1040164","3-Oxobutanamide","CC(=O)CC(N)=O","3-oxobutanamide","C4H7NO2",101.0476785,"","101.0476785","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.244722417,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.344703829,1.316195146,1,NA,"",0,NA,"0",NA,0,NA,NA,NA,"0","0","pos"
"8","102.05467-283.7",1275,102.05467,283.7,96.6666666666667,97.5,100,-0.833333333333329,21332.3282698942,23620.9640606939,110.728485713534,12682.3537847865,NA,21338.9945226061,23779.2735844565,111.435773411279,13270.6606275787,NA,36305.3148915908,32446.5088820206,89.371236632728,23457.2903347001,19365.6358203326,2,10,"Multiple",102.0549545,2.79,"Allylcarbamate","C4H7NO2","101.04768","M+H",21335.6613962501,170.162594059407,"DTXSID1051856","DTXSID1051856","Allyl,carbamate","C=CCOC(N)=O","prop-2-enyl carbamate","C4H7NO2",101.0476785,"","101.0476785","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.507119768,1.350054247,2,NA,"",0,NA,"0",NA,0,NA,NA,NA,"0","0","pos"
"9","102.05482-45.2",1023,102.05482,45.2,100,100,100,0,22659.222810643,5787.13207473881,25.539852461403,23079.0766119004,21972.5205378105,20172.1627425604,4468.38156561167,22.1512270282453,19799.0963674931,19661.1068674702,7387.6601521158,4572.00218772722,61.887012850988,8687.45005317867,5357.81241641013,2,10,"Multiple",102.0549545,1.32,"3-Oxobutanamide","C4H7NO2","101.04768","M+H",21415.6927766017,34.4964798906126,"DTXSID1040164","DTXSID1040164","3-Oxobutanamide","CC(=O)CC(N)=O","3-oxobutanamide","C4H7NO2",101.0476785,"","101.0476785","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.244722417,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.344703829,1.316195146,1,NA,"",0,NA,"0","nurses1",0.155228263748276,0.0441405804804871,3.51667925656066,0.00054409194931002,"1","0","pos"
"10","102.05482-45.2",1275,102.05482,45.2,100,100,100,0,22659.222810643,5787.13207473881,25.539852461403,23079.0766119004,21972.5205378105,20172.1627425604,4468.38156561167,22.1512270282453,19799.0963674931,19661.1068674702,7387.6601521158,4572.00218772722,61.887012850988,8687.45005317867,5357.81241641013,2,10,"Multiple",102.0549545,1.32,"Allylcarbamate","C4H7NO2","101.04768","M+H",21415.6927766017,34.4964798906126,"DTXSID1051856","DTXSID1051856","Allyl,carbamate","C=CCOC(N)=O","prop-2-enyl carbamate","C4H7NO2",101.0476785,"","101.0476785","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.507119768,1.350054247,2,NA,"",0,NA,"0","nurses1",0.155228263748276,0.0441405804804871,3.51667925656066,0.00054409194931002,"1","0","pos"
