,new_id,featureid,mz.x,rt.x,det_count_v1,det_count_v2,det_count_v3,det_count_FB,df_v1,df_v2,df_v3,mean_visit1,log_mean_v1,sd_visit1,median_v1,gm_visit1,gsd_visit1,cv_visit1,mean_visit2,median_v2,sd_visit2,gm_visit2,gsd_visit2,cv_visit2,mean_visit3,sd_visit3,median_v3,gm_visit3,gsd_visit3,cv_visit3,mean_allvisit,gm_allvisit,gsd_allvisit,cv_allvisit,mean_FB,log_mean_FB,mean_DIWB,PvalV1_v3,PvalV1_V2,DFv1_min,percent_FBvV1,logFBvV1,meanv1_gt_v3,meanv1_gt_v2,geom_diff1v3,geom_diff1v2,df1v3_difference,df1v2_difference,DTXSID,Confidence,score,mz.y,rt.y,MatchCategory,theoretical.mz,delta_ppm,Compound,Formula,MonoisotopicMass,Adduct,X,parent_id,DB_name,is_metab,name_original,name_cleaned,formula_original,formula_cleaned,Molweight_cleaned,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,MC_sum,frag_yn,confirmed_frag,of_interes_prevt,acrylate,is_ucsfdrug,sig_dif1v2or3,ubiqui_MC,nitro benzene,nitro,sulfate,aniline,guanidium,nitro_sum,SWGDRUG,STATINS,UOATARGPHARMA,VETDRUGS,DRUGBANK,ANTIBIOTICS,ZINC15PHARMA,PAHLIST,drug_any,of_interest_all,of_interest_cat
3,DTXSID00194615,485.0015-55.3,485.0015,55.3,40,38,38,8,100,100,100,20845.875825,14.2840906526706,4609.44198535351,21545.05,19949.8551723689,1.42285616407768,22.1120092245081,22011.4575526316,22042.135,3616.28526769675,21575.5596177805,1.25915717726265,16.4291040656888,21669.9095263158,3544.64490386195,21519.675,21282.3359757697,1.23694371778873,16.3574513292608,19959.40678125,18088.7860997392,1.72606622502487,30.8376460475502,5669.21,12.3296067693356,3930.8515,0.692940012676937,0.278081789972957,1,27.1958350303567,86.3170576912463,0,0,0,0,0,0,DTXSID00194615,2,10,485.0015,55.3,Unique,485.003955,5.06,1H1H9H-PERFLUORONONYLACRYLATE,C12H6F16O2,486.01123,M-H,9,,DTXSID00194615,0,"1H,1H,9H-PERFLUORONONYL,ACRYLATE","2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9-hexadecafluorononyl prop-2-enoate",C12H6F16O2,C12H6F16O2,486.011231,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,no,notconf,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
4,DTXSID00194615,485.0014-66.2,485.0014,66.2,40,38,38,6,100,100,100,11085.562,13.3413861622665,3429.19378514119,12245.68,10379.0455656871,1.50460435098421,30.9338740349041,11305.1023157895,11652.62,3025.99968094524,10839.8534468844,1.36308707239686,26.7666722194891,10332.3917894737,4027.02027147177,10640.615,9424.60329854644,1.59305499817755,38.9747151823489,9928.9134953125,7878.83524843954,2.6849218367871,45.6786883774343,286.096525,NA,741.2248,0.438492248442265,0.884749013989204,1,2.58080307520719,NA,1,0,1,0,0,0,DTXSID00194615,2,10,485.0014,66.2,Unique,485.003955,5.27,1H1H9H-PERFLUORONONYLACRYLATE,C12H6F16O2,486.01123,M-H,9,,DTXSID00194615,0,"1H,1H,9H-PERFLUORONONYL,ACRYLATE","2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9-hexadecafluorononyl prop-2-enoate",C12H6F16O2,C12H6F16O2,486.011231,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,no,notconf,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
10,DTXSID0020573,351.1293-830.7,351.1293,830.7,40,38,38,0,100,100,100,57960.268,15.4776749565684,51691.1548913749,43421.855,45629.3650103667,1.90949308517317,89.1837748082443,53837.205,38081.995,38207.8701364449,43574.9459362462,1.90528544147011,70.9692676959082,60772.2121052632,36573.4340434206,48337.31,50573.6310095166,1.8845029764658,60.1811794839259,52137.254453125,46486.4817518396,1.8950403159661,84.179548848397,0,NA,0,0.248248042490414,0.64204240412933,1,0,NA,0,1,0,1,0,0,MTX12,3,27000,351.1293,830.7,Multiple,351.1271689,6.07,,C18H24O5S,352.13444,M-H,6984,DTXSID0020573,DTXSID0020573-BTMR0512,1,,"[(8R,9S,13S,14S,17S)-17-hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl] hydrogen sulfate",C18H24O5S,C18H24O5S,352.1344449,"ERactive, VBtoxcast, MC, MGDev",,NA,NA,NA,NA,NA,NA,NA,1,Hormone or EDC,1,1,0.935,NA,NA,NA,NA,NA,1,-7.683792469,26.24151942,67,NA,,2,no,notconf,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
23,DTXSID0022012,203.002-191.1,203.002,191.1,40,38,38,8,100,100,100,4430395.6425,21.5340710660672,4258407.25416992,3061873,3036696.0157484,2.40091650469487,96.117990305872,3424029.40526316,2728310.5,2201893.8881403,2748399.00935722,2.04947693555764,64.3070963338024,3513649.45526316,2725306.83206393,2611370.5,2731728.98219481,2.05343585925771,77.5634242050427,3444633.70967969,1576474.32700022,7.2301451393278,94.3844499979635,5584.683125,12.4120823033988,5203.7435,0.474756252038523,0.700332451175848,1,0.126053823984186,57.6392743634873,1,1,1,1,0,0,MTX22,3,51923.0769230769,203.002,191.1,Multiple,203.0019684,0.16,,C7H8O5S,204.00924,M-H,6996,DTXSID0022012,DTXSID0022012-BTMR0196,1,,(3-methoxyphenyl) hydrogen sulfate,C7H8O5S,C7H8O5S,204.0092444,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,2,NA,NA,NA,1,-2.582733377,2.265952747,5,NA,,1,no,notconf,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
24,DTXSID0022012,123.04501-191.1,123.04501,191.1,40,38,38,8,100,100,100,409413.339347168,18.1170719536905,385530.307344514,272810.141365157,284303.425000686,2.35374417001275,94.1665232401229,315449.678916693,251625.032778953,189621.609346991,260027.177516154,1.95351883104775,60.1115239673673,330437.771494134,234111.420282063,264030.59305007,268584.089442148,1.91767241162499,70.8488679195135,319774.836143407,157871.185157966,6.21623138280846,90.7771980376492,834.803861583999,9.59290426399186,1060.97649133138,0.768068961182508,0.752841338212907,1,0.203902457822976,52.9495289774888,1,1,1,1,0,0,DTXSID0022012,3,27000,123.04501,191.1,Multiple,123.0451535,1.17,3-Methoxyphenol,C7H8O2,124.05243,M-H,90,,DTXSID0022012,0,3-Methoxyphenol,3-methoxyphenol,C7H8O2,C7H8O2,124.0524295,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,2,NA,NA,NA,1,-2.582733377,2.265952747,5,NA,,1,no,notconf,yes,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
25,DTXSID0022012,299.08-651.6,299.08,651.6,40,38,38,8,100,100,100,19386.721,14.1411131839434,7259.39697463974,19029.455,18067.5489679115,1.47564111177033,37.4452026964217,16434.6368947368,16391.05,7986.68277581796,14589.3364793429,1.65556832130589,48.5966488153789,21456.859,11302.4154527645,18761.9,19037.3524713659,1.63502604855477,52.6750697889403,17510.78413125,13435.68456807,2.62055855799948,57.2700929317681,3123.22825,11.5405496004161,262.2147,0.814269502155929,0.081086119811709,1,16.1101418336809,81.6099089958479,0,1,0,1,0,0,MTX21,3,26470.588235294,299.08,651.6,Unique,299.0772415,9.22,,C13H16O8,300.08452,M-H,6995,DTXSID0022012,DTXSID0022012-BTMR0166,1,,"3,4,5-trihydroxy-6-(3-methoxyphenoxy)oxane-2-carboxylic acid",C13H16O8,C13H16O8,300.0845175,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,2,NA,NA,NA,1,-2.582733377,2.265952747,5,NA,,1,no,notconf,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
26,DTXSID0022191,169.08676-320.6,169.08676,320.6,40,38,38,8,100,100,100,12722.9325417247,13.4972301226409,5564.25677990426,10713.9130581914,11563.0159656045,1.56676245121799,43.7340743704831,12311.6807332729,12435.6762849247,4895.66491083627,11367.4692946569,1.51120353947979,39.7643913686415,13136.258402147,6643.36895923152,12730.6039126125,11628.5992828868,1.65304153242726,50.5727639930235,11598.0066636866,8717.73246046567,2.70230069452137,55.7512607197848,730.400886468795,9.14628215811102,690.664261298593,0.95615306227854,0.853277379738496,1,5.74082181190112,67.7641417906077,0,1,0,1,0,0,DTXSID0022191,2,10,169.08676,320.6,Unique,169.0870183,1.53,Tetrahydrofurfurylmethacrylate,C9H14O3,170.09429,M-H,92,,DTXSID0022191,0,"Tetrahydrofurfuryl,methacrylate",oxolan-2-ylmethyl 2-methylprop-2-enoate,C9H14O3,C9H14O3,170.0942943,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.834301351,1.849892954,2,NA,,0,no,notconf,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
27,DTXSID0022191,169.08677-301.7,169.08677,301.7,40,38,38,8,100,100,100,10304.2315321992,13.0813491780031,7176.7793305759,7997.18915972228,8667.19337608976,1.75580111190677,69.6488555031931,9147.30873662978,7247.5766949775,5226.64932413236,7960.94770255428,1.68571991731337,57.1386565668501,10904.9363056442,8747.81485859753,6784.20859493616,8550.09371687615,1.9557880298082,80.2188533102186,9537.94689584166,7678.19010749962,1.90199519684904,74.611886394199,4476.31604854129,11.7960171081568,2723.02534625525,0.722678199289804,0.558678776453122,1,43.4415320982788,90.1743157196074,0,1,1,1,0,0,DTXSID0022191,2,10,169.08677,301.7,Unique,169.0870183,1.47,Tetrahydrofurfurylmethacrylate,C9H14O3,170.09429,M-H,92,,DTXSID0022191,0,"Tetrahydrofurfuryl,methacrylate",oxolan-2-ylmethyl 2-methylprop-2-enoate,C9H14O3,C9H14O3,170.0942943,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.834301351,1.849892954,2,NA,,0,no,notconf,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
42,DTXSID0025527,385.2351-920,385.2351,920,40,38,38,8,100,100,100,279030.9525,17.94997165088,130952.067239607,223788.65,253209.437366838,1.55257772226939,46.9310182495282,308125.235,259173.65,157991.258981017,267980.297382971,1.74581227430004,51.2750145183716,323536.063157895,102008.948049158,339029.25,305065.773344184,1.4437488904905,31.5293902798635,276034.726609375,204403.753633706,2.8085442065137,55.0003452626367,14047.12475,13.4668211745274,13925.1445,0.040922075612413,0.480956419943862,1,5.03425323396694,75.0241918842652,0,0,0,0,0,0,DTXSID0025527,3,25961.5384615385,385.2351,920,Unique,385.2384336,8.65,Medroxyprogesteroneacetate,C24H34O4,386.24571,M-H,185,,DTXSID0025527,0,"Medroxyprogesterone,acetate","[(6S,8R,9S,10R,13S,14S,17R)-17-acetyl-6,10,13-trimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate",C24H34O4,C24H34O4,386.2457096,"VBtoxcast, MC",,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.010825,125.7921,42,NA,,1,no,notconf,NA,0,0,1,0,0,0,0,0,0,0,-,-,-,-,Y,-,Y,-,1,1,1
49,DTXSID0027773,295.1206-618.7,295.1206,618.7,38,36,37,0,95,94.7368421052632,97.3684210526316,18161.027925,12.9369813457481,27041.255880838,5044.927,7841.86638843327,3.9641149512747,148.897165912144,11949.3481578947,6215.0775,15460.5071010916,7643.60104107596,2.57397382091082,129.383686012003,18757.4342789474,31034.4192858469,10763.39,9292.00485789226,3.57127961978237,165.451302264078,14791.3972625,8229.54489637399,3.34822912614927,166.450133852071,0,NA,0,0.381720504951197,0.722661387101462,1,0,NA,0,1,0,1,2.36842105263158,0.26315789473685,DTXSID0027773,3,26213.5922330098,295.1206,618.7,Unique,295.1187124,6.4,Trimethylolpropanetriacrylate,C15H20O6,296.12599,M-H,236,,DTXSID0027773,0,"Trimethylolpropane,triacrylate","2,2-bis(prop-2-enoyloxymethyl)butyl prop-2-enoate",C15H20O6,C15H20O6,296.1259884,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.513498657,35.44047607,20,NA,,0,no,notconf,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
