,DTXSID,featureid,mz.x,rt.x,det_count_v1,det_count_v2,det_count_v3,det_count_FB,df_v1,df_v2,df_v3,mean_visit1,log_mean_v1,sd_visit1,median_v1,gm_visit1,gsd_visit1,cv_visit1,mean_visit2,median_v2,sd_visit2,gm_visit2,gsd_visit2,cv_visit2,mean_visit3,sd_visit3,median_v3,gm_visit3,gsd_visit3,cv_visit3,mean_allvisit,gm_allvisit,gsd_allvisit,cv_allvisit,mean_FB,log_mean_FB,mean_DIWB,PvalV1_v3,PvalV1_V2,DFv1_min,percent_FBvV1,logFBvV1,meanv1_gt_v3,meanv1_gt_v2,geom_diff1v3,geom_diff1v2,df1v3_difference,df1v2_difference,DB_name,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,Compound,Formula,MonoisotopicMass,Adduct,X,parent_id,is_metab,name_original,name_cleaned,formula_original,formula_cleaned,Molweight_cleaned,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,MC_sum,frag_yn,confirmed_frag,of_interest,acrylate,is_ucsfdrug,sig_dif1v2or3,ubiqui_MC,nitro benzene,nitro,sulfate,aniline,guanidium,nitro_sum,SWGDRUG,STATINS,UOATARGPHARMA,VETDRUGS,DRUGBANK,ANTIBIOTICS,ZINC15PHARMA,PAHLIST,drug_any,of_interest_all,of_interest_cat
11,DTXSID0020573,273.18504-1163.3,273.18504,1163.3,40,38,38,0,100,100,100,36848.6976552253,14.8846459519555,20377.8905275453,31026.1366076109,30249.967081119,2.02977307996042,55.301521693415,35581.3051049542,32815.3450514815,18891.4029863413,30401.8527942398,1.82776578564918,53.0936201767116,40142.5020020352,20702.3359878873,36305.7175320633,34039.7587755607,1.89565200110989,51.5721117404133,32965.5498202622,31494.1605033117,1.91415363649257,67.8126637353892,0,NA,0,0.392708865531071,0.916403567334355,1,0,NA,0,1,0,0,0,0,DTXSID0020573,3,54000,Multiple,273.184906,0.49,17beta-Estradiol,C18H24O2,272.17763,M+H,38,,0,17beta-Estradiol,"(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",C18H24O2,C18H24O2,272.17763,"ERactive, VBtoxcast, MC, MGDev",,NA,NA,NA,NA,NA,NA,NA,1,Hormone or EDC,1,1,0.935,NA,NA,NA,NA,NA,1,-7.683792469,26.24151942,67,NA,,2,no,notconf,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
15,DTXSID0020862,269.13219-688.9,269.13219,688.9,40,38,38,8,100,100,100,28679.1276229737,14.6829804750505,9669.74078218272,31401.6977832087,26303.7427650266,1.61669604447646,33.7169976343237,28175.1800442383,30790.4736715133,9289.02790406246,26009.5374831877,1.57872498281584,32.9688324599083,26518.229884291,10359.215254495,31069.6864628333,23425.8596176615,1.77902354074055,39.0645050582039,26115.6058400927,23179.796708002,1.72864313057962,40.0400441098847,9225.94307378105,13.1485836553927,12783.00880574,0.444423328452704,0.78338662946851,1,32.1695387498136,89.5498272829211,1,1,1,1,0,0,DTXSID0020862,2,10,Multiple,269.1324765,1.06,3-Methylcholanthrene,C21H16,268.1252,M+H,50,,0,3-Methylcholanthrene,"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",C21H16,C21H16,268.1252005,"VBtoxcast, MC",,NA,NA,NA,NA,NA,NA,NA,1,PAH,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.121109596,7.594515188,12,NA,,1,no,notconf,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
16,DTXSID0020862,269.1321-459.9,269.1321,459.9,40,38,38,8,100,100,100,7139.65500696603,12.7668589454141,1630.22694620798,7109.65674164547,6969.59421050704,1.24801653784687,22.8334134438904,6818.71742425987,6692.31144650872,1688.89475243011,6631.53050944762,1.26634434531474,24.768510664796,6688.06632685467,1310.54144846057,6504.05541648923,6560.92137304576,1.22312867560435,19.5952220628904,6527.06049810715,6196.1540632724,1.41947799192562,29.1465813999421,2370.14663675641,11.1643764221822,3755.77981669802,0.16016051915645,0.269319144020575,1,33.1969350682057,87.4481066166434,1,1,1,1,0,0,DTXSID0020862,2,10,Multiple,269.1324765,1.4,3-Methylcholanthrene,C21H16,268.1252,M+H,50,,0,3-Methylcholanthrene,"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",C21H16,C21H16,268.1252005,"VBtoxcast, MC",,NA,NA,NA,NA,NA,NA,NA,1,PAH,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.121109596,7.594515188,12,NA,,1,no,notconf,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
19,DTXSID0022193,177.0909-354,177.0909,354,40,38,38,8,100,100,100,41596.8742083656,15.1352326155006,24911.8600648566,39311.6677426285,35988.1074609105,1.706437720653,59.8887789983184,34719.5286853486,34012.8893571243,13527.5228319946,32190.0052947344,1.49399099063949,38.9622882113118,34086.5972876309,11512.5683638999,34008.3552717233,32063.9271217396,1.44202589140487,33.7744723145995,33735.0962838573,29078.0236786511,1.75783155775124,56.0461106824157,10244.9858891302,13.2927439592239,11478.4037218706,0.260747895835365,0.365625144426425,1,24.6292205462635,87.8264926408214,1,1,1,1,0,0,DTXSID0022193,2,10,Multiple,177.0910056,0.6,Benzylmethacrylate,C11H12O2,176.08373,M+H,93,,0,"Benzyl,methacrylate",benzyl 2-methylprop-2-enoate,C11H12O2,C11H12O2,176.0837296,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,47.67365058,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.276259843,2.205313819,1,NA,,0,no,notconf,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
30,DTXSID0024397,178.08629-478.2,178.08629,478.2,40,38,38,3,100,100,100,12475.771601112,13.2776800181891,7996.31846969476,10542.6772346269,9930.70219444709,2.09063558774134,64.0947808709648,9720.66469143483,9467.47231753797,5644.58165422407,8308.0940231425,1.76628245389367,58.0678568122783,11560.4660471413,5911.15338372579,11154.5625844812,10462.9083050099,1.55100666464844,51.1324834104548,10015.5020453334,7397.44777173886,2.98129598961739,71.2084722844015,103.834116822545,NA,169.104260144425,0.829823166337576,0.100082883717467,1,0.832286131410824,NA,1,1,0,1,0,0,DTXSID0024397,2,10,Unique,178.0862546,0.2,Acetoacetanilide,C10H11NO2,177.07898,M+H,166,,0,Acetoacetanilide,3-oxo-N-phenylbutanamide,C10H11NO2,C10H11NO2,177.0789786,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.903800889,8.334960951,4,NA,,0,no,notconf,yes,0,0,0,0,0,0,0,1,0,1,-,-,-,-,-,-,-,-,0,1,1
31,DTXSID0024397,178.08642-189.1,178.08642,189.1,40,38,38,8,100,100,100,32470.2730814866,14.6044607314202,26988.1475469953,23225.4131377293,24910.40283099,2.02886941167374,83.1164785071764,19919.4918789348,19709.3896186066,8343.41677551944,18455.8964804623,1.48182258103684,41.8856907908517,24222.6500819653,16451.6625641093,19544.5965455175,20412.5414060789,1.77485134936183,67.9185081254105,24348.7234700992,17855.7155995839,2.45886242267423,81.8617168521,3745.6813440214,11.1643983697202,3326.15165306278,0.240151369462586,0.065127007022917,1,11.5357247985606,76.4451257395695,1,1,1,1,0,0,DTXSID0024397,2,10,Unique,178.0862546,0.93,Acetoacetanilide,C10H11NO2,177.07898,M+H,166,,0,Acetoacetanilide,3-oxo-N-phenylbutanamide,C10H11NO2,C10H11NO2,177.0789786,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.903800889,8.334960951,4,NA,,0,no,notconf,yes,0,0,1,0,0,0,0,1,0,1,-,-,-,-,-,-,-,-,0,1,1
32,DTXSID0025527,387.25216-490.6,387.25216,490.6,40,38,38,2,100,100,100,28297.4492604721,14.3328630249542,30335.6737867022,20084.1216169235,20635.8182540658,2.10515491763362,107.202856015285,29082.0795359922,19623.4995176267,33658.1560589099,20743.4307738013,2.12611687334621,115.735038882809,27288.7739102845,27891.6348143256,19984.3001226928,20125.392148496,2.11162310822598,102.209190145454,26648.5505624565,18644.1790619067,2.83222551043856,113.757675867639,157.086388393239,NA,138.020823999026,0.972089039180892,0.87686202890819,1,0.55512561201998,NA,1,0,1,0,0,0,DTXSID0025527,3,534.653465346536,Unique,387.2529856,2.13,Medroxyprogesteroneacetate,C24H34O4,386.24571,M+H,185,,0,"Medroxyprogesterone,acetate","[(6S,8R,9S,10R,13S,14S,17R)-17-acetyl-6,10,13-trimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate",C24H34O4,C24H34O4,386.2457096,"VBtoxcast, MC",,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.010825,125.7921,42,NA,,1,no,notconf,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
42,DTXSID0032572,301.17708-772.8,301.17708,772.8,40,38,38,8,100,100,100,9435.23019702187,13.0290232137151,4846.72516350373,8636.91791414157,8358.47025962384,1.64670356911461,51.3683827770684,11485.5272321912,11080.7057348552,5409.75003052873,10290.1293902229,1.62715007044081,47.1005807671282,9084.24542873628,4805.41362278483,8799.95810711999,8074.34564211227,1.63065879213472,52.8983244726504,15160.2099352114,8340.3961510277,2.56595540636093,226.614092795027,2354.59618424476,10.9154074344412,730.075070341665,0.892647435768417,0.06368453161818,1,24.9553655297987,83.7776344043279,1,0,1,0,0,0,DTXSID0032572,2,10,Multiple,301.1798206,9.1,Prallethrin,C19H24O3,300.17254,M+H,272,,0,Prallethrin,"(2-methyl-4-oxo-3-prop-2-ynylcyclopent-2-en-1-yl) 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",C19H24O3,C19H24O3,300.1725446,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,2,NA,NA,NA,1,-2.751341765,18.70139525,20,NA,,1,no,notconf,yes,0,0,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,1,1
43,DTXSID0032572,301.17912-438.5,301.17912,438.5,40,38,38,8,100,100,100,4691.2911776534,12.0633834791989,1400.01628505257,4670.33764395981,4279.9655805681,1.74001737679137,29.8428776222939,5069.36396201509,5059.68515718712,1373.36672586762,4873.85526715396,1.34140438304945,27.091499765223,5339.47585907972,1306.68637878285,5523.24469507424,5177.7347829038,1.29167309722219,24.4721844104013,4924.48455832768,4467.32146376401,1.64538191543167,40.0902161975851,1616.18703871614,10.6271498755409,2556.23064988173,0.08645003620874,0.324785293764291,1,34.4507935558278,88.0942721738514,0,0,0,0,0,0,DTXSID0032572,2,10,Multiple,301.1798206,2.33,Prallethrin,C19H24O3,300.17254,M+H,272,,0,Prallethrin,"(2-methyl-4-oxo-3-prop-2-ynylcyclopent-2-en-1-yl) 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",C19H24O3,C19H24O3,300.1725446,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,2,NA,NA,NA,1,-2.751341765,18.70139525,20,NA,,1,no,notconf,yes,0,0,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,1,1
44,DTXSID0032601,292.12358-447.9,292.12358,447.9,40,38,38,3,100,100,100,55470.2247933058,15.6278302741166,24584.2857228145,49237.8662209555,50634.4013462817,1.5530681784243,44.3197874434814,47662.5346147245,47128.3845617744,17965.2853703362,44357.9193909648,1.48026416422193,37.6926773105057,54201.7089198376,19916.1708568136,49762.9607807319,50865.9478951701,1.43880978722992,36.7445441365491,47579.3120071098,41384.7619794951,2.61815132842865,52.4268271521936,139.740564631031,NA,137.055793178917,0.861125446914175,0.137674932105031,1,0.251919953726048,NA,1,1,0,1,0,0,DTXSID0032601,3,51428.5714285714,Unique,292.1211159,8.44,Cyproconazole,C15H18ClN3O,291.11384,M+H,274,,0,Cyproconazole,"2-(4-chlorophenyl)-3-cyclopropyl-1-(1,2,4-triazol-1-yl)butan-2-ol",C15H18ClN3O,C15H18ClN3O,291.1138399,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,2,NA,NA,NA,1,-4.234556,6.203469,30,NA,,1,no,notconf,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
