"","X","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","CV_N.CV_OW","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","name_cleaned.x","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DB_name","DTXSID","name_original","select.for.fragmentation","SMILES_cleaned","name_cleaned.y","formula_cleaned","Molweight_cleaned","parent_id","MONOISOTOPIC_MASS","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","carcino","DF_high_N","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI","cvNvOW","sd_avg_N","sdN_GE_sdavg","Drug_UCSF_cond","ERactive_AUC_cond","of_interest_all","of_int_sd","of_interest_sum","of_interest_cat"
"1",9,"102.05482-45.2",1023,102.05482,45.2,100,100,100,0,22659.22281,5787.132075,25.53985246,23079.07661,21972.52054,20172.16274,4468.381566,22.15122703,19799.09637,19661.10687,7387.660152,4572.002188,61.88701285,8687.450053,5357.812416,"1.152976873",2,10,"Multiple",102.0549545,1.32,"3-Oxobutanamide","C4H7NO2",101.04768,"M+H",21415.69278,34.49647989,"DTXSID1040164","DTXSID1040164","3-Oxobutanamide",NA,"CC(=O)CC(N)=O","3-oxobutanamide","C4H7NO2",101.0476785,"",101.0476785,"exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.244722417,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.344703829,1.316195146,1,NA,NA,0,NA,0,"nurses1",0.155228264,0.04414058,3.516679257,0.000544092,1,0,"pos",1.15297687236065,118810.628730266,0,0,NA,0,0,0,0
"2",10,"102.05482-45.2",1275,102.05482,45.2,100,100,100,0,22659.22281,5787.132075,25.53985246,23079.07661,21972.52054,20172.16274,4468.381566,22.15122703,19799.09637,19661.10687,7387.660152,4572.002188,61.88701285,8687.450053,5357.812416,"1.152976873",2,10,"Multiple",102.0549545,1.32,"Allylcarbamate","C4H7NO2",101.04768,"M+H",21415.69278,34.49647989,"DTXSID1051856","DTXSID1051856","Allyl,carbamate",NA,"C=CCOC(N)=O","prop-2-enyl carbamate","C4H7NO2",101.0476785,"",101.0476785,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.507119768,1.350054247,2,NA,NA,0,NA,0,"nurses1",0.155228264,0.04414058,3.516679257,0.000544092,1,0,"pos",1.15297687236065,118810.628730266,0,0,NA,0,0,0,0
"3",39,"104.10708-62.7",3678,104.10708,62.7,100,100,100,0,2885059.403,913651.6703,31.6683833,2843096.588,2734671.931,3484726.648,1448645.568,41.57128275,3413175.106,3188472.947,43401.12436,14954.54022,34.45657329,36637.08424,41323.29642,"0.761785088",3,46022.72727,"Unique",104.10699,0.86,"Dimepranol","C5H13NO",103.09971,"M+H",3184893.026,1.362718434,"DTXSID5031210","DTXSID5031210","Dimepranol",2,"CC(O)CN(C)C","1-(dimethylamino)propan-2-ol","C5H13NO",103.099714,"",103.099714,"exposurepred","",NA,NA,NA,NA,NA,1,1.812102275,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"nurses1",-0.242176467,0.051593024,-4.693976996,5.06e-06,0,0,"pos",0.761785088289103,118810.628730266,1,0,NA,0,1,1,1
"4",40,"104.1071-67",3678,104.1071,67,100,100,100,0,4558912.868,1030970.28,22.61438878,4320410.351,4447371.975,5726222.508,1801772.843,31.46529567,5318915.324,5460041.496,54867.14852,17525.63184,31.94194033,46155.51355,52600.11334,"0.718708923",3,46022.72727,"Unique",104.10699,1.06,"Dimepranol","C5H13NO",103.09971,"M+H",5142567.688,1.066921271,"DTXSID5031210","DTXSID5031210","Dimepranol",2,"CC(O)CN(C)C","1-(dimethylamino)propan-2-ol","C5H13NO",103.099714,"",103.099714,"exposurepred","",NA,NA,NA,NA,NA,1,1.812102275,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"nurses1",-0.298434234,0.052249989,-5.711661168,4.15e-08,0,0,"pos",0.718708923544655,118810.628730266,1,0,NA,0,1,1,1
"5",41,"104.10728-70.3",3678,104.10728,70.3,100,100,100,0,4102098.111,987280.8161,24.06770363,3963529.042,3969342.575,5395480.08,1890581.414,35.04009627,4868762.01,5092864.71,51097.64195,16839.27487,32.95509191,42903.87966,48859.04412,"0.686861801",3,46022.72727,"Unique",104.10699,2.79,"Dimepranol","C5H13NO",103.09971,"M+H",4748789.095,1.076014136,"DTXSID5031210","DTXSID5031210","Dimepranol",2,"CC(O)CN(C)C","1-(dimethylamino)propan-2-ol","C5H13NO",103.099714,"",103.099714,"exposurepred","",NA,NA,NA,NA,NA,1,1.812102275,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"nurses1",-0.365659142,0.056968772,-6.418589203,1.03e-09,0,0,"pos",0.686861800965023,118810.628730266,1,0,NA,0,1,1,1
"6",91,"110.07098-63.8",602,110.07098,63.8,100,100,75,0,10579.38713,7527.429315,71.15184675,9602.081277,7971.018509,9205.569824,6681.236426,72.57819509,8645.597277,6979.905933,1652.428238,1319.592498,79.85777943,1964.347902,NA,"0.980347426",2,10,"Multiple",110.0712732,2.66,"23-Diaminopyridine","C5H7N3",109.064,"M+H",9892.478475,16.7038851,"DTXSID0051493","DTXSID0051493","2,3-Diaminopyridine",NA,"Nc1cccnc1N","pyridine-2,3-diamine","C5H7N3",109.0639972,"",109.0639972,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.968606506,3.205977719,4,NA,NA,0,NA,0,"nurses1",0.139885838,0.072232803,1.936597112,0.054247352,1,0,"pos",0.980347426134926,118810.628730266,0,0,NA,0,0,0,0
"7",92,"110.07098-63.8",333,110.07098,63.8,100,100,75,0,10579.38713,7527.429315,71.15184675,9602.081277,7971.018509,9205.569824,6681.236426,72.57819509,8645.597277,6979.905933,1652.428238,1319.592498,79.85777943,1964.347902,NA,"0.980347426",2,10,"Multiple",110.0712732,2.66,"26-Diaminopyridine","C5H7N3",109.064,"M+H",9892.478475,16.7038851,"DTXSID0040127","DTXSID0040127","2,6-Diaminopyridine",NA,"Nc1cccc(N)n1","pyridine-2,6-diamine","C5H7N3",109.0639972,"",109.0639972,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.858933512,4.291988416,2,NA,NA,0,NA,0,"nurses1",0.139885838,0.072232803,1.936597112,0.054247352,1,0,"pos",0.980347426134926,118810.628730266,0,0,NA,0,0,0,0
"8",101,"114.06612-71.1",6030,114.06612,71.1,100,100,100,0,200735.6235,102739.216,51.18135699,178143.9724,177320.8249,171060.9293,85898.36835,50.21507174,153166.3118,153179.0364,16493.2572,8661.969414,52.51824615,14710.02572,14827.35515,"1.019242933",3,47928.99408,"Unique",114.0661878,0.59,"Creatinine","C4H7N3O",113.05891,"M+H",185898.2764,8.872194795,"DTXSID8045987","DTXSID8045987","Creatinine",NA,"CN1CC(=O)NC1=N","2-imino-1-methylimidazolidin-4-one","C4H7N3O",113.0589118,"",113.0589119,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.016627802,2.987700259,1,NA,NA,0,NA,0,"nurses1",0.177926755,0.061617898,2.887582359,0.00432282,1,0,"pos",1.01924293277929,118810.628730266,0,0,NA,0,0,0,0
"9",102,"114.06617-67.5",6030,114.06617,67.5,100,100,100,0,182020.2838,105845.5242,58.15040059,170447.0535,154538.1605,155040.7175,90759.46192,58.53911371,137890.5938,133922.4635,14041.49403,4111.59909,29.28177787,13639.04579,13506.00521,"0.993359771",3,47928.99408,"Unique",114.0661878,0.16,"Creatinine","C4H7N3O",113.05891,"M+H",168530.5007,8.331722728,"DTXSID8045987","DTXSID8045987","Creatinine",NA,"CN1CC(=O)NC1=N","2-imino-1-methylimidazolidin-4-one","C4H7N3O",113.0589118,"",113.0589119,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.016627802,2.987700259,1,NA,NA,0,NA,0,"nurses1",0.166426803,0.063311255,2.628708016,0.009257513,1,0,"pos",0.993359771008395,118810.628730266,0,0,NA,0,0,0,0
"10",103,"114.06621-73.5",6030,114.06621,73.5,100,100,100,0,217909.1218,96013.93776,44.06145872,190964.9397,198862.1969,189483.83,79538.37414,41.97633863,180466.4971,174519.1578,17510.86122,10265.06684,58.62114211,15731.0399,15317.6748,"1.049673701",3,47928.99408,"Unique",114.0661878,0.19,"Creatinine","C4H7N3O",113.05891,"M+H",203696.4759,8.596545985,"DTXSID8045987","DTXSID8045987","Creatinine",NA,"CN1CC(=O)NC1=N","2-imino-1-methylimidazolidin-4-one","C4H7N3O",113.0589118,"",113.0589119,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.016627802,2.987700259,1,NA,NA,0,NA,0,"nurses1",0.159600319,0.055319261,2.885076838,0.004355924,1,0,"pos",1.04967370090039,118810.628730266,0,0,NA,0,0,0,0
