,X1,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,CV_N.CV_OW,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,name_cleaned.x,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DB_name,DTXSID,name_original,select.for.fragmentation,SMILES_cleaned,name_cleaned.y,formula_cleaned,Molweight_cleaned,parent_id,MONOISOTOPIC_MASS,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,DF_high_N,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI,cvNvOW,sd_avg_N,sdN_GE_sdavg,Drug_UCSF_cond,ERactive_AUC_cond,of_interest_all,of_int_sd,of_interest_sum,of_interest_cat
3,39,104.10708-62.7,3678,104.10708,62.7,100,100,100,0,2885059.403,913651.6703,31.6683833,2843096.588,2734671.931,3484726.648,1448645.568,41.57128275,3413175.106,3188472.947,43401.12436,14954.54022,34.45657329,36637.08424,41323.29642,0.761785088,3,46022.72727,Unique,104.10699,0.86,Dimepranol,C5H13NO,103.09971,M+H,3184893.026,1.362718434,DTXSID5031210,DTXSID5031210,Dimepranol,2,CC(O)CN(C)C,1-(dimethylamino)propan-2-ol,C5H13NO,103.099714,,103.099714,exposurepred,,NA,NA,NA,NA,NA,1,1.812102275,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,-0.242176467,0.051593024,-4.693976996,5.06E-06,0,0,pos,0.761785088289103,118810.628730266,1,0,NA,0,1,1,1
4,40,104.1071-67,3678,104.1071,67,100,100,100,0,4558912.868,1030970.28,22.61438878,4320410.351,4447371.975,5726222.508,1801772.843,31.46529567,5318915.324,5460041.496,54867.14852,17525.63184,31.94194033,46155.51355,52600.11334,0.718708923,3,46022.72727,Unique,104.10699,1.06,Dimepranol,C5H13NO,103.09971,M+H,5142567.688,1.066921271,DTXSID5031210,DTXSID5031210,Dimepranol,2,CC(O)CN(C)C,1-(dimethylamino)propan-2-ol,C5H13NO,103.099714,,103.099714,exposurepred,,NA,NA,NA,NA,NA,1,1.812102275,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,-0.298434234,0.052249989,-5.711661168,4.15E-08,0,0,pos,0.718708923544655,118810.628730266,1,0,NA,0,1,1,1
5,41,104.10728-70.3,3678,104.10728,70.3,100,100,100,0,4102098.111,987280.8161,24.06770363,3963529.042,3969342.575,5395480.08,1890581.414,35.04009627,4868762.01,5092864.71,51097.64195,16839.27487,32.95509191,42903.87966,48859.04412,0.686861801,3,46022.72727,Unique,104.10699,2.79,Dimepranol,C5H13NO,103.09971,M+H,4748789.095,1.076014136,DTXSID5031210,DTXSID5031210,Dimepranol,2,CC(O)CN(C)C,1-(dimethylamino)propan-2-ol,C5H13NO,103.099714,,103.099714,exposurepred,,NA,NA,NA,NA,NA,1,1.812102275,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,-0.365659142,0.056968772,-6.418589203,1.03E-09,0,0,pos,0.686861800965023,118810.628730266,1,0,NA,0,1,1,1
34,231,132.10183-85.1,1444,132.10183,85.1,100,100,100,0,596724.185,261094.9216,43.75470748,567098.0689,542538.534,605202.6975,304390.3624,50.2956057,524351.5624,540724.755,2256.423678,2386.215887,105.7521205,1073.199715,1182.957841,0.869950901,3,40165.28926,Multiple,132.1019047,0.57,4-(2-Hydroxyethyl)morpholine,C6H13NO2,131.09463,M+H,600963.4413,0.375467711,DTXSID2022090,DTXSID2022090,4-(2-Hydroxyethyl)morpholine,2,OCCN1CCOCC1,2-morpholin-4-ylethanol,C6H13NO2,131.0946287,,131.0946287,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.26001824,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.034251952,5.957155237,8,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,0.869950900700655,118810.628730266,1,0,NA,0,1,1,1
36,233,132.10183-85.1,1972,132.10183,85.1,100,100,100,0,596724.185,261094.9216,43.75470748,567098.0689,542538.534,605202.6975,304390.3624,50.2956057,524351.5624,540724.755,2256.423678,2386.215887,105.7521205,1073.199715,1182.957841,0.869950901,3,40165.28926,Multiple,132.1019047,0.57,Sodium6-aminohexanoate,C6H13NO2,131.09463,M+H,600963.4413,0.375467711,DTXSID2064600,DTXSID2064600,"Sodium,6-aminohexanoate",2,NCCCCCC(=O)O,6-aminohexanoic acid,C6H13NO2,131.0946287,,131.0946287,exposurepred,,NA,NA,NA,NA,NA,1,1.095087096,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,0.869950900700655,118810.628730266,1,0,NA,0,1,1,1
55,380,146.06016-165.3,654,146.06016,165.3,100,100,100,0,254090.2182,94322.79142,37.12177198,253075.428,234461.5775,208429.7066,81603.46324,39.15155117,205117.469,191730.0728,13354.253,6805.972533,50.96483145,9858.72217,11938.34098,0.948155843,3,38848.92086,Multiple,146.0587381,9.74,NN-DIMETHYL-2H-PERFLUOROETHANAMINE,C4H7F4N,145.05146,M+H,231259.9624,5.774563336,DTXSID00620545,DTXSID00620545,"N,N-DIMETHYL-2H-PERFLUOROETHANAMINE",1,CN(C)C(F)(F)C(F)F,"1,1,2,2-tetrafluoro-N,N-dimethylethanamine",C4H7F4N,145.0514621,,145.0514619,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,0.273306114,0.081651182,3.347240136,0.000980241,1,0,pos,0.948155842378084,118810.628730266,0,0,NA,1,0,1,1
56,381,146.06016-169.2,654,146.06016,169.2,100,100,100,0,223074.5224,62831.89003,28.16632278,216198.9658,214569.5668,209381.0159,68531.28532,32.73041971,200644.3214,198677.1253,9990.023326,4388.192003,43.92574331,8189.107814,9176.240406,0.860554891,3,38848.92086,Multiple,146.0587381,9.74,NN-DIMETHYL-2H-PERFLUOROETHANAMINE,C4H7F4N,145.05146,M+H,216227.7692,4.620138923,DTXSID00620545,DTXSID00620545,"N,N-DIMETHYL-2H-PERFLUOROETHANAMINE",1,CN(C)C(F)(F)C(F)F,"1,1,2,2-tetrafluoro-N,N-dimethylethanamine",C4H7F4N,145.0514621,,145.0514619,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,0.101447352,0.060722119,1.670682022,0.096396967,1,0,pos,0.86055489143008,118810.628730266,0,0,NA,1,0,1,1
59,384,146.09233-73.5,1349,146.09233,73.5,100,100,100,0,243321.2002,467368.0808,192.0786518,10633.84349,29116.07435,196099.8215,400032.7824,203.9944654,12808.21915,24552.8117,5503.471023,6477.99551,117.7074519,1401.385982,2578.527535,0.941587564,3,21093.75,Multiple,146.0924026,0.5,NN-DIETHYL-N-NITROSOUREA,C5H11N3O2,145.08513,M+H,219710.5108,2.504873801,DTXSID20197820,DTXSID20197820,"N,N'-DIETHYL-N-NITROSOUREA",NA,CCNC(=O)N(CC)N=O,"1,3-diethyl-1-nitrosourea",C5H11N3O2,145.0851266,,145.0851266,MC,,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,0,NA,NA,NA,0,0,pos,0.941587564267319,118810.628730266,1,0,NA,1,0,1,1
60,385,146.09233-73.5,1358,146.09233,73.5,100,100,100,0,243321.2002,467368.0808,192.0786518,10633.84349,29116.07435,196099.8215,400032.7824,203.9944654,12808.21915,24552.8117,5503.471023,6477.99551,117.7074519,1401.385982,2578.527535,0.941587564,3,21093.75,Multiple,146.0924026,0.5,N-N-BUTYL-N-NITROSOUREA,C5H11N3O2,145.08513,M+H,219710.5108,2.504873801,DTXSID2020214,DTXSID2020214,N-N-BUTYL-N-NITROSOUREA,NA,CCCCN(N=O)C(N)=O,1-butyl-1-nitrosourea,C5H11N3O2,145.0851266,,145.0851266,MC,,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,0,NA,NA,NA,0,0,pos,0.941587564267319,118810.628730266,1,0,NA,1,0,1,1
76,618,165.0911-224.2,4924,165.0911,224.2,100,100,100,0,29617.52666,14562.75671,49.16938836,28324.7234,26254.32943,18210.73291,11647.94447,63.96197521,15003.26901,14647.29291,4860.545583,2446.760644,50.33921814,4967.808758,4131.452564,0.768728423,2,479.2899408,Multiple,165.0910056,0.57,Isoeugenol,C10H12O2,164.08373,M+H,23914.12978,20.32499458,DTXSID7022413,DTXSID7022413,Isoeugenol,2,CC=Cc1ccc(O)c(OC)c1,2-methoxy-4-prop-1-enylphenol,C10H12O2,164.0837296,,164.0837296,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,3,NA,NA,NA,1,-1.59417,6.076339,4,NA,NA,0,NA,0,nurses1,0.836504978,0.121113436,6.906789249,6.91E-11,1,0,pos,0.768728423388537,118810.628730266,0,0,NA,1,0,1,1
