,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,CV_N/CV_OW,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,name_cleaned.x,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DB_name,DTXSID,name_original,select for fragmentation,SMILES_cleaned,name_cleaned.y,formula_cleaned,Molweight_cleaned,parent_id,MONOISOTOPIC_MASS,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,DF_high_N,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI
1,101.05949-361.4,1389,101.05949,361.4,100,100,100,0,3699.551719,4908.862708,132.6880412,1465.187374,1732.705613,3552.791903,4689.230754,131.9872056,1661.590313,1835.147584,11101.30905,9582.783811,86.32120559,7728.31179,6801.692979,,1,9,Multiple,101.0597055,2.13,Methylmethacrylate,C5H8O2,100.05243,M+H,3626.171811,306.1440448,DTXSID2020844,DTXSID2020844,"Methyl,methacrylate",,C=C(C)C(=O)OC,methyl 2-methylprop-2-enoate,C5H8O2,100.0524295,,100.0524295,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.250139,1.444865,1,NA,,0,NA,0,NA,0,NA,NA,NA,0,0,pos
2,101.05949-361.4,1854,101.05949,361.4,100,100,100,0,3699.551719,4908.862708,132.6880412,1465.187374,1732.705613,3552.791903,4689.230754,131.9872056,1661.590313,1835.147584,11101.30905,9582.783811,86.32120559,7728.31179,6801.692979,,1,9,Multiple,101.0597055,2.13,33-Dimethylacrylicacid,C5H8O2,100.05243,M+H,3626.171811,306.1440448,DTXSID2047145,DTXSID2047145,"3,3-Dimethylacrylic,acid",,CC(C)=CC(=O)O,3-methylbut-2-enoic acid,C5H8O2,100.0524295,,100.0524295,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.512062966,6.162770159,1,NA,,0,NA,0,NA,0,NA,NA,NA,0,0,pos
3,101.05949-361.4,2305,101.05949,361.4,100,100,100,0,3699.551719,4908.862708,132.6880412,1465.187374,1732.705613,3552.791903,4689.230754,131.9872056,1661.590313,1835.147584,11101.30905,9582.783811,86.32120559,7728.31179,6801.692979,,1,9,Multiple,101.0597055,2.13,Isopropenylacetate,C5H8O2,100.05243,M+H,3626.171811,306.1440448,DTXSID3031492,DTXSID3031492,"Isopropenyl,acetate",,C=C(C)OC(C)=O,prop-1-en-2-yl acetate,C5H8O2,100.0524295,,100.0524295,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.351734936,4.893727755,3,NA,,0,NA,0,NA,0,NA,NA,NA,0,0,pos
4,101.05949-361.4,4308,101.05949,361.4,100,100,100,0,3699.551719,4908.862708,132.6880412,1465.187374,1732.705613,3552.791903,4689.230754,131.9872056,1661.590313,1835.147584,11101.30905,9582.783811,86.32120559,7728.31179,6801.692979,,1,9,Multiple,101.0597055,2.13,Glutaraldehyde,C5H8O2,100.05243,M+H,3626.171811,306.1440448,DTXSID6025355,DTXSID6025355,Glutaraldehyde,,O=CCCCC=O,pentanedial,C5H8O2,100.0524295,,100.0524295,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.547765803,23.03035848,12,NA,,0,NA,0,NA,0,NA,NA,NA,0,0,pos
5,101.05949-361.4,4540,101.05949,361.4,100,100,100,0,3699.551719,4908.862708,132.6880412,1465.187374,1732.705613,3552.791903,4689.230754,131.9872056,1661.590313,1835.147584,11101.30905,9582.783811,86.32120559,7728.31179,6801.692979,,1,9,Multiple,101.0597055,2.13,Tetrahydro-2H-pyran-2-one,C5H8O2,100.05243,M+H,3626.171811,306.1440448,DTXSID6044438,DTXSID6044438,Tetrahydro-2H-pyran-2-one,,O=C1CCCCO1,oxan-2-one,C5H8O2,100.0524295,,100.0524295,exposurepred,,NA,NA,NA,NA,NA,1,0.806620104,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,0,NA,0,NA,NA,NA,0,0,pos
6,101.05949-361.4,6410,101.05949,361.4,100,100,100,0,3699.551719,4908.862708,132.6880412,1465.187374,1732.705613,3552.791903,4689.230754,131.9872056,1661.590313,1835.147584,11101.30905,9582.783811,86.32120559,7728.31179,6801.692979,,1,9,Multiple,101.0597055,2.13,Allylacetate,C5H8O2,100.05243,M+H,3626.171811,306.1440448,DTXSID9024437,DTXSID9024437,"Allyl,acetate",,C=CCOC(C)=O,prop-2-enyl acetate,C5H8O2,100.0524295,,100.0524295,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.414647435,3.52577446,1,NA,,0,NA,0,NA,0,NA,NA,NA,0,0,pos
7,102.05467-283.7,1023,102.05467,283.7,96.66666667,97.5,100,-0.833333333,21332.32827,23620.96406,110.7284857,12682.35378,NA,21338.99452,23779.27358,111.4357734,13270.66063,NA,36305.31489,32446.50888,89.37123663,23457.29033,19365.63582,,2,10,Multiple,102.0549545,2.79,3-Oxobutanamide,C4H7NO2,101.04768,M+H,21335.6614,170.1625941,DTXSID1040164,DTXSID1040164,3-Oxobutanamide,,CC(=O)CC(N)=O,3-oxobutanamide,C4H7NO2,101.0476785,,101.0476785,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.244722417,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.344703829,1.316195146,1,NA,,0,NA,0,NA,0,NA,NA,NA,0,0,pos
8,102.05467-283.7,1275,102.05467,283.7,96.66666667,97.5,100,-0.833333333,21332.32827,23620.96406,110.7284857,12682.35378,NA,21338.99452,23779.27358,111.4357734,13270.66063,NA,36305.31489,32446.50888,89.37123663,23457.29033,19365.63582,,2,10,Multiple,102.0549545,2.79,Allylcarbamate,C4H7NO2,101.04768,M+H,21335.6614,170.1625941,DTXSID1051856,DTXSID1051856,"Allyl,carbamate",,C=CCOC(N)=O,prop-2-enyl carbamate,C4H7NO2,101.0476785,,101.0476785,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.507119768,1.350054247,2,NA,,0,NA,0,NA,0,NA,NA,NA,0,0,pos
9,102.05482-45.2,1023,102.05482,45.2,100,100,100,0,22659.22281,5787.132075,25.53985246,23079.07661,21972.52054,20172.16274,4468.381566,22.15122703,19799.09637,19661.10687,7387.660152,4572.002188,61.88701285,8687.450053,5357.812416,1.152976873,2,10,Multiple,102.0549545,1.32,3-Oxobutanamide,C4H7NO2,101.04768,M+H,21415.69278,34.49647989,DTXSID1040164,DTXSID1040164,3-Oxobutanamide,,CC(=O)CC(N)=O,3-oxobutanamide,C4H7NO2,101.0476785,,101.0476785,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.244722417,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.344703829,1.316195146,1,NA,,0,NA,0,nurses1,0.155228264,0.04414058,3.516679257,0.000544092,1,0,pos
10,102.05482-45.2,1275,102.05482,45.2,100,100,100,0,22659.22281,5787.132075,25.53985246,23079.07661,21972.52054,20172.16274,4468.381566,22.15122703,19799.09637,19661.10687,7387.660152,4572.002188,61.88701285,8687.450053,5357.812416,1.152976873,2,10,Multiple,102.0549545,1.32,Allylcarbamate,C4H7NO2,101.04768,M+H,21415.69278,34.49647989,DTXSID1051856,DTXSID1051856,"Allyl,carbamate",,C=CCOC(N)=O,prop-2-enyl carbamate,C4H7NO2,101.0476785,,101.0476785,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.507119768,1.350054247,2,NA,,0,NA,0,nurses1,0.155228264,0.04414058,3.516679257,0.000544092,1,0,pos
