"","X","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DB_name","DTXSID","CASRN","name_original","formula_original","SMILES_original","SMILES_cleaned","name_cleaned","formula_cleaned","Molweight_cleaned","parent_id","MONOISOTOPIC_MASS","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","DF_high_N","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI","cvNvOW","sd_avg_N","sdN_GE_sdavg","Drug_UCSF_cond","ERactive_AUC_cond","of_interest_all","of_int_sd","of_interest_sum","of_interest_cat"
"1",1,"107.05021-218.3",3391,107.05021,218.3,100,100,66.6666666666667,0,1302280.08746616,902709.775922204,69.3176363986798,1276380.52889179,920750.381699073,1443952.08947825,1139259.0661174,78.8986749919839,1121091.52626746,1018629.08825453,546.082223093221,755.547619167238,138.357849279093,205.48730122861,NA,3,26470.5882352941,"Multiple",107.0502389,0.27,"Benzylalcohol","C7H8O",108.05751,"M-H",1373116.08847221,0.0397695597391782,"DTXSID5020152","DTXSID5020152","'100-51-6","Benzyl,alcohol","C7H8O","OCC1=CC=CC=C1","OCc1ccccc1","phenylmethanol","C7H8O",108.0575149,"",108.0575149,"exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.108769345,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.023539386,4.085388639,3,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",0.878565278893752,643115.401519168,1,0,NA,0,1,1,1
"2",2,"107.05021-218.3",4265,107.05021,218.3,100,100,66.6666666666667,0,1302280.08746616,902709.775922204,69.3176363986798,1276380.52889179,920750.381699073,1443952.08947825,1139259.0661174,78.8986749919839,1121091.52626746,1018629.08825453,546.082223093221,755.547619167238,138.357849279093,205.48730122861,NA,3,26470.5882352941,"Multiple",107.0502389,0.27,"m-Cresol","C7H8O",108.05751,"M-H",1373116.08847221,0.0397695597391782,"DTXSID6024200","DTXSID6024200","'108-39-4","m-Cresol","C7H8O","CC1=CC(O)=CC=C1","Cc1cccc(O)c1","3-methylphenol","C7H8O",108.0575149,"",108.0575149,"exposurepred, pesticidemammarytumors","",NA,NA,NA,NA,NA,1,0.455487292,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",0.878565278893752,643115.401519168,1,0,NA,0,1,1,1
"3",3,"107.05021-218.3",4905,107.05021,218.3,100,100,66.6666666666667,0,1302280.08746616,902709.775922204,69.3176363986798,1276380.52889179,920750.381699073,1443952.08947825,1139259.0661174,78.8986749919839,1121091.52626746,1018629.08825453,546.082223093221,755.547619167238,138.357849279093,205.48730122861,NA,3,26470.5882352941,"Multiple",107.0502389,0.27,"p-Cresol","C7H8O",108.05751,"M-H",1373116.08847221,0.0397695597391782,"DTXSID7021869","DTXSID7021869","'106-44-5","p-Cresol","C7H8O","CC1=CC=C(O)C=C1","Cc1ccc(O)cc1","4-methylphenol","C7H8O",108.0575149,"",108.0575149,"E2Up, exposurepred, P4Up, VBtoxcast","",NA,NA,NA,NA,NA,1,1.521745209,NA,"",NA,NA,NA,1,2,1,3,NA,1,-0.475170689,4.004341631,3,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",0.878565278893752,643115.401519168,1,0,NA,1,1,2,1
"4",4,"107.05021-218.3",5606,107.05021,218.3,100,100,66.6666666666667,0,1302280.08746616,902709.775922204,69.3176363986798,1276380.52889179,920750.381699073,1443952.08947825,1139259.0661174,78.8986749919839,1121091.52626746,1018629.08825453,546.082223093221,755.547619167238,138.357849279093,205.48730122861,NA,3,26470.5882352941,"Multiple",107.0502389,0.27,"o-Cresol","C7H8O",108.05751,"M-H",1373116.08847221,0.0397695597391782,"DTXSID8021808","DTXSID8021808","'95-48-7","o-Cresol","C7H8O","CC1=C(O)C=CC=C1","Cc1ccccc1O","2-methylphenol","C7H8O",108.0575149,"",108.0575149,"exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.10530054,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.230832,19.4043,8,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",0.878565278893752,643115.401519168,1,0,NA,0,1,1,1
"5",75,"121.06574-289.6",1433,121.06574,289.6,99.1666666666667,98.75,16.6666666666667,0.416666666666671,19586.0568509625,56796.1204235216,289.98241379418,7063.16736490639,NA,24573.4965625701,42614.6024080936,173.416926238342,8267.61225069024,NA,49.8637462215258,121.582818301666,243.830092030229,0,NA,3,26470.5882352941,"Multiple",121.0658889,1.23,"24-Dimethylphenol","C8H10O",122.07316,"M-H",22079.7767067663,0.225834467819799,"DTXSID2021864","DTXSID2021864","'105-67-9","2,4-Dimethylphenol","C8H10O","CC1=CC(C)=C(O)C=C1","Cc1ccc(O)c(C)c1","2,4-dimethylphenol","C8H10O",122.0731649,"",122.0731649,"E2Up, exposurepred, P4Up, VBtoxcast","",NA,NA,NA,NA,NA,1,0.152578098,NA,"",NA,NA,NA,1,1,1,3,NA,1,-3.456193961,3.682769611,5,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",1.6721690326562,643115.401519168,0,0,NA,1,0,1,1
"6",77,"121.06574-289.6",2878,121.06574,289.6,99.1666666666667,98.75,16.6666666666667,0.416666666666671,19586.0568509625,56796.1204235216,289.98241379418,7063.16736490639,NA,24573.4965625701,42614.6024080936,173.416926238342,8267.61225069024,NA,49.8637462215258,121.582818301666,243.830092030229,0,NA,3,26470.5882352941,"Multiple",121.0658889,1.23,"34-Dimethylphenol","C8H10O",122.07316,"M-H",22079.7767067663,0.225834467819799,"DTXSID4024062","DTXSID4024062","'95-65-8","3,4-Dimethylphenol","C8H10O","CC1=C(C)C=C(O)C=C1","Cc1ccc(O)cc1C","3,4-dimethylphenol","C8H10O",122.0731649,"",122.0731649,"E2Up, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,3,NA,NA,NA,1,-5.176758,4.269022,6,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",1.6721690326562,643115.401519168,0,0,NA,1,0,1,1
"7",119,"129.0557-139.2",906,129.0557,139.2,100,100,100,0,2527969.87995297,1636193.58781138,64.7236187735677,2212039.93109953,1913999.26661773,3270610.27690995,1802490.90002892,55.1117604183615,2950865.24883095,2419908.51699112,15627.1199403872,10623.9995019551,67.9843729521656,15092.7193086689,11714.6906692497,3,22090.9090909091,"Multiple",129.0557182,0.14,"Propanoicanhydride","C6H10O3",130.06299,"M-H",2899290.07843146,0.538998151880049,"DTXSID1027007","DTXSID1027007","'123-62-6","Propanoic,anhydride","C6H10O3","CCC(=O)OC(=O)CC","CCC(=O)OC(=O)CC","propanoyl propanoate","C6H10O3",130.0629942,"",130.0629942,"exposurepred","",NA,NA,NA,NA,NA,1,0.280332607,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"nurses1",-0.354397789996667,0.194661923206639,-1.82058095470712,0.0702113862899345,0,0,"neg",1.17440666533316,643115.401519168,1,0,NA,0,1,1,1
"8",154,"130.08755-88.8",1444,130.08755,88.8,100,100,100,0,10556957.0708161,3665022.03020781,34.7166518308528,10012804.4258487,9978505.55348201,11517234.7929136,4706914.79157992,40.8684452146102,11088299.4504828,10526383.0870957,16817.7247285505,5175.41059078211,30.7735479936599,15165.9189363182,16091.5600146648,3,24770.6422018349,"Multiple",130.0873527,1.52,"4-(2-Hydroxyethyl)morpholine","C6H13NO2",131.09463,"M-H",11037095.9318648,0.152374545191699,"DTXSID2022090","DTXSID2022090","'622-40-2","4-(2-Hydroxyethyl)morpholine","C6H13NO2","OCCN1CCOCC1","OCCN1CCOCC1","2-morpholin-4-ylethanol","C6H13NO2",131.0946287,"",131.0946287,"exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.26001824,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-5.034251952,5.957155237,8,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",0.849473270846179,643115.401519168,1,0,NA,0,1,1,1
"9",156,"130.08755-88.8",1972,130.08755,88.8,100,100,100,0,10556957.0708161,3665022.03020781,34.7166518308528,10012804.4258487,9978505.55348201,11517234.7929136,4706914.79157992,40.8684452146102,11088299.4504828,10526383.0870957,16817.7247285505,5175.41059078211,30.7735479936599,15165.9189363182,16091.5600146648,3,24770.6422018349,"Multiple",130.0873527,1.52,"Sodium6-aminohexanoate","C6H13NO2",131.09463,"M-H",11037095.9318648,0.152374545191699,"DTXSID2064600","DTXSID2064600","'7234-49-3","Sodium,6-aminohexanoate","C6H13NO2","[Na+].NCCCCCC([O-])=O","NCCCCCC(=O)O","6-aminohexanoic acid","C6H13NO2",131.0946287,"",131.0946287,"exposurepred","",NA,NA,NA,NA,NA,1,1.095087096,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",0.849473270846179,643115.401519168,1,0,NA,0,1,1,1
"10",202,"137.06056-266.8",6334,137.06056,266.8,100,100,66.6666666666667,0,38034.3442871884,38554.2189513058,101.366855861092,23814.5874182963,23002.1103357873,31349.6954457386,32731.168894444,104.406656680593,19404.588556236,16687.9075688228,185.224208292678,192.904723730575,104.146604544132,118.507897796589,NA,3,23823.5294117647,"Multiple",137.0608036,1.78,"2-Phenoxyethanol","C8H10O2",138.06808,"M-H",34692.0198664635,0.533910129780979,"DTXSID9021976","DTXSID9021976","'122-99-6","2-Phenoxyethanol","C8H10O2","OCCOC1=CC=CC=C1","OCCOc1ccccc1","2-phenoxyethanol","C8H10O2",138.0680796,"",138.0680796,"exposurepred, Vbtoxcast, Disinfect ingredient list","",NA,1,NA,NA,NA,1,1.941364744,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.382802142,2.914565191,3,NA,NA,0,0,"nurses1",0.509398932336569,0.236880619529096,2.15044579564686,0.0327572680102632,1,0,"neg",0.970884990323936,643115.401519168,0,0,NA,1,0,1,1
