"","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DB_name","DTXSID","CASRN","name_original","formula_original","SMILES_original","SMILES_cleaned","name_cleaned","formula_cleaned","Molweight_cleaned","parent_id","MONOISOTOPIC_MASS","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","DF_high_N","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI"
"1","107.05021-218.3",3391,107.05021,218.3,100,100,66.6666666666667,0,1302280.08746616,902709.775922204,69.3176363986798,1276380.52889179,920750.381699073,1443952.08947825,1139259.0661174,78.8986749919839,1121091.52626746,1018629.08825453,546.082223093221,755.547619167238,138.357849279093,205.48730122861,NA,3,26470.5882352941,"Multiple",107.0502389,0.27,"Benzylalcohol","C7H8O","108.05751","M-H",1373116.08847221,0.0397695597391782,"DTXSID5020152","DTXSID5020152","'100-51-6","Benzyl,alcohol","C7H8O","OCC1=CC=CC=C1","OCc1ccccc1","phenylmethanol","C7H8O",108.0575149,"","108.0575149","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.108769345,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.023539386,4.085388639,3,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"2","107.05021-218.3",4265,107.05021,218.3,100,100,66.6666666666667,0,1302280.08746616,902709.775922204,69.3176363986798,1276380.52889179,920750.381699073,1443952.08947825,1139259.0661174,78.8986749919839,1121091.52626746,1018629.08825453,546.082223093221,755.547619167238,138.357849279093,205.48730122861,NA,3,26470.5882352941,"Multiple",107.0502389,0.27,"m-Cresol","C7H8O","108.05751","M-H",1373116.08847221,0.0397695597391782,"DTXSID6024200","DTXSID6024200","'108-39-4","m-Cresol","C7H8O","CC1=CC(O)=CC=C1","Cc1cccc(O)c1","3-methylphenol","C7H8O",108.0575149,"","108.0575149","exposurepred, pesticidemammarytumors","",NA,NA,NA,NA,NA,1,0.455487292,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"3","107.05021-218.3",4905,107.05021,218.3,100,100,66.6666666666667,0,1302280.08746616,902709.775922204,69.3176363986798,1276380.52889179,920750.381699073,1443952.08947825,1139259.0661174,78.8986749919839,1121091.52626746,1018629.08825453,546.082223093221,755.547619167238,138.357849279093,205.48730122861,NA,3,26470.5882352941,"Multiple",107.0502389,0.27,"p-Cresol","C7H8O","108.05751","M-H",1373116.08847221,0.0397695597391782,"DTXSID7021869","DTXSID7021869","'106-44-5","p-Cresol","C7H8O","CC1=CC=C(O)C=C1","Cc1ccc(O)cc1","4-methylphenol","C7H8O",108.0575149,"","108.0575149","E2Up, exposurepred, P4Up, VBtoxcast","",NA,NA,NA,NA,NA,1,1.521745209,NA,"",NA,NA,NA,1,2,1,3,NA,1,-0.475170689,4.004341631,3,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"4","107.05021-218.3",5606,107.05021,218.3,100,100,66.6666666666667,0,1302280.08746616,902709.775922204,69.3176363986798,1276380.52889179,920750.381699073,1443952.08947825,1139259.0661174,78.8986749919839,1121091.52626746,1018629.08825453,546.082223093221,755.547619167238,138.357849279093,205.48730122861,NA,3,26470.5882352941,"Multiple",107.0502389,0.27,"o-Cresol","C7H8O","108.05751","M-H",1373116.08847221,0.0397695597391782,"DTXSID8021808","DTXSID8021808","'95-48-7","o-Cresol","C7H8O","CC1=C(O)C=CC=C1","Cc1ccccc1O","2-methylphenol","C7H8O",108.0575149,"","108.0575149","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.10530054,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.230832,19.4043,8,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"5","108.99602-533.8",4851,108.99602,533.8,100,100,100,0,8253.02987256735,2103.2744829853,25.4848766508949,7692.31320995376,8003.57030845301,9391.44940268748,7302.99670056845,77.7621897050162,8091.23416130567,8283.33081960396,10479.219353413,2227.30710553448,21.2545136275734,10058.0847274543,10289.4958171038,2,10,"Multiple",108.9964891,4.3,"Methylmethanesulfonate","C2H6O3S","110.00377","M-H",8822.23963762742,118.781848871102,"DTXSID7020845","DTXSID7020845","'66-27-3","Methyl,methanesulfonate","C2H6O3S","COS(C)(=O)=O","COS(C)(=O)=O","methyl methanesulfonate","C2H6O3S",110.0037651,"","110.0037652","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.266762,2.287693,1,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"6","108.99602-834",4851,108.99602,834,100,100,100,0,11398.3021700562,5413.26553200292,47.4918584473376,10786.2225408004,10146.2840528182,11853.958686056,7114.32450316934,60.0164442241396,10477.0229955882,10370.1821691521,37998.9996373433,41185.1152952897,108.38473562029,15651.1032330459,22212.6051332194,2,10,"Multiple",108.9964891,4.3,"Methylmethanesulfonate","C2H6O3S","110.00377","M-H",11626.1304280561,326.841332741669,"DTXSID7020845","DTXSID7020845","'66-27-3","Methyl,methanesulfonate","C2H6O3S","COS(C)(=O)=O","COS(C)(=O)=O","methyl methanesulfonate","C2H6O3S",110.0037651,"","110.0037652","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.266762,2.287693,1,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"7","108.99605-1159.1",4851,108.99605,1159.1,100,100,100,0,19517.7953525613,16860.9090955452,86.3873649199451,14254.2911620547,13770.8105482651,22246.5335987548,25348.9036565354,113.945408816204,16197.5149753538,13213.1418235082,10141.0176105564,8072.66263344468,79.6040687774903,9031.69677945913,7009.14405736258,2,10,"Unique",108.9964891,4.03,"Methylmethanesulfonate","C2H6O3S","110.00377","M-H",20882.164475658,48.5630578304158,"DTXSID7020845","DTXSID7020845","'66-27-3","Methyl,methanesulfonate","C2H6O3S","COS(C)(=O)=O","COS(C)(=O)=O","methyl methanesulfonate","C2H6O3S",110.0037651,"","110.0037652","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.266762,2.287693,1,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"8","108.99611-1054",4851,108.99611,1054,100,100,100,0,26371.1898202845,30999.7495367377,117.551577111219,17050.6769754967,15770.6954416282,36594.28134011,52025.3410531381,142.167953975133,23270.8071504402,17330.8386226855,15272.9926168899,9198.20282714492,60.2252816973993,19234.8528702959,10963.7494660707,2,10,"Unique",108.9964891,3.48,"Methylmethanesulfonate","C2H6O3S","110.00377","M-H",31482.7355801972,48.5122793029988,"DTXSID7020845","DTXSID7020845","'66-27-3","Methyl,methanesulfonate","C2H6O3S","COS(C)(=O)=O","COS(C)(=O)=O","methyl methanesulfonate","C2H6O3S",110.0037651,"","110.0037652","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.266762,2.287693,1,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"9","108.99614-986.7",4851,108.99614,986.7,93.3333333333333,93.75,100,-0.416666666666671,8474.50658603674,10528.6099873616,124.238619446109,4653.90050338014,NA,11428.6332437979,20352.1398882067,178.080260815539,5260.63257062427,NA,14611.0059319289,11988.4554136727,82.0508558378911,12492.08610012,9433.63507079822,2,10,"Unique",108.9964891,3.2,"Methylmethanesulfonate","C2H6O3S","110.00377","M-H",9951.56991491731,146.821115229539,"DTXSID7020845","DTXSID7020845","'66-27-3","Methyl,methanesulfonate","C2H6O3S","COS(C)(=O)=O","COS(C)(=O)=O","methyl methanesulfonate","C2H6O3S",110.0037651,"","110.0037652","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.266762,2.287693,1,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"10","108.99625-724.3",4851,108.99625,724.3,100,100,100,0,268912.983759324,402693.862075386,149.748761270596,22417.1619639331,60693.7422654044,280734.624994896,572102.389204744,203.787612310076,19917.9318846997,53729.8117131641,965015.989326262,1427781.77202917,147.954208823627,27256.39863844,107533.874690335,2,10,"Unique",108.9964891,2.19,"Methylmethanesulfonate","C2H6O3S","110.00377","M-H",274823.80437711,351.139884521094,"DTXSID7020845","DTXSID7020845","'66-27-3","Methyl,methanesulfonate","C2H6O3S","COS(C)(=O)=O","COS(C)(=O)=O","methyl methanesulfonate","C2H6O3S",110.0037651,"","110.0037652","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.266762,2.287693,1,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
