"","DTXSID","featureid","mz","rt","det_count_v1","det_count_v2","det_count_v3","det_count_FB","df_v1","df_v2","df_v3","mean_visit1","log_mean_v1","sd_visit1","median_v1","gm_visit1","gsd_visit1","cv_visit1","mean_visit2","median_v2","sd_visit2","gm_visit2","gsd_visit2","cv_visit2","mean_visit3","sd_visit3","median_v3","gm_visit3","gsd_visit3","cv_visit3","mean_allvisit","gm_allvisit","gsd_allvisit","cv_allvisit","mean_FB","log_mean_FB","mean_DIWB","PvalV1_v3","PvalV1_V2","DFv1_min","percent_FBvV1","logFBvV1","meanv1_gt_v3","meanv1_gt_v2","geom_diff1v3","geom_diff1v2","df1v3_difference","df1v2_difference","DB_name","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","Compound","Formula","MonoisotopicMass","Adduct","X","parent_id","is_metab","name_original","name_cleaned","formula_original","formula_cleaned","Molweight_cleaned","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","MC_sum","frag_yn","confirmed_frag","of_interest","acrylate","is_ucsfdrug","sig_dif1v2or3","ubiqui_MC","nitro benzene","nitro","sulfate","aniline","guanidium","nitro_sum","SWGDRUG","STATINS","UOATARGPHARMA","VETDRUGS","DRUGBANK","ANTIBIOTICS","ZINC15PHARMA","PAHLIST","drug_any","of_interest_all","of_interest_cat"
"1","DTXSID001009330","343.22393-769.6",343.22393,769.6,40,38,38,8,100,100,100,208786.505567836,17.3052000196518,149934.117504775,141540.973898091,161951.243464662,2.09609442779681,71.8121686538119,211143.91222502,137114.692841284,221174.23195949,150247.173387869,2.160838699295,104.750465987284,197924.701724958,212244.956504817,131485.184428468,137329.454130421,2.27670806452861,107.235203415771,419116.390177747,114479.189414475,5.09904878387986,328.000434924258,2692.21302227432,10.8352166527944,3304.0200119406,0.319897520107846,0.432606925876661,1,1.28945738851863,62.6124901214079,1,0,1,1,0,0,"DTXSID001009330",3,62790.6976744184,"Unique",343.2267708,8.28,"MEGESTROL","C22H30O3","342.21949","M+H",1,"",0,"MEGESTROL","(8R,9S,10R,13S,14S,17R)-17-acetyl-17-hydroxy-6,10,13-trimethyl-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-3-one","C22H30O3","C22H30O3",342.2194948,"Drug","1",NA,0,0,NA,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"no","notconf",NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2","DTXSID001009330","343.22427-762.4",343.22427,762.4,40,38,38,8,100,100,100,182872.189917142,17.095724156472,136402.736974749,119534.516123768,140063.756106562,2.11264380947781,74.5891089490163,184909.760357949,117854.491372184,208855.515621795,125640.018461623,2.26457924847172,112.949968253429,174180.90794068,197163.612251485,111632.825293812,118019.920980015,2.31861928627879,113.194732179621,319059.197718538,89923.2336626843,6.20076805789309,294.847489024585,1362.64759013541,9.42578808290455,1126.42145763155,0.310267052279537,0.392708865531071,1,0.745136584601963,55.1353542946361,1,0,1,1,0,0,"DTXSID001009330",3,62790.6976744184,"Unique",343.2267708,7.29,"MEGESTROL","C22H30O3","342.21949","M+H",1,"",0,"MEGESTROL","(8R,9S,10R,13S,14S,17R)-17-acetyl-17-hydroxy-6,10,13-trimethyl-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-3-one","C22H30O3","C22H30O3",342.2194948,"Drug","1",NA,0,0,NA,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"no","notconf",NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3","DTXSID0020020","194.08137-346.1",194.08137,346.1,40,38,38,8,100,100,100,123448.20522942,15.1588756439498,340929.573504893,27396.0309839961,36582.7432779481,3.33224125229527,276.172158899595,904700.058589416,29499.5840963134,2461325.27011442,61285.2225792109,6.76272482702016,272.059811066228,521476.733897354,2097345.1918575,27583.1954001859,39863.2961317462,4.00532357974508,402.193435588699,450303.708653308,39502.1353999051,4.38609511930899,391.301756146688,24182.8936744432,14.2474554737115,16461.0027458867,0.585878405854487,0.300829977991542,1,19.5895060843541,93.9875476806746,0,0,0,0,0,0,"DTXSID0020020",3,540,"Multiple",194.0811692,1.03,"4-Acetylaminophenylaceticacid","C10H11NO3","193.07389","M+H",11,"",0,"4-Acetylaminophenylacetic,acid","2-(4-acetamidophenyl)acetic acid","C10H11NO3","C10H11NO3",193.0738932,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.818174936,1.294374114,1,NA,"",0,"yes","notconf",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"4","DTXSID0020070","132.10195-82.8",132.10195,82.8,40,38,38,8,100,100,100,1285574.8471529,20.1752872879246,587362.323969382,1103757.58071987,1184040.73762473,1.48084564582911,45.68869134848,1149559.52426715,1067338.5071327,324366.119715229,1107402.21178972,1.31704738331513,28.2165571132138,1151309.58717543,434785.964446079,1014220.55044361,1073854.45537392,1.46294101322263,37.7644700686254,1067909.19461299,667053.786611613,5.06687898340552,52.7354839150685,5908.33372273871,12.2534343496,6448.51444058813,0.462488642925676,0.7757168888561,1,0.459586910542285,60.7348692225759,1,1,1,1,0,0,"DTXSID0020070",3,49090.9090909091,"Multiple",132.1019047,0.34,"6-Aminocaproicacid","C6H13NO2","131.09463","M+H",14,"",0,"6-Aminocaproic,acid","6-aminohexanoic acid","C6H13NO2","C6H13NO2",131.0946287,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-5.297221397,5.333237175,4,NA,"",0,"no","notconf",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5","DTXSID0020151","151.0753-264.5",151.0753,264.5,40,38,38,8,100,100,100,42783.1834064619,13.9708083289226,128866.650543514,13178.4441185708,16055.8155635378,2.38093875106507,301.208653220626,38219.0210816505,14193.8820038619,105045.875194448,16485.0764316526,2.28303618654948,274.852343732272,36268.2855958031,94386.5075746195,14287.9633805957,16715.9607548641,2.24428203555817,260.245297024852,39019.1348699097,16344.7602815002,2.43645412284225,267.592309569709,9314.85188882118,12.9601609959418,8182.67770152972,0.480956419943862,0.572201806766339,1,21.7722271863816,92.7660067392918,1,1,0,0,0,0,"DTXSID0020151",2,10,"Multiple",151.0753556,0.37,"Benzylacetate","C9H10O2","150.06808","M+H",18,"",0,"Benzyl,acetate","benzyl acetate","C9H10O2","C9H10O2",150.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-8.180808301,7.15552012,18,NA,"",0,"no","notconf",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"6","DTXSID0020151","151.0753-592",151.0753,592,40,38,38,8,100,100,100,10216.1582339822,12.9401809686974,8684.41839132027,6603.08512591803,7859.27745527627,1.99898070517421,85.0066942232071,10037.8409649404,6993.29808813534,8276.46207982554,7818.52165136026,1.98925017442527,82.4526121576654,11894.1916737918,16145.8933960068,6173.91578878442,7957.35928385325,2.18016546121464,135.746033348221,10087.0635338309,6958.39371350262,2.36316571065871,110.352094308151,2285.49368317328,10.5222392780223,2085.60556111689,0.814269502155929,0.996011922944976,1,22.3713614338019,81.3144677302103,0,1,0,1,0,0,"DTXSID0020151",2,10,"Multiple",151.0753556,0.37,"Benzylacetate","C9H10O2","150.06808","M+H",18,"",0,"Benzyl,acetate","benzyl acetate","C9H10O2","C9H10O2",150.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-8.180808301,7.15552012,18,NA,"",0,"no","notconf",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"7","DTXSID0020151","151.07531-342.1",151.07531,342.1,40,38,38,8,100,100,100,34586.4768422137,14.6599131006132,29622.767345043,21823.0978398944,25886.5144101884,2.09737268602411,85.6484095798032,34178.2981414712,31931.2303109078,16005.3156773733,30442.5854600587,1.65315329690348,46.8288842560968,38053.9878914594,36392.6781751058,24466.7405550225,26815.2875013789,2.26011951637241,95.6343347743419,34157.1289171429,26335.7715610406,2.02006457479109,81.094770695947,12549.9089999356,13.5918685597753,14565.2581793232,0.868987250951279,0.148593158835564,1,36.2855952550164,92.7145233842263,0,1,0,0,0,0,"DTXSID0020151",2,10,"Multiple",151.0753556,0.3,"Benzylacetate","C9H10O2","150.06808","M+H",18,"",0,"Benzyl,acetate","benzyl acetate","C9H10O2","C9H10O2",150.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-8.180808301,7.15552012,18,NA,"",0,"no","notconf",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"8","DTXSID0020151","151.07572-210",151.07572,210,40,38,38,8,100,100,100,15008.4084119952,13.7023677679275,7529.5868040735,13684.2848880188,13329.80234638,1.65582081373021,50.1691225170527,13756.998719605,14505.0349767196,6323.81048496334,12343.3476190545,1.61839449589326,45.9679513959054,15190.8318432245,12231.5566723984,12369.4987499934,12277.2433640067,1.8918414620124,80.5193342842115,13689.8989258925,11551.4174960555,1.79885894188807,64.8704938411834,5580.00098459076,12.3410102445424,4383.99424924634,0.392708865531071,0.545312934220683,1,37.1791653812609,90.0648008691493,0,1,1,1,0,0,"DTXSID0020151",2,10,"Multiple",151.0753556,2.41,"Benzylacetate","C9H10O2","150.06808","M+H",18,"",0,"Benzyl,acetate","benzyl acetate","C9H10O2","C9H10O2",150.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-8.180808301,7.15552012,18,NA,"",0,"no","notconf",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"9","DTXSID0020232","195.08845-235.3",195.08845,235.3,40,38,38,8,100,100,100,27670806.3551919,23.8745602909122,18008621.1948216,26240618.1055434,15380086.6006011,5.49104396580948,65.0816639155968,24489622.7358715,28423398.115578,17268345.4272668,13684407.9447179,4.73802857848444,70.5129091350712,28950351.1277881,19354707.9995862,33280690.6189334,16214315.2738046,5.09768535702256,66.8548298918852,23941590.8102267,8483678.74415614,9.96964844199812,79.3426213346431,41954.389730334,15.251785580487,37072.5500958252,0.760443546476357,0.558678776453122,1,0.151619686075618,63.8830009627135,0,1,0,1,0,0,"DTXSID0020232",3,45000,"Multiple",195.0876516,4.09,"Caffeine","C8H10N4O2","194.08038","M+H",21,"",0,"Caffeine","1,3,7-trimethylpurine-2,6-dione","C8H10N4O2","C8H10N4O2",194.0803756,"VBtoxcast, Drug","1",NA,0,0,NA,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.165114609,8.045154854,6,NA,"",0,"yes","notconf",NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"10","DTXSID0020369","183.09959-277.6",183.09959,277.6,40,38,38,8,100,100,100,27231.9131081621,14.6635915619972,8410.75318045976,26954.090341906,25952.6018641149,1.3790923505936,30.8856493007054,26127.1273374398,26069.831813395,7838.33153762462,25000.7148839464,1.35383273951981,30.0007399833521,24671.0225409027,7216.73750793361,24713.3670906675,23564.4502912493,1.37375399266118,29.251878376621,24916.7711698257,23434.0393653708,1.43653310588477,33.8325600762768,11827.7299581121,13.5253222529008,13469.3503461787,0.151423382444095,0.538690044070596,1,43.4333420172635,92.237445346975,1,1,1,1,0,0,"DTXSID0020369",1,9,"Unique",183.0988849,3.85,"Dacarbazine","C6H10N6O","182.09161","M+H",28,"",0,"Dacarbazine","4-(dimethylaminodiazenyl)-1H-imidazole-5-carboxamide","C6H10N6O","C6H10N6O",182.0916089,"VBtoxcast, Drug","1",NA,0,0,NA,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-4.044736521,3.286241278,1,NA,"",0,"no","notconf",NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
