cluster.index	parent.mass	number.of.spectra	RTMean	sum.precursor.intensity.	LibraryID	SpectrumID	Smiles	INCHI	ProteoSAFeClusterLink	MetFragScore	MetFragSMILES	MetFragID	FusionScore	FusionSMILES	FusionID	ConsensusScore	ConsensusSMILES	ConsensusID
11	-307.2793	7	17.9451	1.710005e+08	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2211%22%2C%22main.cluster%20index_upperinput%22%3A%2211%22%7D	1	CCCCCCCCCCC=CCCCCCCCC(O)=O	DTXSID6060135				1	CCCCCCCCCCC=CCCCCCCCC(O)=O	DTXSID6060135
67	-341.2273	7	12.9640	3.324058e+07	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2267%22%2C%22main.cluster%20index_upperinput%22%3A%2267%22%7D	1.0000000,0.9345712,0.9339854	C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@H]1C[C@H]2[C@@H]3CC[C@H](C(C)=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)CCC(=O)C=C12	DTXSID0036508,DTXSID9036515,DTXSID6045371				1,0.919,0.88	C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,C[C@H]1C[C@H]2[C@@H]3CC[C@H](C(C)=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)CCC(=O)C=C12,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	DTXSID0036508,DTXSID6045371,DTXSID9036515
73	-211.0215	6	5.6162	4.481716e+07	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2273%22%2C%22main.cluster%20index_upperinput%22%3A%2273%22%7D	0	CC(C)OP(S)(=S)OC(C)C	DTXSID3026770				1	CC(C)OP(S)(=S)OC(C)C	DTXSID3026770
115	-299.2166	3	14.9568	6.150072e+06	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22115%22%2C%22main.cluster%20index_upperinput%22%3A%22115%22%7D	1.0000000,0.8084061,0.7597401,0.7429245	CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(O)=O)[C@H]2CC1,CC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1O,C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	DTXSID7022047,DTXSID8048814,DTXSID4036489,DTXSID1033664				1,0.941,0.926,0.921	CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(O)=O)[C@H]2CC1,CC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1O,C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	DTXSID7022047,DTXSID8048814,DTXSID4036489,DTXSID1033664
134	-291.2114	2	11.9929	1.050426e+07	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22134%22%2C%22main.cluster%20index_upperinput%22%3A%22134%22%7D	1	CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1	DTXSID3075044				1	CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1	DTXSID3075044
151	-383.2359	7	15.5538	6.806306e+06	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22151%22%2C%22main.cluster%20index_upperinput%22%3A%22151%22%7D	1	C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12	DTXSID0025527				1	C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12	DTXSID0025527
165	-307.2058	6	14.4596	1.881323e+07	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22165%22%2C%22main.cluster%20index_upperinput%22%3A%22165%22%7D	1	CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C	DTXSID7044972				1	CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C	DTXSID7044972
246	-212.1443	5	4.5664	1.492323e+07	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22246%22%2C%22main.cluster%20index_upperinput%22%3A%22246%22%7D	1	CCCCN(CCC(=O)OCC)C(C)=O	DTXSID9035753				1	CCCCN(CCC(=O)OCC)C(C)=O	DTXSID9035753
276	-227.0521	6	6.3133	1.077832e+07	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22276%22%2C%22main.cluster%20index_upperinput%22%3A%22276%22%7D	1.0000000,0.2890463	OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1O,OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1O	DTXSID6037728,DTXSID8044836				1,0.324	OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1O,OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1O	DTXSID6037728,DTXSID8044836
853	-339.2113	2	13.7885	1.509040e+06	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22853%22%2C%22main.cluster%20index_upperinput%22%3A%22853%22%7D	1	[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C	DTXSID001009330				1	[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C	DTXSID001009330
