cluster.index	parent.mass	number.of.spectra	RTMean	sum.precursor.intensity.	LibraryID	SpectrumID	Smiles	INCHI	ProteoSAFeClusterLink	MetFragScore	MetFragSMILES	MetFragID	FusionScore	FusionSMILES	FusionID	ConsensusScore	ConsensusSMILES	ConsensusID
10	468.3088	6	14.7457	147933736.14	SpectralMatchto1-Myristoyl-sn-glycero-3-phosphocholinefromNIST14	CCMSLIB00003139823	CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	InChI=1S/C22H46NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-22(25)28-19-21(24)20-30-31(26,27)29-18-17-23(2,3)4/h21,24H,5-20H2,1-4H3/t21-/m1/s1	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2210%22%2C%22main.cluster%20index_upperinput%22%3A%2210%22%7D	1	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]11CC[C@@]2(OC)[C@]([H])(C1)C(C)(O)C(C)(C)C	DTXSID2022705	1	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]11CC[C@@]2(OC)[C@]([H])(C1)C(C)(O)C(C)(C)C	DTXSID2022705	1	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]11CC[C@@]2(OC)[C@]([H])(C1)C(C)(O)C(C)(C)C	DTXSID2022705
50	132.1019	6	1.3043	56316107.48	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2250%22%2C%22main.cluster%20index_upperinput%22%3A%2250%22%7D	1.0000000,0.7151889,0.6725739,0.6205818	CC(C)C[C@@H](N)C(O)=O,CC[C@H](C)[C@H](N)C(O)=O,NCCCCCC(O)=O,OCCN1CCOCC1	DTXSID6046347,DTXSID2046882,DTXSID0020070,DTXSID2022090						
108	331.1881	7	11.8232	97937723.96	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22108%22%2C%22main.cluster%20index_upperinput%22%3A%22108%22%7D	1	O=C(OC1CCCCC1)C1=C(C=CC=C1)C(=O)OC1CCCCC1	DTXSID5025021				1	O=C(OC1CCCCC1)C1=C(C=CC=C1)C(=O)OC1CCCCC1	DTXSID5025021
400	262.9816	5	0.6314	3218343.45	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22400%22%2C%22main.cluster%20index_upperinput%22%3A%22400%22%7D	1	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	DTXSID00442840				1	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	DTXSID00442840
470	295.2259	2	11.8781	951435.94	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22470%22%2C%22main.cluster%20index_upperinput%22%3A%22470%22%7D	1	CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1	DTXSID3075044				1	CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCO)C=C1	DTXSID3075044
4574	143.1147	2	3.1368	367826.89	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%224574%22%2C%22main.cluster%20index_upperinput%22%3A%224574%22%7D									
20592	536.4056	5	18.5389	24180.13	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2220592%22%2C%22main.cluster%20index_upperinput%22%3A%2220592%22%7D	1	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(OC(=O)C1=CN=CC=C1)=C2C	DTXSID1046396				1	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(OC(=O)C1=CN=CC=C1)=C2C	DTXSID1046396
40302	343.2248	4	12.9250	6028559.83	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2240302%22%2C%22main.cluster%20index_upperinput%22%3A%2240302%22%7D	1	[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C	DTXSID001009330				1	[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C	DTXSID001009330
40363	262.9815	6	0.1091	5806399.33	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2240363%22%2C%22main.cluster%20index_upperinput%22%3A%2240363%22%7D	1	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	DTXSID00442840				1	FC(F)(F)OCCOS(=O)(=O)C(F)(F)F	DTXSID00442840
41328	385.2328	3	12.5192	1094000.55	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=c4986987084946a58ca80ff39990bdd9&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2241328%22%2C%22main.cluster%20index_upperinput%22%3A%2241328%22%7D	1.0000000,0.9801484,0.9648258,0.8688340,0.7012966	CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(OC(=O)CC)=CC=C4[C@H]3CC[C@]12C,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]34C)[C@]11O[C@@H]1C[C@@H]2C1=COC(=O)C=C1,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(C)=O)C#C)[C@@H]3CCC2=C1,CCOC1=CC2=C(OC3=C2C=C(OCC)C=C(O3)C(C)(C)C)C(=C1)C(C)(C)C	DTXSID9040683,DTXSID8023000,DTXSID0046808,DTXSID4020614,DTXSID60317464				1,0.995,0.936,0.873,0.67	CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(OC(=O)CC)=CC=C4[C@H]3CC[C@]12C,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]34C)[C@]11O[C@@H]1C[C@@H]2C1=COC(=O)C=C1,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(C)=O)C#C)[C@@H]3CCC2=C1,CCOC1=CC2=C(OC3=C2C=C(OCC)C=C(O3)C(C)(C)C)C(=C1)C(C)(C)C	DTXSID8023000,DTXSID9040683,DTXSID0046808,DTXSID4020614,DTXSID60317464
